canonicity_score_rank;canonicity_score_scaled;GND;GND_name;GND_birth;GND_death;GND_occupation;rausschmeißen? (AH);rausschmeißen? (MK);Konsens (JE);;;;;;;;;;;;;;;
1424;9;120669013;Duvanel, Adelheid;1936.0;1996.0;Schriftstellerin + Künstlerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1425;9;122048172;Lippet, Johann;1951.0;;Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1426;9;118663909;Bleibtreu, Carl;1859.0;1928.0;Schriftsteller + Erzähler + Dramatiker + Literaturkritiker + Redakteur + Übersetzer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1427;9;1037514440;Petersen, Johann Wilhelm;1649.0;1727.0;Evangelischer Theologe + Pietist + Pfarrer + Hofprediger + Superintendent + Schriftsteller + Selbstverleger;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1428;9;118983822;Gurk, Paul;1880.0;1953.0;Schriftsteller + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1429;9;107757583;Kempff, Diana;1945.0;2005.0;Schriftstellerin + Verlegerin + Librettistin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1430;9;118749870;Rosner, Ferdinand;1709.0;1778.0;Schriftsteller + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1431;9;119522640;Fuchs, Gerd;1932.0;2016.0;Publizist + Schriftsteller + Jugendbuchautor + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1432;9;118565885;Kräftner, Hertha;1928.0;1951.0;Schriftstellerin + Librettistin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1433;9;101223749;Pol, Heinz;1901.0;1972.0;Journalist + Schriftsteller + Filmkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1434;9;131647679;Schalansky, Judith;1980.0;;Schriftstellerin + Kommunikationsdesignerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1435;9;118597043;Püttmann, Hermann;1811.0;1874.0;Schriftsteller + Publizist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1436;9;118676334;Claudius, Hermann;1878.0;1980.0;Schriftsteller + Librettist + Lehrer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1437;9;118727559;Leonhard, Rudolf;1889.0;1953.0;Schriftsteller + Drehbuchautor + Lektor <Verlag> + Lyriker + Dramatiker + Prosaist + Jurist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1438;9;118637231;Zollinger, Albin;1895.0;1941.0;Schriftsteller + Lyriker + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1439;9;120424460;Schlattner, Eginald;1933.0;;Schriftsteller + Pfarrer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1440;9;11884248X;Troller, Georg Stefan;1921.0;;Schriftsteller + Drehbuchautor + Regisseur + Dokumentarfilmer + Regisseur + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1441;9;120818493;Zelter, Joachim;1962.0;;Schriftsteller + Anglist + Schauspieler + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1442;9;119552590;Eckartshausen, Carl von;1752.0;1803.0;Jurist + Hofrat + Schriftsteller + Theosoph + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1443;9;118766619;Wellm, Alfred;1927.0;2001.0;Schriftsteller + Kinderbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1444;9;1012772160;Gravinus, Andreas;1559.0;1629.0;Pfarrer + Evangelischer Theologe + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1445;9;118806963;Wölfli, Adolf;1864.0;1930.0;Künstler + Komponist + Zeichner + Grafiker + Librettist + Komponist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1446;9;129718025;Amthor, Christoph Heinrich;1677.0;1721.0;Jurist + Historiker + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1447;9;118606042;Schack, Adolf Friedrich von;1815.0;1894.0;Schriftsteller + Literarhistoriker + Kunsthistoriker + Übersetzer + Librettist + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1448;9;119286793;Hasler, Eveline;1933.0;;Schriftstellerin + Lehrerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1449;9;118731319;Martin, von Cochem;1634.0;1712.0;Katholischer Theologe + Priester + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1450;9;118000918;Demski, Eva;1944.0;;Journalistin + Dramaturgin + Übersetzerin + Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1451;9;118747010;Kerschbaumer, Marie-Thérèse;1936.0;;Schriftstellerin + Übersetzerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1452;9;118618644;Stolz, Alban;1808.0;1883.0;Katholischer Theologe + Priester + Schriftsteller + Pädagoge;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1453;9;119317745;Kautsky, Minna;1835.0;1912.0;Schriftstellerin + Schauspielerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1454;9;13239359X;Speyer, Wilhelm;1887.0;1952.0;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1455;9;119052032;Waberer, Keto von;1942.0;;Schriftstellerin + Übersetzerin + Journalistin + Architektin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1456;9;118511947;Blum, Robert;1807.0;1848.0;Politiker + Revolutionär + Publizist + Verleger + Schriftsteller + Autor + Schriftsteller + Herausgeber;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1457;9;117105198;Jentzsch, Bernd;1940.0;;Schriftsteller + Lektor <Verlag>;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1458;9;124054579;Kumpfmüller, Michael;1961.0;;Schriftsteller + Literaturwissenschaftler;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1459;9;118636073;Zahl, Peter-Paul;1944.0;2011.0;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1460;9;119081172;Neumann, Gert;1942.0;;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1461;9;116407751;Fankhauser, Alfred;1890.0;1973.0;Schriftsteller + Mundartschriftsteller + Astrologe + Lehrer + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1462;9;119369125;Achleitner, Friedrich;1930.0;2019.0;Schriftsteller + Architekt;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1463;9;119209349;Hitzig, Julius Eduard;1780.0;1849.0;Jurist + Schriftsteller + Buchhändler + Verleger + Publizist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1464;9;116576170;Robert, Ludwig;1778.0;1832.0;Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1465;9;119333996;Muster, Wilhelm;1916.0;1994.0;Schriftsteller + Übersetzer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1466;9;115490043;Noll, Ingrid;1935.0;;Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1467;9;118088181;Schinkel, André;1972.0;;Schriftsteller + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1468;9;130928550;Wendler, Otto Bernhard;1895.0;1958.0;Schriftsteller + Pädagoge + Drehbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1469;9;116127473;Kempner, Friederike;1828.0;1905.0;Schriftstellerin + Librettistin + Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1470;9;116697105;Schmid, Christian Heinrich;1746.0;1800.0;Philologe + Jurist + Literaturkritiker + Übersetzer + Bibliothekar + Hochschullehrer + Rechtsanwalt + Schriftsteller + Literaturwissenschaftler;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1471;9;121111342;Schäfer, Frank;1966.0;;Schriftsteller + Journalist + Musikkritiker + Literaturkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1472;9;116135697;Berlepsch, Emilie von;1755.0;1830.0;Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1473;9;118607804;Schirach, Baldur von;1907.0;1974.0;Politiker + Nationalsozialist + Liederdichter + Regisseur;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1474;9;116333782;Gärtner, Karl Christian;1712.0;1791.0;Schriftsteller + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1475;9;119427532;Malkowski, Rainer;1939.0;2003.0;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1476;9;118799894;Erhardt, Heinz;1909.0;1979.0;Filmschauspieler + Kabarettist + Kabarettist + Komponist + Musiker + Schriftsteller + Sänger + Librettist + Schauspieler + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1477;9;123442400;Schedlinski, Rainer;1956.0;2019.0;Schriftsteller + Lyriker + Essayist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1478;9;119095785;Eichrodt, Ludwig;1827.0;1892.0;Schriftsteller + Jurist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1479;9;116362979;Rau, Heribert;1813.0;1876.0;Schriftsteller + Pfarrer + Theologe + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1480;9;1236637305;König, Heinrich;1790.0;1869.0;Schriftsteller + Publizist + Sekretär + Historiker + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1481;9;120490463;Hüttenegger, Bernhard;1948.0;;Schriftsteller + Literaturkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1482;9;119024551;Ingold, Felix Philipp;1942.0;;Schriftsteller + Publizist + Übersetzer + Slawist + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1483;9;115548459;Klotz, Christian Adolf;1738.0;1771.0;Philologe + Philosoph + Bibliothekar + Schriftsteller + Satiriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1484;9;118520857;Cisek, Oscar Walter;1897.0;1966.0;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1485;9;107024640;Prechtl, Robert;1874.0;1950.0;Schriftsteller + Publizist + Politiker + Bankier + Dramatiker + Übersetzer + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1486;9;128501685;Egger, Oswald;1963.0;;Schriftsteller + Lyriker + Zeichner;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1487;9;118532766;Feuerbach, Paul Johann Anselm, Ritter von;1775.0;1833.0;Jurist + Publizist + Hochschullehrer + Schriftsteller + Ritter;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1488;9;124786596;Grosz, Christiane;1944.0;2021.0;Keramikerin + Schriftstellerin + Kinderbuchautorin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1489;9;118783181;Mencke, Johann Burkhard;1675.0;1732.0;Jurist + Herausgeber + Schriftsteller + Hochschullehrer + Hofrat + Historiker + Jurist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1490;9;120246910;Dische, Irene;1952.0;;Schriftstellerin + Regisseurin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1491;9;118750607;Sack, Gustav;1885.0;1916.0;Schriftsteller + Lyriker + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1492;9;119106973;Steinbacher, Christian;1960.0;;Künstler + Schriftsteller + Herausgeber;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1493;9;119202824;Roth, Friederike;1948.0;;Schriftstellerin + Übersetzerin + Dramatikerin + Philosophie;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1494;9;116250305;Pötzl, Eduard;1851.0;1914.0;Journalist + Schriftsteller + Redakteur;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1495;9;129212822;Hock, Theobald;1573.0;1619.0;Schriftsteller + Diplomat;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1496;9;118598880;Reding, Josef;1929.0;2020.0;Schriftsteller + Prosaist + Übersetzer + Komponist + Librettist + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1497;8;118706713;Holtz-Baumert, Gerhard;1927.0;1996.0;Kinderbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1498;8;119138301;Wysocki, Gisela von;1940.0;;Schriftstellerin + Literaturkritikerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1499;8;118547135;Hausmann, Manfred;1898.0;1986.0;Schriftsteller + Lyriker + Redakteur + Prediger + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1500;8;120033577;Gerlach, Harald;1940.0;2001.0;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1501;8;119234173;Mohr, Max;1891.0;1937.0;Schriftsteller + Arzt + Arzt + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1502;8;118878484;Böhlau, Helene;1859.0;1940.0;Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1503;8;118580566;Mell, Max;1882.0;1971.0;Schriftsteller + Lyriker + Theaterkritiker + Katholik + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1504;8;118742337;Picard, Max;1888.0;1965.0;Schriftsteller + Kulturphilosoph + Arzt;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1505;8;118744224;Reinhard, Karl Friedrich;1761.0;1837.0;Diplomat + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1506;8;104247533;Lassenius, Johannes;1636.0;1692.0;Evangelischer Theologe + Pfarrer + Schriftsteller + Kirchenlieddichter + Hochschullehrer + Gymnasiallehrer + Schriftsteller + Prediger;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1507;8;120448289;Spinnen, Burkhard;1956.0;;Schriftsteller + Dozent;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1508;8;118755978;Strittmatter, Thomas;1961.0;1995.0;Drehbuchautor + Grafiker + Schriftsteller + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1509;8;142483435;Beccau, Joachim;1690.0;1755.0;Theologe + Schriftsteller + Übersetzer + Librettist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1510;8;118758160;Zuckerkandl, Bertha;1864.0;1945.0;Journalistin + Kunstkritikerin + Theaterkritikerin + Schriftstellerin + Übersetzerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1511;8;118630083;Weigel, Hans;1908.0;1991.0;Schriftsteller + Dramatiker + Übersetzer + Theaterkritiker + Librettist + Schriftsteller + Kritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1512;8;118752340;Spunda, Franz;1890.0;1963.0;Schriftsteller + Dramatiker + Lyriker + Gymnasiallehrer + Übersetzer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1513;8;118741713;Praetorius, Michael;1571.0;1621.0;Komponist + Selbstverleger + Organist + Musikschriftsteller + Musikwissenschaftler + Prior + Dirigent;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1514;8;118584812;Müller, Armin;1928.0;2005.0;Grafiker + Maler + Schriftsteller + Liederdichter + Librettist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1515;8;118788760;Richter, Joseph;1749.0;1813.0;Schriftsteller + Dramatiker + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1516;8;118815237;Hirschfeld, Magnus;1868.0;1935.0;Neurologe + Regisseur + Drehbuchautor + Sexualwissenschaftler;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1517;8;118561162;Kellermann, Bernhard;1879.0;1951.0;Schriftsteller + Auslandskorrespondent + Publizist + Regisseur + Maler + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1518;8;116019891;Bab, Julius;1880.0;1955.0;Schriftsteller + Theaterkritiker + Dramaturg + Dramatiker + Schriftsteller + Theaterkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1519;8;118545426;Hammer-Purgstall, Joseph von;1774.0;1856.0;Orientalist + Politiker + Schriftsteller + Diplomat + Historiker + Philologe + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1520;8;116852038;Lederer, Joe;1904.0;1987.0;Schriftstellerin + Drehbuchautorin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1521;8;118513214;Bonhoeffer, Dietrich;1906.0;1945.0;Evangelischer Theologe + Lyriker + Widerstandskämpfer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1522;8;1132240484;Laffert, Karl August von;1872.0;1938.0;Offizier + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1523;8;1043181962;Lange, Hans Joachim;1918.0;1980.0;Journalist + Schriftsteller + Redakteur + Autor + Schriftsteller + Produktionsleiter;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1524;8;120218992;Fritsch, Werner;1960.0;;Schriftsteller + Dramatiker + Filmregisseur + Regisseur + Librettist + Regisseur + Schauspieler + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1525;8;115643486;Liebmann, Irina;1943.0;;Schriftstellerin + Drehbuchautorin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1526;8;1037528700;Neumark, Georg;1621.0;1681.0;Schriftsteller + Komponist + Bibliothekar + Kirchenlieddichter + Selbstverleger;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1527;8;100272568;Meichel, Joachim;1590.0;1637.0;Schriftsteller + Übersetzer + Kanzleibeamter;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1528;8;116274069;Koeberle, Georg;1819.0;1898.0;Schriftsteller + Theaterdirektor + Dramatiker + Theaterdirektor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1529;8;119539055;Bächler, Wolfgang;1925.0;2007.0;Schriftsteller + Lyriker + Librettist + Schauspieler + Schauspieler + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1530;8;118629832;Wecker, Konstantin;1947.0;;Musiker + Schriftsteller + Komponist + Liedermacher + Schauspieler + Lyriker + Sänger + Dirigent + Komponist + Schauspieler;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1531;8;118581147;Merkel, Garlieb Helwig;1769.0;1850.0;Schriftsteller + Publizist + Journalist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1532;8;121112861;Vertlib, Vladimir;1966.0;;Schriftsteller + Soziologe + Übersetzer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1533;8;118973975;Pietraß, Richard;1946.0;;Schriftsteller + Lyriker + Lektor <Verlag> + Übersetzer + Psychologe + Herausgeber + Gastdozent;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1534;8;119384809;Guttenbrunner, Michael;1919.0;2004.0;Schriftsteller + Librettist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1535;8;119522519;Leupold, Dagmar;1955.0;;Schriftstellerin + Lyrikerin + Übersetzerin + Drehbuchautorin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1536;8;118593641;Pfleger, Karl;1883.0;1975.0;Pfarrer + Katholischer Theologe + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1537;8;118559222;Käutner, Helmut;1908.0;1980.0;Schauspieler + Regisseur + Filmregisseur + Drehbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1538;8;118628186;Waggerl, Karl Heinrich;1897.0;1973.0;Schriftsteller + Musiker + Librettist + Lyriker + Sprecher;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1539;8;118591061;Paasche, Hans;1881.0;1920.0;Soldat + Offizier + Redakteur + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1540;8;118809466;Salis-Seewis, Johann Gaudenz von;1762.0;1834.0;Schriftsteller + Politiker + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1541;8;132957078;Cotten, Ann;1982.0;;Schriftstellerin + Übersetzerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1542;8;118795317;Schönaich-Carolath, Emil von;1852.0;1908.0;Schriftsteller + Lyriker + Leutnant;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1543;8;116010010;Albrecht, Sophie;1757.0;1840.0;Schauspielerin + Schriftstellerin + Dramatikerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1544;8;118782797;Mechtel, Angelika;1943.0;2000.0;Schriftstellerin + Kinderbuchautorin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1545;8;104334134;Kriegsmann, Wilhelm Christoph;1633.0;1679.0;Politiker + Regierungsbeamter + Evangelischer Theologe + Schriftsteller + Selbstverleger;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1546;8;118606662;Schaukal, Richard von;1874.0;1942.0;Schriftsteller + Ministerialrat + Librettist + Kritiker + Lyriker + Jurist + Sekretär;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1547;8;105759597;Habeck, Fritz;1916.0;1997.0;Schriftsteller + Drehbuchautor + Schriftsteller + Dramaturg;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1548;8;118579894;Meerbaum-Eisinger, Selma;1924.0;1942.0;Übersetzerin + Lyrikerin + Librettistin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1549;8;119368579;Schreyvogel, Joseph;1768.0;1832.0;Theaterintendant + Dramaturg + Schriftsteller + Herausgeber + Schriftsteller + Theaterintendant + Dramaturg + Theaterdirektor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1550;8;119171082;Brülow, Kaspar;1585.0;1627.0;Schriftsteller + Gymnasiallehrer + Hochschullehrer + Dramatiker + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1551;8;119465116;Katz, Leo;1892.0;1954.0;Schriftsteller + Journalist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1552;8;116998938;Zimmermann, Joachim Johann Daniel;1710.0;1767.0;Prediger + Lyriker + Librettist + Archidiakon;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1553;8;104275197;Baczko, Ludwig von;1756.0;1823.0;Historiker + Schriftsteller + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1554;8;11861147X;Schulz, Max Walter;1921.0;1991.0;Schriftsteller + Drehbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1555;8;118906755;Reinecker, Herbert;1914.0;2007.0;Drehbuchautor + Schriftsteller + Schriftsteller + Dramatiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1556;8;116255021;Knittel, John;1891.0;1970.0;Schriftsteller + Dramatiker + Kaufmann + Gründer + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1556;8;118681508;Ebeling, Christoph Daniel;1741.0;1817.0;Theologe + Gelehrter + Bibliothekar + Schriftsteller + Historiker + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1558;8;118621378;Tersteegen, Gerhard;1697.0;1769.0;Seelsorger + Prediger + Librettist + Mystiker + Liederdichter + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1559;8;116158212;Beumelburg, Werner;1899.0;1963.0;Schriftsteller + Redakteur + Drehbuchautor + Offizier;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1560;8;118902997;Tielsch, Ilse;1929.0;2023.0;Schriftstellerin + Librettistin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1561;8;118873709;Kuntsch, Margarethe Susanne von;1657.0;1717.0;Schriftstellerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1562;8;120195429;Balàka, Bettina;1966.0;;Schriftstellerin + Lyrikerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1563;8;118540386;Goeze, Johann Melchior;1717.0;1786.0;Evangelischer Theologe + Pfarrer + Schriftsteller + Konsistorialrat + Pfarrer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1564;8;11326478X;Bukowski, Oliver;1961.0;;Schriftsteller + Dramatiker + Regisseur + Drehbuchautor + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1565;8;122338820;Schreyer, Wolfgang;1927.0;2017.0;Schriftsteller + Drehbuchautor;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1566;8;115628290;Zeevaert, Sigrid;1960.0;;Kinderbuchautorin + Jugendbuchautorin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1566;8;116303514;Kohl, Johann Peter;1698.0;1778.0;Theologe + Kirchenhistoriker + Polyhistor + Hochschullehrer + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1568;8;120012502;Gruber, Reinhard P.;1947.0;;Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1569;8;118631853;Westenrieder, Lorenz von;1748.0;1829.0;Historiker + Theologe + Pädagoge + Publizist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1570;8;11603498X;Kalbeck, Max;1850.0;1921.0;Musikkritiker + Musikschriftsteller + Theaterkritiker + Redakteur + Librettist + Kritiker + Musikschriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1571;8;118547003;Hausenstein, Wilhelm;1882.0;1957.0;Schriftsteller + Journalist + Übersetzer + Kunsthistoriker + Diplomat;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1572;8;118582070;Michael, Friedrich;1892.0;1986.0;Schriftsteller + Verleger + Germanist + Journalist + Redakteur + Lektor <Verlag> + Schriftsteller + Theaterkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1573;8;118705849;Hoffmann, Dieter;1934.0;2024.0;Schriftsteller + Lyriker + Redakteur + Kunstkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1574;8;118556371;Jacobsohn, Siegfried;1881.0;1926.0;Publizist + Journalist + Theaterkritiker + Schriftsteller + Herausgeber + Schriftsteller + Kritiker + Theaterkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
1575;8;100369235;Leon, Gottlieb von;1757.0;1832.0;Schriftsteller + Bibliothekar;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
