canonicity_score_rank;canonicity_score_scaled;GND;GND_name;GND_birth;GND_death;GND_occupation;rausschmeißen? (AH);rausschmeißen? (MK);Konsens (JE);;;;;;;;;;;;;;;
30;169;119001802;Jelinek, Elfriede;1946.0;;Schriftstellerin + Lyrikerin + Übersetzerin + Drehbuchautorin + Librettistin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
31;162;118505602;Bachmann, Ingeborg;1926.0;1973.0;Schriftstellerin + Librettistin + Musikerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
32;162;118618725;Storm, Theodor;1817.0;1888.0;Schriftsteller + Lyriker + Jurist + Librettist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
33;153;118557211;Jean Paul;1763.0;1825.0;Schriftsteller + Lyriker + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
34;152;118577131;Mann, Heinrich;1871.0;1950.0;Schriftsteller + Dramatiker + Übersetzer + Zeichner + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
35;150;118526200;Döblin, Alfred;1878.0;1957.0;Schriftsteller + Arzt + Militärarzt + Drehbuchautor + Theaterkritiker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
36;150;118634666;Wolf, Christa;1929.0;2011.0;Schriftstellerin + Redakteurin + Drehbuchautorin + Librettistin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
37;137;118594117;Wagner, Richard;1813.0;1883.0;Komponist + Schriftsteller;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
38;136;118588893;Novalis;1772.0;1801.0;Schriftsteller + Bergingenieur + Geologe + Philosoph + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
39;133;118509861;Bernhard, Thomas;1931.0;1989.0;Schriftsteller + Dramatiker + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
40;128;118603140;Roth, Joseph;1894.0;1939.0;Schriftsteller + Journalist + Soldat;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
41;127;118500775;Adorno, Theodor W.;1903.0;1969.0;Philosoph + Komponist + Soziologe + Schriftsteller + Musikwissenschaftler + Hochschullehrer;WAHR;WAHR;WAHR;;;;;;;;;;;;;;;
42;125;118542273;Grimmelshausen, Hans Jakob Christoffel von;1622.0;1676.0;Schriftsteller + Erzähler + Librettist;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
43;124;118612743;Seghers, Anna;1900.0;1983.0;Schriftstellerin + Sängerin;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
44;123;118584162;Moritz, Karl Philipp;1756.0;1793.0;Schriftsteller + Schauspieler + Hofrat;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
45;123;118515055;Brentano, Clemens;1778.0;1842.0;Schriftsteller + Lyriker + Librettist + Schriftsteller;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
46;121;118542192;Grillparzer, Franz;1791.0;1872.0;Schriftsteller + Dramatiker + Lyriker + Finanzbeamter + Archivdirektor + Hofrat + Librettist + Lyriker;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
47;118;118519859;Celan, Paul;1920.0;1970.0;Schriftsteller + Lektor <Verlag> + Lyriker + Übersetzer;FALSCH;FALSCH;FALSCH;;;;;;;;;;;;;;;
