GND;VDBO_source;author_full;author_simple;length
1112471774;Killy_1;Albrecht, um die Mitte des 13. Jh., bis etwa 1280;Albrecht;1845.0
119540940;Killy_1;Albrecht von Bonstetten;Albrecht von Bonstetten;399.0
118644378;Killy_1;Albrecht von Eyb;Eyb, Albrecht von;1185.0
118501623;Killy_1;Albrecht von Halberstadt, um 1200;Albrecht von Halberstadt;486.0
118501631;Killy_1;Albrecht von Johansdorf, Johannsdorf, urkundlich erwähnt 1185-1209 (?);Albrecht von Johansdorf;612.0
102421641;Killy_1;Albrecht von Kemenaten, um 1230/40;Albrecht von Kemenaten;731.0
11850164X;Killy_1;Albrecht von Scharfenberg, zweite Hälfte des 13. Jh;Albrecht von Scharfenberg;781.0
122949293;Killy_1;Albrecht, Johann, auch: Albertus, gen. Wimpinaeus (von Wimpfen);Albrecht, Johann;441.0
118644386;Killy_1;Albrecht, Johann Friedrich Ernst, auch: J. F. A. Stade;Albrecht, Johann Friedrich Ernst;750.0
116010010;Killy_1;Albrecht, (Johanne) Sophie (Dorothea), geb. Baumer;Albrecht, Sophie;331.0
118501712;Killy_1;Albus, Anita;Albus, Anita;330.0
128976292;Killy_1;Aler, Paul;Aler, Paul;469.0
109326628;Killy_1;Alexan, Georg Friedrich, eigentl.: Alexander Kupfermann;Alexan, Georg Friedrich;690.0
;Killy_1;;‘Der Große Alexander’ (auch: ‘Wernigeroder Alexander’);520.0
118644629;Killy_1;Der Wilde Alexander, auch: Meister A.,;Wilde Alexander, Der;484.0
118812955;Killy_1;Alexander, Elisabeth;Alexander, Elisabeth;621.0
118648071;Killy_1;Alexis, Willibald, eigentl.: Georg Wilhelm Heinrich Haering (Häring);Alexis, Willibald;1565.0
118648586;Killy_1;Alfeldt, Alveld, Alveldt, Alfeld, Augustin von;Alfeldt, Augustin von;592.0
123478669;Killy_1;Allemann, Urs;Allemann, Urs;437.0
118502107;Killy_1;Allmers, Hermann;Allmers, Hermann;472.0
119260514;Killy_1;Aloni, Jenny, geb. Rosenbaum;Aloni, Jenny;901.0
;Killy_1;;‘Alpharts Tod’;1216.0
;Killy_1;;‘Alsfelder Passionsspiel’;833.0
118644858;Killy_1;Alsted, Johann Heinrich;Alsted, Johann Heinrich;1345.0
116292962;Killy_1;Alt, Franz;Alt, Franz;624.0
1186986255;Killy_1;Alt, Georg;Alt, Georg;589.0
118502255;Killy_1;Altenberg, Peter, eigentl.: Richard Engländer;Altenberg, Peter;1245.0
115674861;Killy_1;Altenburg, Matthias, auch: Jan Seghers;Altenburg, Matthias;233.0
118502263;Killy_1;Altendorf, Wolfgang;Altendorf, Wolfgang;637.0
100010350;Killy_1;Altenstaig, Alfensteig, Johannes;Altenstaig, Johannes;421.0
100010423;Killy_1;Althamer, Andreas, auch: Palaeosphyra;Althamer, Andreas;817.0
119089610;Killy_1;Althaus, Peter Paul;Althaus, Peter Paul;626.0
11850228X;Killy_1;Althusius, Johannes, eigentl.: Althaus;Althusius, Johannes;1228.0
1024104567;Killy_1;Altmann, Matthias (Augustin);Altmann, Matthias;273.0
130068292;Killy_1;Altmann, Rene;Altmann, Rene;285.0
101044127;Killy_1;Meister Altswert, zweite Hälfte des 14. Jh;Altswert, Meister;411.0
