DNB_dataset,title,UB,year,GND_person,person,GND_author,author,sachgruppen
580054632,Uriel Acosta : Trauerspiel in 5 Aufz. / Karl Gutzkow. Mit e. Einl. von Rudolf von Gottschall,UB 5051,1847.0,118543830 + 127615369,"Gutzkow, Karl (Verfasser) + Gotschall, Rudolf von (Mitwirkender)",118543830,"Gutzkow, Karl ",
580118908,Gyges und sein Ring : eine Tragödie in 5 Akten / Friedrich Hebbel,UB 3199,1856.0,118547445,"Hebbel, Friedrich (Verfasser)",118547445,"Hebbel, Friedrich ",
362744289,Trutz-Nachtigal : Lieder aus d. dt. Walde / August Silberstein,UB 263,1870.0,11738464X,"Silberstein, August (Verfasser)",11738464X,"Silberstein, August ",
573762244,"Ghaselen, alte und neue / von Franz Hermann von Hermannsthal",UB 371,1872.0,116743980,"Hermann von Hermannsthal, Franz (Verfasser)",116743980,"Hermann von Hermannsthal, Franz ",
578851466,Beovulf (Bärwelf) : das älteste deutsche Heldengedicht ; aus d. Angelsächsischen / v. Hans von Wolzogen,UB 430,1872.0,119498235,"Wolzogen, Hans von (Mitwirkender)",,,
362676275,Studenten und Lutzower : Ein Zeitb. aus d. dt. Freiheitskriege v. 1813 ; Vaterländ. Schausp. in 4 Aufz. / Wilhelm Schröder,UB 541,1874.0,,"Schröder, Wilhelm (Verfasser)",,"Schröder, Wilhelm ",
1066460426,"Oberon : romantische Oper in drei Aufzügen / von C. M. von Weber. Dichtung von James Robinson Planché (Theodor Hell). Vollst. Buch, durchgearb. u. hrsg. von Carl Friedr. Wittmann",UB 2774,1876.0,118629662 + 117427284 + 12115873X,"Weber, Carl Maria von (Verfasser) + Wittmann, Carl Friedrich (Herausgeber) + Planché, James R. (Texter)",118629662,"Weber, Carl Maria von ",
362563225,Die guten Freunde : Lustspiel in 4 Aufz. / Victorien Sardou. Für d. dt. Bühne bearb. von Heinrich Laube,UB 708,1876.0,118794566 + 118570080,"Sardou, Victorien (Verfasser) + Laube, Heinrich (Mitwirkender)",118794566,"Sardou, Victorien ",
1017474931,Ueber den Umgang mit Menschen / von Adolph Freiherrn Knigge,UB 1138,1878.0,11856370X,"Knigge, Adolph, Freiherr (Verfasser)",11856370X,"Knigge, Adolph, Freiherr ","390 Bräuche, Etikette, Folklore"
999426540,Götterlehre der Griechen und Römer : mit 62 Ill. in Holzschn. / von Karl Philipp Moritz. In neuer Bearb. hrsg. v. Max Oberbreyer,UB 1081,1878.0,118584162 + 117073164,"Moritz, Karl Philipp (Verfasser) + Oberbreyer, Max (Mitwirkender)",118584162,"Moritz, Karl Philipp ",
361961146,Mozart / Von Ludwig Nohl,UB 1121,1879.0,117039926,"Nohl, Ludwig (Verfasser)",117039926,"Nohl, Ludwig ",
1200935357,Beethoven : Biographie / von Ludwig Nohl,UB 1181,1879.0,,"Nohl, Ludwig (Verfasser)",,"Nohl, Ludwig ",
997932937,Penthesilea : ein Trauersp. / v. Heinrich von Kleist,UB 1305,1880.0,118563076,"Kleist, Heinrich von (Verfasser)",118563076,"Kleist, Heinrich von ",
363026908,Alter schützt vor Thorheit nicht : Lustsp. in 1 Aufz. / Feodor Wehl,UB 1105,1880.0,117220264,"Wehl, Feodor (Verfasser)",117220264,"Wehl, Feodor ",
580333949,Von der Macht des Gemüts durch den blossen Vorsatz seiner krankhaften Gefühle Meister zu sein / Immanuel Kant. Hrsg. u. mit Anm. vers. v. C. W. Hufeland,UB 1130,1882.0,118559796 + 118554514,"Kant, Immanuel (Verfasser) + Hufeland, Christoph Wilhelm von (Mitwirkender)",118559796,"Kant, Immanuel ",
578880776,Malati und Madhava : Ein ind. Drama / Bhavabhuti. Zum 1. Male u. metrisch aus d. Orig. ins Dt. übers. v. Ludwig Fritze,UB 1844,1883.0,119349914 + 116826169,"Bhavabhūti (Verfasser) + Fritze, Ludwig (Mitwirkender)",119349914,Bhavabhūti ,
578973847,Lexikon der deutschen Dichter und Prosaisten von den ältesten Zeiten bis zum Ende des 18. Jahrhunderts / Bearb. Franz Brümmer,UB 1941,1884.0,116751460,"Brümmer, Franz (Verfasser)",116751460,"Brümmer, Franz ",
580772098,Figaros Hochzeit : Volständ. Buch ; Oper in 4 Aufz. / von Wolfgang Amadeus Mozart. Dichtung v. Lorenzo da Ponte. [Übers.:] Knigge ; Vulpius. Durchgearb. u. hrsg. v. Carl Friedrich Wittmann,UB 2655,1890.0,118584596 + 118678841 + 11856370X + 127661026 + 117427284,"Mozart, Wolfgang Amadeus (Verfasser) + Da Ponte, Lorenzo (Mitwirkender) + Knigge, Adolph, Freiherr (Mitwirkender) + Vulpius, August (Mitwirkender) + Wittmann, Carl Friedrich (Mitwirkender)",118584596,"Mozart, Wolfgang Amadeus ",
999353225,Die gelehrten Frauen : Lustspiel in 5 Aufzügen / von [Jean Baptiste Poquelin] Molière. Übers. v. Malvine Gräfin v. Maltzan,UB 113,1890.0,11858331X + 1055195238,"Molière (Verfasser) + Maltzan, Malwine, Reichsgräfin von (Übersetzer)",11858331X,Molière ,
994287437,Johann von Paris Komische / Oper in 2 Aufz. von François Adrien Boieldieu. Dichtg v. Saint-Just Joseph Ritter von Seyfried. Vollst. Buch. Durchgearb. und hrsg. v. Carl Friedrich Wittmann,UB 3153,1893.0,118512978 + 117460087,"Boieldieu, François Adrien (Verfasser) + Seyfried, Joseph Ritter von (Mitwirkender)",118512978,"Boieldieu, François Adrien ",
1002342821,"Deutsche Geschichte in Liedern deutscher DichterTeil: 1., Von Pytheas bis Luther",UB 3278,1894.0,,,,,
1002342937,"Deutsche Geschichte in Liedern deutscher DichterTeil: 2., Von Ferdinand II. bis Wilhelm II",UB 3281,1894.0,,,,,
1008034932,"Tausend und eine NachtTeil: 2., 25. - 44. Nacht",UB 3616,1895.0,,,,,890 Literatur in anderen Sprachen + B Belletristik
1008035130,Der Richter von Zalamea : Schauspiel in drei Aufzügen / von Calderón de la Barca. Übers. von  J. D. Gries,UB 1425,1895.0,118518399 + 116834633,"Calderón de la Barca, Pedro (Verfasser) + Gries, Johann Diederich (Übersetzer)",118518399,"Calderón de la Barca, Pedro ",860 Spanische und portugiesische Literatur + B Belletristik
580659712,Der Vampyr : Romantische Oper in 4 Aufz. ; Vollst. Buch / Heinrich August Marschner. Dichtg v. Wilhelm August Wohlbrück. Durchgearb. u. hrsg. v. Carl Friedrich Wittmann,UB 3517,1896.0,11878210X + 124953271 + 117427284,"Marschner, Heinrich (Verfasser) + Wohlbrück, Wilhelm August (Mitwirkender) + Wittmann, Carl Friedrich (Mitwirkender)",11878210X,"Marschner, Heinrich ",
579656853,Tages-Chronik des deutsch-französischen Krieges 1870-71 sowie der Kämpfe mit der Pariser Kommune / Max Dittrich,UB 3711,1897.0,142816809,"Dittrich, Max (Verfasser)",142816809,"Dittrich, Max ",
580160076,Baron Rebus und andere Novelletten / Franz Herczeg. Aus d. Ungar. übers. v. Emil Kumlik,UB 3657,1898.0,,"Herczeg, Franz (Verfasser) + Kumlik, Emil (Mitwirkender)",,"Herczeg, Franz ",
999481932,Der Koran / Muhammad. Aus d. Arabischen übertr. u. m. einer Einl. versehen v. Max Henning,UB 4206,1901.0,118583158 + 116716533,"Muḥammad (Verfasser) + Henning, Max (Übersetzer)",118583158,Muḥammad ,
994490712,"Richard Wagners Tristan und Isolde / Handlg in 3 Aufz. Geschichtl., szen. u. musikal. analysiert m. zahlr. Notenbeisp. v. Max Chop",UB 4768,1906.0,116506946,"Chop, Max (Verfasser)",116506946,"Chop, Max ",
1048458326,Die Hochzeit zu Ulfosa : Schauspiel in vier Aufzügen  / von F. Hedberg. Frei aus dem Schwed. übers. von H. Denhorst,UB 628,1906.0,127497390 + 11570695X,"Hedberg, Frans (Verfasser) + Denhardt, Heinrich (Übersetzer)",127497390,"Hedberg, Frans ",839 Literatur in anderen germanischen Sprachen + B Belletristik
995477728,Vom Strande des Lebens / Novellen u. Skizzen v. Otto Ernst. Eingel. f. Hermann Diez. Mit d. Bildn. d. Dichters,UB 5000,1908.0,,"Ernst, Otto (Verfasser)",,"Ernst, Otto ",
996623256,Die Königin von Saba / Oper in 4 Aufz. nach e. Text von H[ermann] S[alomon] Mosenthal v. Carl Goldmark. Vollst. Buch. Hrsg. u. eingeleit. von Georg Richard Kruse,UB 5467,1912.0,119527995 + 101363184,"Goldmark, Karl (Verfasser, Mitwirkender) + Mosenthal, Salomon Hermann von (Mitwirkender)",,,
362997632,Tristan und Isolde : Vollst. Buch / Von Richard Wagner. Hrsg. u. eingeleitet von Georg Richard Kruse,UB 5638,1913.0,118594117 + 116574976,"Wagner, Richard (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118594117,"Wagner, Richard ",
362997500,Tannhäuser und der Sängerkrieg auf Wartburg : Vollst. Buch ; Romant. Oper in 3 Aufz. / von Richard Wagner. Hrsg. u. eingeleitet von Georg Richard Kruse,UB 5636,1913.0,118594117 + 116574976,"Wagner, Richard (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118594117,"Wagner, Richard ",
362996814,Parsifal : Ein Bühnenweihfestspiel ; Vollst. Buch ; Mit Wagners Bildn. / von Richard Wagner. Hrsg. u. eingeleitet von Georg Richard Kruse,UB 5640,1913.0,118594117 + 116574976,"Wagner, Richard (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118594117,"Wagner, Richard ",59 Belletristik
362996253,Lohengrin : Romant. Oper in 3 Aufz. ; Vollst. Buch / von Richard Wagner. Hrsg. u. eingeleitet von Georg Richard Kruse,UB 5637,1913.0,118594117 + 116574976,"Wagner, Richard (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118594117,"Wagner, Richard ",
986740853,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 8., Wissmann bis Zyböri",UB 5546,1913.0,,,,,
986740780,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 7., Spillmann bis Wissmann",UB 5541,1913.0,,,,,
986740748,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 6., Risch - Spiller",UB 5536,1913.0,,,,,
986740713,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 5., Minuth - Risch",UB 5531,1913.0,,,,,
986740667,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 4., Kleimon - Minnich",UB 3536,1913.0,,,,,
986740608,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 3., Grzenkowski - Kleimann",UB 3531,1913.0,,,,,
986740578,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 2., Dennert bis Grütter",UB 1986,1913.0,,,,,
986739596,"Brümmer, Franz: Lexikon der deutschen Dichter und Prosaisten vom Beginn des 19. Jahrhunderts bis zur GegenwartTeil: 1., Aar bis Dennemark",UB 1981,1913.0,,,,,
362732396,Julius Cäsar : Eine Tragödie in 5 Aufz. / von William Shakespeare. Nach d. von Hermann Conrad rev. Schlegel-Tieckschen Übers. f. d. Bühne eingerichtet von Ludwig Weber,UB 5504,1913.0,118613723 + 117167339,"Shakespeare, William (Verfasser) + Weber, Ludwig (Mitwirkender)",118613723,"Shakespeare, William ",
579029085,Giuseppe Verdi / Von Max Chop,UB 5595,1913.0,116506946,"Chop, Max (Verfasser)",116506946,"Chop, Max ",
580112322,Ein Todesflug u. and. Novellen / von Hans Hauptmann,UB 5628,1913.0,116528486,"Hauptmann, Hans (Verfasser)",116528486,"Hauptmann, Hans ",
362996474,Die Meistersinger von Nürnberg : Vollst. Buch / Von Richard Wagner. Hrsg. u. eingeleitet von Georg Richard Kruse,UB 5639,1913.0,118594117 + 116574976,"Wagner, Richard (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118594117,"Wagner, Richard ",
362996024,Der fliegende Holländer : Vollst. Buch ; Romant. Oper in 3 Aufz. / von Richard Wagner. Durchges. u. eingeleitet von Georg Richard Kruse,UB 5635,1913.0,118594117 + 116574976,"Wagner, Richard (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118594117,"Wagner, Richard ",
361980760,Vorwärts mit Gott! : Vaterländisches Zeitbild in 1 Aufzug / von Anton Ohorn,UB 5721,1914.0,117112518,"Ohorn, Anton (Verfasser)",117112518,"Ohorn, Anton ",
580181421,Tagebuch des Grenadiers St. / Bearb. von Robert Heymann,UB 5736,1914.0,121233154,"Heymann, Robert (Verfasser)",121233154,"Heymann, Robert ",
36299725X,Rienzi der letzte der Tribunen : Große tragische Oper in 5 Aufz. (nach Bulwers gleichnam. Roman) ; Vollst. Buch / von Richard Wagner. Hrsg. u. eingel. von Geogr Richard Kruse,UB 5645,1914.0,118594117 + 116574976,"Wagner, Richard (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118594117,"Wagner, Richard ",
57997510X,Iphigenia in Aulis : Vollst. Buch ; Grosse Oper in 3 Aufz. / v. Chr. W. Gluck. Dichtung v. Bailli LeBlanc DuRoulett. Bearb. v. Richard Wagner. Hrsg. u. eingel. v. Georg Richard Kruse,UB 5694,1914.0,118539841 + 118594117 + 116574976 + 118539841 + 127494529,"Gluck, Christoph Willibald (Verfasser) + Wagner, Richard (Mitwirkender) + Kruse, Georg Richard (Herausgeber)",118539841,"Gluck, Christoph Willibald ",780 Musik
580604071,Der Waffenschmied : [Text-]Buch ; Komische Oper in 3 Aufz. / v. Albert Lortzing. Hrsg. u. eingel. v. Georg Richard Kruse,UB 2569,1914.0,118574469 + 116574976,"Lortzing, Albert (Verfasser) + Kruse, Georg Richard (Mitwirkender)",118574469,"Lortzing, Albert ",
579631869,Das deutsche Weißbuch und die Verhandlungen mit England / Eingel. u. hrsg. von Wilhelm v. Massow,UB 5713,1914.0,141576065,"Massow, Wilhelm von (Herausgeber)",,,
363233725,"Wagner, Richard: Bühnenfestspiel ""Der Ring des Nibelungen""Teil: Vorabend., Das Rheingold",UB 5641,1914.0,,,,,
36323375X,"Wagner, Richard: Bühnenfestspiel ""Der Ring des Nibelungen""Teil: Tag 3., Götterdämmerung",UB 5644,1914.0,,,,,
363233741,"Wagner, Richard: Bühnenfestspiel ""Der Ring des Nibelungen""Teil: Tag 2., Siegfried",UB 5643,1914.0,,,,,
363233733,"Wagner, Richard: Bühnenfestspiel ""Der Ring des Nibelungen""Teil: Tag 1., Die Walküre",UB 5642,1914.0,,,,,
580473074,Zelter / Von Georg Richard Kruse. Mit Zelters Bildn.,UB 5815,1915.0,116574976,"Kruse, Georg Richard (Verfasser)",116574976,"Kruse, Georg Richard ",
580181456,Ulanen der Luft : Aus Aufzeichnungen von Fliegern / bearb. von Robert Heymann,UB 5806,1915.0,121233154,"Heymann, Robert (Verfasser)",121233154,"Heymann, Robert ",
362974381,Robert Volkmann : Mit R. Volkmanns Bildn. / Von Hans Volkmann,UB 5733,1915.0,,"Volkmann, Hans (Verfasser)",,"Volkmann, Hans ",
580655261,Österreichisches KriegstagebuchTeil: 1,UB 5770,1915.0,,,,,
580717267,"Kriegskalender 1915Teil: T. 2., Vom 23. Mai bis zur Einnahme von Brest-Litowsk, 26. August",UB 5829,1915.0,,,,,
580717259,"Kriegskalender 1915Teil: T. 1., Vom 1. Januar bis zur italienischen Kriegserklärung, 23. Mai",UB 5794,1915.0,,,,,
580112314,Im Schatten großer Zeit : Novellen / von Hans Hauptmann,UB 5790,1915.0,116528486,"Hauptmann, Hans (Verfasser)",116528486,"Hauptmann, Hans ",
580368548,Im Felde : heitere und ernste Kriegserlebnisse / von Oskar Kilian,UB 5742,1915.0,1023488582,"Kilian, Oskar (Verfasser)",1023488582,"Kilian, Oskar ",
362656436,Hohe Fahrt! : Bilder und Skizzen aus dem Seekrieg ; mit Buchschmuck vom Verfasser / von Wilhelm Schreiner,UB 5757,1915.0,1024265781,"Schreiner, Wilhelm (Verfasser)",1024265781,"Schreiner, Wilhelm ",
580181200,Die Blitzteufel : Nach Aufzeichnungen des Oberjägers K. / bearb. von Robert Heymann,UB 5751,1915.0,121233154,"Heymann, Robert (Verfasser)",121233154,"Heymann, Robert ",
120251569X,"Löbell, Arthur von: Der Weltkrieg 1914/15Teil: Bd. 2., Von der Einnahme von Lodz bis zur Befreiung von Lemberg",UB 5818,1915.0,,,,,
580591719,"Löbell, Arthur von: Der Weltkrieg 1914/15Teil: Bd. 1., Bis zu den Kämpfen um Lodz",UB 5737,1915.0,,,,,
578867966,Der Richter : Schauspiel in 1 Aufz.Ruhetag : eine heitere Szene aus ernster ZeitMax Bernstein,UB 5805,1915.0,119257408,"Bernstein, Max (Verfasser)",119257408,"Bernstein, Max ",
578739046,Der Krieg im Zeitalter der Naturwissenschaften und der Technik / von Eugen Alt,UB 5797,1915.0,130547352,"Alt, Eugen (Verfasser)",130547352,"Alt, Eugen ",
1017731209,"Deutsches Reich. Heer. Grosses Hauptquartier: Berichte aus dem Großen HauptquartierTeil: 4., 1914/15",UB 5849,1915.0,,,,,
579612597,"Deutsches Reich. Heer. Grosses Hauptquartier: Berichte aus dem Großen HauptquartierTeil: 3., 1914/15",UB 5814,1915.0,,,,,
1017731098,"Deutsches Reich. Heer. Grosses Hauptquartier: Berichte aus dem Großen HauptquartierTeil: 2., 1914/15",UB 5788,1915.0,,,,,
1017731012,"Deutsches Reich. Heer. Grosses Hauptquartier: Berichte aus dem Großen HauptquartierTeil: 1., 1914/15",UB 5780,1915.0,,,,,
363045902,Aus dem Großen Kriege : Erzählungen / von Heinz Welten,UB 5754,1915.0,116176415,"Welten, Heinz (Verfasser)",116176415,"Welten, Heinz ",
1057901830,Österreichisches KriegstagebuchTeil: 2,UB 5889,1916.0,,,,,
362227969,"Nohl, Ludwig: LisztTeil: T. 2. / von August Göllerich",UB 2392,1916.0,118695762,"Göllerich, August (Mitwirkender)",,,
580717275,"Kriegskalender 1915Teil: T. 3., Vom 27. August, der Besitznahme von Brest-Litowsk, bis zu Ende des Jahres 1915",UB 5836,1916.0,,,,,
579935655,"Hanning, der Stürmer : Wittenseer Kriegsgeschichten / von Hans Ferdinand Gerhard",UB 5874,1916.0,116566779,"Gerhard, Hans Ferdinand (Verfasser)",116566779,"Gerhard, Hans Ferdinand ",
580201031,Feldgraue Humoresken / von Gustav Hochstetter,UB 5830,1916.0,116921811,"Hochstetter, Gustav (Verfasser)",116921811,"Hochstetter, Gustav ",
362027218,Falsche Taktik und andere humoristische Geschichten aus dem Großen Kriege / von Peter Robinson,UB 5890,1916.0,130837725,"Robinson, Peter (Verfasser)",130837725,"Robinson, Peter ",
1202515738,"Löbell, Arthur von: Der Weltkrieg 1914/15Teil: Bd. 4., Von Beginn 1916 bis zum Ausbruch des rumänischen Krieges Ende August 1916",UB 5946,1916.0,,,,,
1202515703,"Löbell, Arthur von: Der Weltkrieg 1914/15Teil: Bd. 3., Von der Wiedereinnahme von Lemberg bis zum Jahresschluß 1915",UB 5852,1916.0,,,,,
362077797,Das eiserne Spiel : Kriegsroman / von Martin Proskauer,UB 5841,1916.0,,"Proskauer, Martin (Verfasser)",,"Proskauer, Martin ",
1017731292,"Deutsches Reich. Heer. Grosses Hauptquartier: Berichte aus dem Großen HauptquartierTeil: 5., 1916",UB 5934,1916.0,,,,,
580181464,Ulanen der Luft : nach Fliegeraufzeichngn / Rob. Heymann,UB 5806,1917.0,121233154,"Heymann, Robert (Verfasser)",121233154,"Heymann, Robert ",
580612708,"S. M. S. ""Dresden"" : Nach Mitteilungen von Offizieren und Mannschaften / von Winfried Lüdecke",UB 5955,1917.0,105487120,"Lüdecke, Winfried (Verfasser)",105487120,"Lüdecke, Winfried ",
580454185,Mutter unbekannt : Roman aus Rumänien / von Mite Kremnitz. Mit e. Einl. von Hermann Kienzl,UB 5908,1917.0,11856661X,"Kremnitz, Mite (Verfasser) + Kienzl, Hermann (Mitwirkender)",11856661X,"Kremnitz, Mite ","850 Italienische, rumänische, rätoromanische Literatur + B Belletristik"
1202520529,"Scherr, Johannes: MichelTeil: Bd. 2",UB 5951,1917.0,,,,,
362656487,Kühner Kurs! : Neue Bilder und Skizzen vom Seekrieg ; Mit Buchschmuck v. Verf. / Von Wilhelm Schreiner,UB 5910,1917.0,1024265781,"Schreiner, Wilhelm (Verfasser)",1024265781,"Schreiner, Wilhelm ",
578813076,Kriegskameraden und andere Erzählungen / Von Eva Gräfin v. Baudissin,UB 5917,1917.0,116083301,"Baudissin, Eva, Gräfin von (Verfasser)",116083301,"Baudissin, Eva, Gräfin von ",
580717283,"Kriegskalender 1916Teil: T. 2., Vom 1. Juni bis 30. September 1916",UB 5967,1917.0,,,,,
580717291,"Kriegskalender 1916Teil: T. 1., Vom 1. Januar bis 31. Mai 1916",UB 5915,1917.0,,,,,
576009423,Kaiser und Krieg oder Republik und Frieden? / Siegfried Balder,UB 2461,1917.0,128819227 + 116790741,"Eckstein, Wilhelm (Verfasser)",128819227,"Eckstein, Wilhelm ",
580368556,Im Felde : heitere und ernste Kriegserlebnisse / von Oskar Kilian,UB 5742,1917.0,1023488582,"Kilian, Oskar (Verfasser)",1023488582,"Kilian, Oskar ",
99738705X,Homers Odyssee von Johann Heinrich Voß,UB 281,1917.0,11855333X,Homerus (Verfasser),11855333X,Homerus ,
363062181,Ein deutscher Barbar : Erzählung / von Luise Westkirch,UB 5966,1917.0,11732065X,"Westkirch, Luise (Verfasser)",11732065X,"Westkirch, Luise ",
362190569,Die Feindin : Kriegsbilder aus Frankreich und Flandern / von Karl Rosner,UB 5931,1917.0,116628405,"Rosner, Karl (Verfasser)",116628405,"Rosner, Karl ",
361961170,Wagner / Von Ludwig Nohl,UB 1700,1918.0,117039926,"Nohl, Ludwig (Verfasser)",117039926,"Nohl, Ludwig ",
579869601,Tante Tüschen : Volksstück in drei Aufzügen / von Martin Frehsee,UB 5965,1918.0,116749490,"Frehsee, Martin (Verfasser)",116749490,"Frehsee, Martin ",
580503666,Heereszeppeline im Angriff / geschildert von Martin Lampel,UB 5996,1918.0,118778560,"Lampel, Peter Martin (Verfasser)",118778560,"Lampel, Peter Martin ",
36193694X,Gustav Mahler / Von Arthur Neißer,UB 5985,1918.0,11690884X,"Neisser, Artur (Verfasser)",11690884X,"Neisser, Artur ",
365313548,Der unbekannte Soldat : Kriegstaten und Schicksale des kleinen Mannes / von Karl Broeger,UB 5954,1918.0,118515667,"Bröger, Karl (Verfasser)",118515667,"Bröger, Karl ",
362190682,Der Ueberläufer : Kriegslieder aus Frankreich und Flandern / von Karl Rosner,UB 5961,1918.0,116628405,"Rosner, Karl (Verfasser)",116628405,"Rosner, Karl ",
580028232,Der olle ehrliche Lehmann und andere Geschichten / Balduin Groller,UB 4370,1918.0,142373672,"Groller, Balduin (Verfasser)",142373672,"Groller, Balduin ",
57802540X,"Börne, Ludwig: Ausgewählte Skizzen und ErzählungenTeil: Bd. 1",UB 11,1918.0,,,,,
560084412,Lebens-Ansichten des Katers Murr nebst fragmentarischer Biographie des Kapellmeisters Johannes Kreisler in zufälligen Makulaturblättern / hrsg. von E. T. A. Hoffmann,UB 153,1919.0,118552465 + 118552465,"Hoffmann, E. T. A. (Verfasser)",118552465,"Hoffmann, E. T. A. ",
580717313,"Kriegskalender 1917Teil: T. 3., Vom 4. August bis 31. Dezember 1917",UB 6058,1919.0,,,,,
580717305,"Kriegskalender 1917Teil: T. 2., Vom 1. Mai bis 3. Aug. 1917",UB 6057,1919.0,,,,,
580717321,"Kriegskalender 1917Teil: T. 1., Vom 1. Januar bis 30. April 1917",UB 6056,1919.0,,,,,
363139869,Kants Sittenlehre in gemeinverständlicher Darstellung / von Ernst Ziegeler,UB 6050,1919.0,116986468,"Ziegeler, Ernst (Verfasser)",116986468,"Ziegeler, Ernst ",
362942102,Die Verfassung des Deutschen Reiches vom 11. August 1919 : Textausgabe mit ausführlichem Sachregister / hrsg. von Karl Pannier,UB 6051,1919.0,1055114688,"Pannier, Karl (Herausgeber)",,,
363148191,Die schwedische Gräfin und andere Novellen / von Katharina Zitelmann,UB 6049,1919.0,117006823,"Zitelmann, Katharina (Verfasser)",117006823,"Zitelmann, Katharina ",
362003238,Die Reichsgesetze über die Presse und das Verlagsrecht : Textausg. mit kurzen Anm. u. Sachreg. / Hrsg. von Karl Pannier,UB 1704,1919.0,1055114688,"Pannier, Karl (Verfasser)",1055114688,"Pannier, Karl ",
580275884,Die Kronprätendenten : Histor. Schauspiel in 5 Aufz. / von Henrik Ibsen. Deutsch von M. von Borch,UB 2724,1919.0,118555286 + 115723706,"Ibsen, Henrik (Verfasser) + Borch, Marie von (Mitwirkender)",118555286,"Ibsen, Henrik ",
58026906X,Die Brotkarte des Herrn Rittersporn und andere Humoresken / Von Gustav Jakob,UB 6018,1919.0,117067113,"Jakob, Gustav (Verfasser)",117067113,"Jakob, Gustav ",
362828326,Der Schimmelreiter : Novelle / Theodor Storm. Hrsg. v. Walther Herrmann,UB 6015,1919.0,118618725,"Storm, Theodor (Verfasser) + Herrmann, Walther (Mitwirkender)",118618725,"Storm, Theodor ",
123130409X,Der Koran / [Muhammad]. Aus d. Arabischen übertr. u. m. einer Einl. versehen v. Max Henning,UB 4206,1919.0,118583158 + 116716533,"Muḥammad (Verfasser) + Henning, Max (Übersetzer)",118583158,Muḥammad ,
580516873,Arbeiter-Programm : über den besonderen Zusammenhang der gegenwärtigen Geschichtsperiode mit der Idee des Arbeiterstandes / von Ferdinand Lassalle. Mit e. Einl. von Hermann Heller,UB 6048,1919.0,118569910 + 118548867,"Lassalle, Ferdinand (Verfasser) + Heller, Hermann (Mitwirkender)",118569910,"Lassalle, Ferdinand ",
362889074,Wundersame Liebesgeschichte der schönen Magelone und des Grafen Peter aus der Provence / Von Ludwig Tieck. Mit e. Vorbericht d. Dichters u. e. Einl. von Georg Richard Kruse,UB 731,1920.0,12989432X + 116574976,"Tieck, Ludwig (Verfasser) + Kruse, Georg Richard (Mitwirkender)",12989432X,"Tieck, Ludwig ",
580002969,Uli der Pächter / Jeremias Gotthelf. Mit Worterkl. hrsg. v. Ferdinand Vetter,UB 2672,1920.0,118540963 + 117396257,"Gotthelf, Jeremias (Verfasser) + Vetter, Ferdinand (Mitwirkender)",118540963,"Gotthelf, Jeremias ",
58071733X,"Kriegskalender 1918Teil: T. 2., Vom 19. Juli bis 11. November 1918",UB 6137,1920.0,,,,,
580717348,"Kriegskalender 1918Teil: T. 1., Vom 1. Januar bis 18. Juli 1918",UB 6136,1920.0,,,,,
1201034582,"Harte, Bret: Kalifornische ErzählungenTeil: 11. Bändchen",UB 1267,1920.0,,,,,
1201034930,"Harte, Bret: Kalifornische ErzählungenTeil: 10. Bändchen",UB 1230,1920.0,,,,,
1201034825,"Harte, Bret: Kalifornische ErzählungenTeil: 9. Bändchen",UB 1204,1920.0,,,,,
1200964756,"Harte, Bret: Kalifornische ErzählungenTeil: 8. Bändchen",UB 1164,1920.0,,,,,
1200964535,"Harte, Bret: Kalifornische ErzählungenTeil: 7. Bändchen",UB 1127,1920.0,,,,,
1200964349,"Harte, Bret: Kalifornische ErzählungenTeil: 6. Bändchen",UB 1069,1920.0,,,,,
1122023626,"Harte, Bret: Kalifornische ErzählungenTeil: 5. Bändchen.",UB 712,1920.0,,,,,
1200963709,"Harte, Bret: Kalifornische ErzählungenTeil: 4. Bändchen",UB 671,1920.0,,,,,
1200963121,"Harte, Bret: Kalifornische ErzählungenTeil: 3. Bändchen",UB 629,1920.0,,,,,
1200962710,"Harte, Bret: Kalifornische ErzählungenTeil: 2. Bändchen",UB 607,1920.0,,,,,
