DNB_dataset,title,UB,year,GND_person,person,GND_author,author,sachgruppen
900736305,Unwiederbringlich : Roman / Theodor Fontane. Nachw. u. Anm. von Sven-Aage Jørgensen,UB 9320,1989.0,118534262,"Fontane, Theodor (Verfasser)",118534262,"Fontane, Theodor ",59 Belletristik
900275294,Unterm Rad : Erzählung / Hermann Hesse,UB 118,1989.0,11855042X,"Hesse, Hermann (Verfasser)",11855042X,"Hesse, Hermann ",59 Belletristik
890470170,"Unterm Birnbaum : Roman / Theodor Fontane. Textrev. von Kurt Schreinert. Mit e. Nachw., e. Zeittaf. u. Anm. von Irene Ruttmann",UB 8577,1989.0,118534262,"Fontane, Theodor (Verfasser)",118534262,"Fontane, Theodor ",59 Belletristik
890470200,Unter dem Milchwald : ein Spiel für Stimmen / Dylan Thomas. Dt. Nachdichtung von Erich Fried. Nachw. von Hans Bender,UB 7930,1989.0,118757261,"Thomas, Dylan (Verfasser)",118757261,"Thomas, Dylan ",820 Englische Literatur + B Belletristik
900309687,Undine gehtDas Gebell [u.a.]. Drei Erzählungen / Ingeborg Bachmann,UB 8008,1989.0,118505602,"Bachmann, Ingeborg (Verfasser)",118505602,"Bachmann, Ingeborg ",59 Belletristik
891409823,Undine : Stück in 3 Akten ; nach der Erzählung von Friedrich de la Motte Fouqué / Jean Giraudoux. Aus d. Franz. übertr. von Hans Rothe. Nachw. von Siegfried Melchinger,UB 8902,1989.0,118539523,"Giraudoux, Jean (Verfasser)",118539523,"Giraudoux, Jean ",59 Belletristik
890795487,Under milk wood : a play for voices / Dylan Thomas. Hrsg. von Reinhard Gratzke,UB 9248,1989.0,118757261,"Thomas, Dylan (Verfasser)",118757261,"Thomas, Dylan ",820 Englische Literatur + B Belletristik + 420 Englisch
900403594,Und sie lebten glücklich ... : griechische Volksmärchen ; [aus dem Neugriechischen] / hrsg. von Georgios Aridas. [Unter Mitarb. von Karin Aridas. Mit 12 Federzeichn. von Fotis Zaprasis],UB 601,1989.0,,"Aridas, Georgios (Herausgeber)",,,59 Belletristik
900838175,Und sie bewegt sich doch! : [Aus dem Russischen] / Ilja Ehrenburg. [Übertr. u. mit e. Nachw. versehen von Holger Siegel],UB 1311,1989.0,118529269,"Ėrenburg, Ilʹja (Verfasser)",118529269,"Ėrenburg, Ilʹja ",01 Wissenschaft und Kultur allgemein
891242287,Über naive und sentimentalische Dichtung : 1795 / Friedrich Schiller. Mit e. Nachw. u. Reg. von Johannes Beer,UB 7756,1989.0,118607626,"Schiller, Friedrich (Verfasser)",118607626,"Schiller, Friedrich ",53 Deutsche Sprach- und Literaturwissenschaft
900121254,Über Liebe : Geschichten und Bruchstücke / Botho Strauss. Ausw. u. Nachw. von Volker Hage,UB 8621,1989.0,118619047,"Strauß, Botho (Verfasser)",118619047,"Strauß, Botho ",59 Belletristik
891279822,"Über die Rechtlichkeit = (De legibus) / Marcus Tullius Cicero. Übers., Anm. u. Nachw. von Karl Büchner",UB 8319,1989.0,118520814 + 118664492,"Cicero, Marcus Tullius (Verfasser) + Büchner, Karl (Übersetzer)",118520814,"Cicero, Marcus Tullius ",19 Recht + 63 Geschichte und Historische Hilfswissenschaften + 10 Philosophie
890713006,Über die ästhetische Erziehung des Menschen in einer Reihe von Briefen / Friedrich Schiller. Mit e. Nachw. von Käte Hamburger,UB 8994,1989.0,118607626,"Schiller, Friedrich (Verfasser)",118607626,"Schiller, Friedrich ",10 Philosophie
891291547,Über den Umgang mit Menschen / Adolph Frhr. Knigge,UB 421,1989.0,11856370X,"Knigge, Adolph, Freiherr (Verfasser)",11856370X,"Knigge, Adolph, Freiherr ",10 Philosophie + 64 Sozialgeschichte
891506500,Trinkpoesie : Gedichte aus aller Welt / hrsg. von Mark Bannach u. Martin Demmler,UB 40002,1989.0,,,,,59 Belletristik
891188274,Treibjagd : Erzählungen / Gabriele Wohmann,UB 7912,1989.0,118634607,"Wohmann, Gabriele (Verfasser)",118634607,"Wohmann, Gabriele ",59 Belletristik
890504652,Three African stories / Doris Lessing,UB 9245,1989.0,118572113,"Lessing, Doris (Verfasser)",118572113,"Lessing, Doris ",59 Belletristik
