GND,author,title,year,prob_to_read
118571680,"Lenz, Siegfried",Der Verzicht,1960.0,1.0
118572121,"Lessing, Gotthold Ephraim",Emilia Galotti,1772.0,1.0
118572121,"Lessing, Gotthold Ephraim",Minna von Barnhelm,1767.0,1.0
118572121,"Lessing, Gotthold Ephraim",Nathan der Weise,1779.0,1.0
118574078,"Lohenstein, Daniel Caspar von",Sophonisbe,1680.0,1.0
118577166,"Mann, Thomas",Der Tod in Venedig,1912.0,1.0
118577166,"Mann, Thomas",Der Zauberberg,1924.0,1.0
118581775,"Meyer, Conrad Ferdinand",Die Versuchung des Pescara,1857.0,1.0
118585916,"Musil, Robert",Die Verwirrungen des Zöglings Törless,1906.0,1.0
118587080,"Nestroy, Johann",Einen Jux will er sich machen,1842.0,1.0
118588893,Novalis,Heinrich von Ofterdingen,1802.0,1.0
118590111,"Opitz, Martin",Buch von der deutschen Poeterey,1624.0,1.0
118597914,"Raimund, Ferdinand",Das Mädchen aus der Feenwelt oder Der Bauer als Millionär,1826.0,1.0
118604449,"Saar, Ferdinand von",Schloß Kostenitz,1893.0,1.0
118607626,"Schiller, Friedrich",Kabale und Liebe,1784.0,1.0
118607626,"Schiller, Friedrich",Maria Stuart,1800.0,1.0
118607626,"Schiller, Friedrich",Über naive und sentimentalische Dichtung,1795.0,1.0
118607626,"Schiller, Friedrich",Wallenstein,1798.0,1.0
118608703,"Schmidt, Arno",Leviathan,1949.0,1.0
118609629,"Schneider, Reinhold",Der Abgrund,1940.0,1.0
118609807,"Schnitzler, Arthur",Das weite Land,1910.0,1.0
118609807,"Schnitzler, Arthur",Die Toten schweigen,1897.0,1.0
118609807,"Schnitzler, Arthur",Leutnant Gustl,1901.0,1.0
118609807,"Schnitzler, Arthur",Liebelei,1895.0,1.0
118612743,"Seghers, Anna",Der Ausflug der toten Mädchen,1946.0,1.0
118617958,"Sternheim, Carl",Die Hose,1911.0,1.0
118618156,"Stifter, Adalbert",Bergkristall,1845.0,1.0
118618156,"Stifter, Adalbert",Der Hochwald,1841.0,1.0
118618725,"Storm, Theodor",Der Schimmelreiter,1888.0,1.0
118618725,"Storm, Theodor",Immensee,1851.0,1.0
12989432X,"Tieck, Ludwig",Der blonde Eckbert,1797.0,1.0
12989432X,"Tieck, Ludwig",Der gestiefelte Kater,1797.0,1.0
118627910,"Voß, Johann Heinrich",Der 70. Geburtstag,1781.0,1.0
118627910,"Voß, Johann Heinrich",Die Leibeigenschaft,1776.0,1.0
118629867,"Wedekind, Frank",Frühlings Erwachen,1891.0,1.0
118630539,"Weiss, Peter",Die Verfolgung und Ermordung Jean Paul Marats,1964.0,1.0
118632477,"Wieland, Christoph Martin",Musarion,1780.0,1.0
