GND,Reclam_Autor,Reclam_tokens_Summe,Reclam_types_Summe,Reclam_UBs
https://d-nb.info/gnd/120662515,"Bryson, Bill ",1.0,1.0,UB 9134
https://d-nb.info/gnd/120023024,"Brömme, Bettina ",1.0,1.0,UB 1681
https://d-nb.info/gnd/129812552,"Bucay, Jorge ",2.0,1.0,UB 19732 + UB 19732
https://d-nb.info/gnd/128923288,"Buggert, Christoph ",1.0,1.0,UB 20087
https://d-nb.info/gnd/118517376,"Bulgakov, Michail ",1.0,1.0,UB 19837
https://d-nb.info/gnd/118638092,"Burgess, Anthony ",1.0,1.0,UB 9281
https://d-nb.info/gnd/118517880,"Busch, Wilhelm ",22.0,18.0,UB 18030 + UB 18080 + UB 18099 + UB 18098 + UB 18517 + UB 18526 + UB 18677 + UB 18895 + UB 18819 + UB 18218 + UB 18879 + UB 18758 + UB 9432 + UB 9488 + UB 18677 + UB 18959 + UB 8843 + UB 18099 + UB 18098 + UB 19286 + UB 18030 + UB 14346
https://d-nb.info/gnd/124313787,"Buten, Howard ",1.0,1.0,UB 9100
https://d-nb.info/gnd/11890423X,"Bécquer, Gustavo Adolfo ",1.0,1.0,UB 19104
https://d-nb.info/gnd/118512676,"Böll, Heinrich ",1.0,1.0,UB 8287
https://d-nb.info/gnd/118516906,"Büchner, Georg ",17.0,11.0,UB 7733 + UB 7733 + UB 7955 + UB 6060 + UB 18248 + UB 18420 + UB 18007 + UB 8210 + UB 7955 + UB 6060 + UB 7955 + UB 6060 + UB 18248 + UB 19176 + UB 14323 + UB 14391 + UB 14368
https://d-nb.info/gnd/118517104,"Bürger, Gottfried August ",1.0,1.0,UB 121
https://d-nb.info/gnd/118518275,"Caesar, Gaius Iulius ",1.0,1.0,UB 18567
https://d-nb.info/gnd/118518399,"Calderón de la Barca, Pedro ",3.0,3.0,UB 18583 + UB 19007 + UB 7850
https://d-nb.info/gnd/118518542,"Calvino, Italo ",1.0,1.0,UB 19795
https://d-nb.info/gnd/118518739,"Camus, Albert ",2.0,1.0,UB 9169 + UB 9169
https://d-nb.info/gnd/118518992,"Capote, Truman ",1.0,1.0,UB 9110
https://d-nb.info/gnd/11851928X,"Carroll, Lewis ",4.0,3.0,UB 9747 + UB 9747 + UB 9746 + UB 9433
https://d-nb.info/gnd/118853627,"Carver, Raymond ",1.0,1.0,UB 9079
https://d-nb.info/gnd/118519417,"Casanova, Giacomo Girolamo ",1.0,1.0,UB 19422
https://d-nb.info/gnd/118519719,"Catullus, Gaius Valerius ",6.0,2.0,UB 9395 + UB 9395 + UB 19800 + UB 9395 + UB 9395 + UB 9395
https://d-nb.info/gnd/11407898X,"Cauwelaert, Didier van ",1.0,1.0,UB 9109
https://d-nb.info/gnd/11851993X,"Cervantes Saavedra, Miguel de ",1.0,1.0,UB 19710
