;ID;GND-Nummer;Eintrag;Seiten;Eintragsart;Anzahl_Seiten;Kommentar;Anzahl_Seiten_neu
566;beutin_per0573;118552465;Hoffmann, E.T.A. (Ernst Theodor Amadeus);"203, 205, 207, 226 , 229 , 237, 239, 255, 261, 288,
383, 572,192";Autor;13;;13
567;beutin_per0574;11855249X;Hoffmann, Heinrich;282;Autor;1;;1
568;beutin_per0575;118706187;Hoffmannswaldau, Christian Hofmann von;118, 128 f.;Autor;2;;3
569;beutin_per0576;118552589;Hoffmann von Fallersleben, August Heinrich;248 , 273 , 285, 290,235;Autor;5;;5
570;beutin_per0577;118828681;Hofmann, Gert;170;Autor;1;;1
571;beutin_per0578;118552759;Hofmannsthal, Hugo von;359–365, 368, 411, 474;Autor;5;;10
572;beutin_per0579;118551981;Hölderlin, Friedrich;"197, 203, 218, 223–225,
236, 255, 266, 442, 537 ,
549, 572, 579, 618, 672 ,
698, 744,191";Autor;18;;19
573;beutin_per0580;;Holl, Katharina;90;Autor;1;nicht gefunden;1
574;beutin_per0581;118706675;Holthusen, Hans Egon;496;Autor;1;;1
575;beutin_per0582;129149950;Holtzmann, Daniel;89;Autor;1;;1
576;beutin_per0583;118553216;Holz, Arno;351, 354 ,345, 347–349;Autor;5;;6
577;beutin_per0584;11855333X;Homer;234, 728,22, 117, 174, 196;Autor;6;;6
578;beutin_per0585;119075857;Honigmann, Barbara;567;Autor;1;;1
579;beutin_per0586;118706950;Hooft, Peter Corneliszon;117;Autor;1;;1
580;beutin_per0587;119535467;Hoppe, Felicitas;724–726;Autor;2;;3
581;beutin_per0588;118553569;Horaz;108, 148, 239, 329;Autor;4;;4
582;beutin_per0589;118553615;Horkheimer, Max;477, 558,183, 412;Autor;4;;4
583;beutin_per0590;120078007;Hornby, Nick;729;Autor;1;;1
584;beutin_per0591;118553739;HorvÃ¡th, Ã–dön von;428 , 619,423;Autor;3;;3
585;beutin_per0592;118553909;Hrabanus, Maurus;15, 17;Autor;2;;2
586;beutin_per0593;118553941;Hrotsvith von Gandersheim;64;Autor;1;;1
587;beutin_per0594;118883712;Huber, Therese;212, 284;Autor;2;;2
588;beutin_per0595;118554190;Huch, Ricarda;441, 447;Autor;2;;2
589;beutin_per0596;118554212;Huchel, Peter;448–501, 524, 536 , 554 , 577 , 580, 612, 702,402;Autor;10;;62
590;beutin_per0597;118554387;Huelsenbeck, Richard;387,365;Autor;2;;2
591;beutin_per0598;118554654;Hugo, Victor;257 f.;Autor;1;;2
592;beutin_per0599;117056235;Hulsius, Levinus;140;Autor;1;;1
593;beutin_per0600;118554700;Humboldt, Alexander von;171, 721;Autor;2;;2
594;beutin_per0601;118554727;Humboldt, Wilhelm von;193, 195, 197, 209, 238, 263, 721;Autor;7;;7
595;beutin_per0602;118554840;Hunold, Christian Friedrich;145;Autor;1;;1
596;beutin_per0603;118554948;Hus, Jan;67, 74;Autor;2;;2
597;beutin_per0604;118555049;Hutten, Ulrich von;64–66, 73, 75, 85, 92,59, 62;Autor;8;;9
598;beutin_per0605;118555286;Ibsen, Henrik;356, 746 ,347, 352 f.;Autor;4;;5
599;beutin_per0606;118555324;Iffland, August Wilhelm;192, 237;Autor;2;;2
600;beutin_per0607;118708627;Ihering, Herbert;410, 490;Autor;2;;2
601;beutin_per0608;121846067;Illies, Florian;729;Autor;1;;1
602;beutin_per0609;118555553;Immermann, Karl;"239, 251 , 258, 287 ,
310 ,192";Autor;6;;6
603;beutin_per0610;118855484;Institoris, Heinrich;107;Autor;1;;1
604;beutin_per0611;118555707;Ionesco, EugÃ¨ne;608;Autor;1;;1
605;beutin_per0612;118556312;Jacobi, Friedrich Heinrich;201;Autor;1;;1
606;beutin_per0613;119011905;Jaeggi, Urs;646;Autor;1;;1
607;beutin_per0614;118556673;Jahnn, Hanns Henny;428;Autor;1;;1
608;beutin_per0615;118556789;Jakobs, Karl-Heinz;533, 546, 562, 564,520 f.;Autor;5;;6
609;beutin_per0616;118711695;Janco, Marcel;387 f.;Autor;1;;2
610;beutin_per0617;118556894;Jandl, Ernst;650, 695, 704,613, 635 f.;Autor;5;;6
611;beutin_per0618;118881205;Janka, Walter;571, 713;Autor;2;;2
612;beutin_per0619;119081857;Jansen, Johannes;582;Autor;1;;1
613;beutin_per0620;136567061;Janstein, Elisabeth;377;Autor;1;;1
614;beutin_per0621;118557106;Jaspers, Karl;484;Autor;1;;1
615;beutin_per0622;118557211;Jean Paul;"218 , 230, 236 , 239, 255,
263, 546, 572,153, 191, 203";Autor;11;;11
616;beutin_per0623;119001802;Jelinek, Elfriede;730, 743–745, 755 ,587, 719;Autor;6;;7
617;beutin_per0624;115633286;Jenny, ZoÃ«;730;Autor;1;;1
618;beutin_per0625;118557327;Jens, Walter;630,166, 603, 613;Autor;4;;4
619;beutin_per0626;117105198;Jentzsch, Bernd;658 ,552, 561;Autor;3;;3
620;beutin_per0627;115670793;Jirgl, Reinhard;691–693;Autor;2;;3
621;beutin_per0628;118681540;Johann Eberlin von Günzburg;67;Autor;1;;1
622;beutin_per0629;118818260;Johannes von Tepl;55;Autor;1;;1
623;beutin_per0630;11855817X;Johnson, Uwe;"555, 564, 583, 621, 624–
626, 655, 666, 678, 699,
734,522, 534";Autor;13;;14
624;beutin_per0631;1042850933;Joho, Wolfgang;506, 533;Autor;2;;2
625;beutin_per0632;118712853;Johst, Hanns;441, 464;Autor;2;;2
626;beutin_per0633;118627848;Joost van den Vondel;131,119;Autor;2;;2
627;beutin_per0634;118558501;Joyce, James;626, 755,417, 528, 621;Autor;5;;5
628;beutin_per0635;143502832;Joyce, Michael;755;Autor;1;;1
629;beutin_per0636;118558757;Jung, Franz;387;Autor;1;;1
630;beutin_per0637;118558862;Jung-Stilling, Johann Heinrich;201;Autor;1;;1
631;beutin_per0639;118558587;Jünger, Ernst;428, 446 , 603 , 742,364, 379;Autor;6;;6
632;beutin_per0640;118558595;Jünger, Friedrich Georg;497;Autor;1;;1
633;beutin_per0641;118902768;Just, Gustav;571;Autor;1;;1
634;beutin_per0642;118556126;Juvenal;695;Autor;1;;1
635;beutin_per0643;120006707;Kachold, Gabriele;582;Autor;1;;1
636;beutin_per0644;118559230;Kafka, Franz;"372, 376, 378 , 381, 385,
400, 413–415, 519, 528,
551, 626, 667, 693, 742,221, 262, 364";Autor;18;;19
637;beutin_per0645;115360018;Kahlau, Heinz;676;Autor;1;;1
638;beutin_per0646;118559427;Kaiser, Georg;453, 507,380, 426;Autor;4;;4
639;beutin_per0647;118776592;Kaléko, Mascha;406, 408 f.;Autor;2;;3
640;beutin_per0648;116484179;Kalischer, Bess Brenck;373, 379,370;Autor;3;;3
641;beutin_per0649;122343247;Kaminer, Wladimir;753;Autor;1;;1
642;beutin_per0650;118559737;Kandinsky, Wassily;383;Autor;1;;1
643;beutin_per0651;118559788;Kant, Hermann;543 , 562, 564, 571, 676,519, 524;Autor;7;;7
644;beutin_per0652;118559818;Kantorowicz, Alfred;484,463;Autor;2;;2
645;beutin_per0653;128804181;Karasholi, Adel;753;Autor;1;;1
646;beutin_per0654;118560328;Karsch, Anna Louisa;212, 214, 625,179;Autor;4;;4
647;beutin_per0655;116061529;Karsunke, Yaak;649,222, 615;Autor;3;;3
648;beutin_per0656;118560360;Kasack, Hermann;447, 502,381;Autor;3;;3
649;beutin_per0657;118560395;Kaschnitz, Marie Luise;448, 601;Autor;2;;2
650;beutin_per0658;118559192;Kästner, Erhart;502;Autor;1;;1
651;beutin_per0659;118559206;Kästner, Erich;434, 490, 617,99, 419–421;Autor;6;;7
652;beutin_per0660;119317745;Kautsky, Minna;328, 354;Autor;2;;2
653;beutin_per0661;115812431;Kehlmann, Daniel;721, 722,588;Autor;3;;3
654;beutin_per0662;11856109X;Keller, Gottfried;295 , 298, 311 , 314, 316,,205, 273;Autor;7;;8
655;beutin_per0663;118561162;Kellermann, Bernhard;340;Autor;1;;1
656;beutin_per0664;118561359;Kempowski, Walter;714 , 719 ,643;Autor;3;;3
657;beutin_per0665;119111071;Kerkeling, Hape;588;Autor;1;;1
658;beutin_per0666;121162680;Kermani, Navid;753;Autor;1;;1
659;beutin_per0667;106008978;Kerndl, Rainer;548;Autor;1;;1
660;beutin_per0668;118561545;Kerner, Justinus;205;Autor;1;;1
661;beutin_per0669;118747010;Kerschbaumer, ThérÃ¨se;452;Autor;1;;1
662;beutin_per0670;118722123;Keun, Irmgard;418, 424, 471,406, 408 f.;Autor;5;;6
663;beutin_per0671;120837323;Khan, Sarah;752;Autor;1;;1
664;beutin_per0672;121689530;Khuen, Johannes;125;Autor;1;;1
665;beutin_per0673;118562290;Kipling, Rudyard;282;Autor;1;;1
666;beutin_per0674;118562312;Kipphardt, Heinar;616 ,536;Autor;2;;2
667;beutin_per0676;118723138;Kirchhoff, Bodo;665;Autor;1;;1
668;beutin_per0677;120982447;Kirsch, Rainer;554, 559, 565, 574,520, 552;Autor;6;;6
669;beutin_per0678;118562487;Kirsch, Sarah;552–554, 561, 565, 567, 572, 578, 658–660, 695, 703, 705,520;Autor;13;;15
670;beutin_per0679;118562525;Kirsten, Wulf;579, 701, 734,552, 554;Autor;5;;5
671;beutin_per0680;118562533;Kisch, Egon Erwin;460,415;Autor;2;;2
672;beutin_per0681;108383415;Kiwus, Karin;649;Autor;1;;1
673;beutin_per0682;118710087;Kläber, Kurt;405;Autor;1;;1
674;beutin_per0683;11856269X;Klages, Ludwig;360, 368 f.;Autor;2;;3
675;beutin_per0684;118723324;Klaj, Johann;123;Autor;1;;1
676;beutin_per0685;1042530173;Kleineidam, Horst;548;Autor;1;;1
677;beutin_per0686;118563076;Kleist, Heinrich von;"200, 204 , 214, 218–223,
227, 230, 236 , 248, 255,
267, 269, 288, 333, 428,
442, 541, 572, 657, 691,
744,190 f.";Autor;22;;27
678;beutin_per0687;11856319X;Klemperer, Victor;713 ,453;Autor;2;;2
679;beutin_per0688;118563238;Klepper, Jochen;448, 485;Autor;2;;2
680;beutin_per0689;118852531;Klier, Freya;563;Autor;1;;1
681;beutin_per0690;12848957X;Klimow, Ellen;563;Autor;1;;1
682;beutin_per0691;118563300;Klingemann, Ernst August Friedrich;210;Autor;1;;1
683;beutin_per0692;118563319;Klinger, Friedrich Maximilian;161, 171, 232;Autor;3;;3
684;beutin_per0693;121401030;Kling, Thomas;700, 703,695–697;Autor;4;;5
685;beutin_per0694;118563386;Klopstock, Friedrich Gottlieb;"155, 158, 165, 186, 217,
236, 250, 269, 537";Autor;9;;9
686;beutin_per0695;118563491;Kluge, Alexander;663–666, 714 ,628, 655;Autor;5;;7
687;beutin_per0696;119071738;Klüger, Ruth;453, 710;Autor;2;;2
688;beutin_per0697;122368630;Klüssendorf, Angelika;735;Autor;1;;1
689;beutin_per0698;1042647259;Knappe, Joachim;533;Autor;1;;1
690;beutin_per0699;118563645;Knef, Hildegard;643;Autor;1;;1
691;beutin_per0700;11856370X;Knigge, Adolph Freiherr von;217;Autor;1;;1
692;beutin_per0701;124137725;Knorr, Pit;651;Autor;1;;1
693;beutin_per0702;118822438;Koelbl, Herlinde;729;Autor;1;;1
694;beutin_per0703;118564471;Koeppen, Wolfgang;603, 621, 622, 668,448;Autor;5;;5
695;beutin_per0704;118713566;Kogon, Eugen;484, 492;Autor;2;;2
696;beutin_per0705;121533026;Köhler, Barbara;700,695–698;Autor;3;;5
697;beutin_per0706;129496944;Köhler, Erich;38, 564;Autor;2;;2
698;beutin_per0707;118564722;Kokoschka, Oskar;383;Autor;1;;1
699;beutin_per0708;118885324;Kolbe, Uwe;580–582, 700,561, 578;Autor;5;;6
700;beutin_per0709;118564803;Kolbenheyer, Erwin Guido;422, 428, 441, 445;Autor;4;;4
701;beutin_per0710;118713728;Kolbenhoff, Walter;506,486;Autor;2;;2
702;beutin_per0711;118564943;Kollwitz, Käthe;439,349, 422;Autor;3;;3
703;beutin_per0712;118564951;Kolmar, Gertrud;447 f.;Autor;1;;2
704;beutin_per0713;118958836;Königsdorf, Helga;567, 669;Autor;2;;2
705;beutin_per0714;118565060;Konrad der Pfaffe;21;Autor;1;;1
706;beutin_per0715;118565117;Konrad von Megenburg;57;Autor;1;;1
707;beutin_per0716;118565133;Konrad von Würzburg;51;Autor;1;;1
708;beutin_per0717;118713507;Körner, Theodor;290,186, 220;Autor;3;;3
709;beutin_per0718;118565494;Kornfeld, Paul;381, 385;Autor;2;;2
710;beutin_per0719;118565796;Kotzebue, August von;237,192;Autor;2;;2
711;beutin_per0720;118565877;Kracauer, Siegfried;400 , 419–421,338;Autor;4;;5
712;beutin_per0721;120013428;Kracht, Christian;755,727, 729;Autor;3;;3
713;beutin_per0722;118566288;Kraus, Karl;362–364, 366 , 371, 394, 414, 427,86, 235;Autor;9;;10
714;beutin_per0724;122495373;Krauß, Angela;689;Autor;1;;1
715;beutin_per0725;118566393;Krauss, Werner;453, 524;Autor;2;;2
716;beutin_per0726;119131366;Krausser, Helmut;754;Autor;1;;1
717;beutin_per0727;120374943;Krawczyk, Stephan;563;Autor;1;;1
718;beutin_per0728;121331172;Krechel, Ursula;715;Autor;1;;1
719;beutin_per0729;11871595X;Kreuder, Ernst;502;Autor;1;;1
720;beutin_per0730;1011155311;Krey, Franz;405;Autor;1;;1
721;beutin_per0731;130319694;Kriegenburg, Andreas;746;Autor;1;;1
722;beutin_per0732;118566962;Kroetz, Franz Xaver;619 f.;Autor;1;;2
723;beutin_per0733;116548088;Kröger, Timm;296;Autor;1;;1
724;beutin_per0734;118566997;Krolow, Karl;599, 725,448, 500 f.;Autor;4;5.0;5
725;beutin_per0735;119000016;Kronauer, Brigitte;658, 725 ,652;Autor;3;;3
726;beutin_per0736;121284891;Krüger, Bartholomäus;98;Autor;1;;1
727;beutin_per0737;118869612;Krüger, Michael;658, 660;Autor;2;;2
728;beutin_per0738;118567349;Kuba (Kurt Barthel);536 ,499;Autor;2;;2
729;beutin_per0739;118567403;Kuby, Erich;495;Autor;1;;1
730;beutin_per0740;120021153;Kuckart, Judith;754;Autor;1;;1
731;beutin_per0741;123540771;Kuhligk, Björn;702;Autor;1;;1
732;beutin_per0742;11872522X;Kuhlmann, Quirinius;126;Autor;1;;1
733;beutin_per0743;118696734;Kulmus, Luise Adelgunde;164, 212;Autor;2;;2
734;beutin_per0744;124054579;Kumpfmüller, Michael;739 ,688;Autor;2;;2
735;beutin_per0745;118568051;Kunert, Günter;"536, 538–541, 551 , 554, 559, 561, 572, 578, 658 ,
661 , 695, 703, 733,524, 528";Autor;16;18.0;18
736;beutin_per0746;118568124;Kunze, Reiner;"539, 552 , 559, 561, 567,
658,494, 521 f.";Autor;8;9.0;9
737;beutin_per0747;118725564;Kurella, Alfred;464 f., 520;Autor;2;3.0;3
738;beutin_per0748;118567756;Kürnberger;34, 37–39, 42;Autor;4;5.0;5
739;beutin_per0749;118567764;Kürnberger, Ferdinand;552,313;Autor;2;;2
740;beutin_per0750;118778277;Kurz, Hermann;257, 310;Autor;2;;2
741;beutin_per0751;119208482;Kusz, Fitzgerald;650;Autor;1;;1
742;beutin_per0752;100170307;La Calprenède, Gautier Coste de;118, 145;Autor;2;;2
743;beutin_per0753;118568558;Lachmann, Karl;8;Autor;1;;1
744;beutin_per0754;11856868X;La Fontaine, Jean de;180;Autor;1;;1
745;beutin_per0755;12225385X;Lager, Sven;755;Autor;1;;1
746;beutin_per0756;123603668;Lambrecht, Christine;566;Autor;1;;1
747;beutin_per0757;118569074;Landauer, Gustav;376, 425;Autor;2;;2
748;beutin_per0758;119023415;Landshoff, Fritz H.;487;Autor;1;;1
749;beutin_per0759;118569244;Lang, Fritz;400 f., 715;Autor;2;3.0;3
750;beutin_per0760;118569295;Lang, Roland;646 f.;Autor;1;2.0;2
751;beutin_per0761;11872634X;Langbehn, Julius;307;Autor;1;;1
752;beutin_per0762;118726374;Lange, Hartmut;574;Autor;1;;1
753;beutin_per0763;118569368;Lange, Horst;500, 507;Autor;2;;2
754;beutin_per0764;115583556;Lange-Müller, Katja;561, 567, 572, 685, 737 ,522;Autor;6;;6
755;beutin_per0765;11856949X;Langgässer, Elisabeth;449–451, 500, 502, 599,447;Autor;6;7.0;7
756;beutin_per0766;11856952X;Langhoff, Thomas;749;Autor;1;;1
757;beutin_per0767;118569538;Langhoff, Wolfgang;548,452;Autor;2;;2
758;beutin_per0768;118569554;Langner, Ilse;406, 409;Autor;2;;2
759;beutin_per0769;118569767;La Roche, Sophie von;212, 214, 284,175;Autor;4;;4
760;beutin_per0770;123682290;Laschen, Gregor;698;Autor;1;;1
761;beutin_per0771;118569880;Lasker-Schüler, Else;"373, 375, 383–385, 431,
447, 459,370 f.";Autor;8;10.0;10
762;beutin_per0772;118569910;Lassalle, Ferdinand;326 , 577,280;Autor;3;;3
763;beutin_per0773;118570080;Laube, Heinrich;265, 286, 297, 455,253, 259;Autor;6;;6
764;beutin_per0774;118726692;Laukhard, Christian;215,177;Autor;2;;2
765;beutin_per0775;118726765;Laurentius von Schnüffi s;125;Autor;1;;1
766;beutin_per0776;118570951;Le Fort, Gertrud von;488, 502,450;Autor;3;;3
767;beutin_per0777;120849607;Lebert, Benjamin;728;Autor;1;;1
768;beutin_per0778;118572601;Lechnowsky, Mechtilde;373;Autor;1;;1
769;beutin_per0779;121579018;Ledig, Gert;709;Autor;1;;1
770;beutin_per0780;118571095;Lehmann, Wilhelm;599, 659,448–501;Autor;4;6.0;56
771;beutin_per0781;119560526;Lehr, Thomas;731;Autor;1;;1
772;beutin_per0782;118571249;Leibniz, Gottfried Wilhelm;144;Autor;1;;1
773;beutin_per0783;118571370;Leisewitz, Johann Anton;171;Autor;1;;1
774;beutin_per0784;118571508;Lenau, Nikolaus;255, 258, 290, 338,232, 252;Autor;6;;6
775;beutin_per0785;118936123;Lentz, Michael;706 , 723,691, 693 f.;Autor;4;5.0;5
776;beutin_per0786;118571656;Lenz, Jakob Michael Reinhold;162, 169 , 172, 194, 208;Autor;5;;5
777;beutin_per0788;118571680;Lenz, Siegfried;617, 621, 626,602 f., 614;Autor;5;6.0;6
778;beutin_per0789;118727559;Leonhard, Rudolf;486;Autor;1;;1
779;beutin_per0790;118572024;Lersch, Heinrich;629;Autor;1;;1
780;beutin_per0791;118572121;Lessing, Gotthold Ephraim;"82, 86, 137, 155 ,
158–162, 165–170, 172,
179–181, 183, 199, 208,
231, 236 , 250, 269, 325,
333, 443, 507, 519 , 748";Autor;24;32.0;32
781;beutin_per0792;119522519;Leupold, Dagmar;754;Autor;1;;1
782;beutin_per0793;118572385;Lévi-Strauss, Claude;726;Autor;1;;1
783;beutin_per0796;118572393;Lewald, Fanny;284, 323;Autor;2;;2
784;beutin_per0797;120360721;Lewitscharoff, Sibylle;724;Autor;1;;1
785;beutin_per0798;118572601;Lichnowsky, Mechtilde;373, 377;Autor;2;;2
786;beutin_per0799;118572628;Lichtenberg, Georg Christoph;177;Autor;1;;1
787;beutin_per0800;118832891;Lichtenstein, Alfred;376–378, 431 ,374;Autor;4;5.0;5
788;beutin_per0801;115643486;Liebmann, Irina;725;Autor;1;;1
789;beutin_per0802;119368099;Liepmann, Heinz;452;Autor;1;;1
790;beutin_per0803;118572954;Liliencron, Detlev von;333;Autor;1;;1
791;beutin_per0804;118572997;Lillo, George;167;Autor;1;;1
792;beutin_per0805;118728350;Lind, Jakov;643;Autor;1;;1
793;beutin_per0806;122048172;Lippet, Johann;750;Autor;1;;1
794;beutin_per0807;;Lobek, Hinrich;681;Autor;1;;1
795;beutin_per0808;118573748;Locke, John;180;Autor;1;;1
796;beutin_per0809;117154202;Loen, Michael von;164;Autor;1;;1
797;beutin_per0810;118728814;Loerke, Oskar;500 , 599, 659,448 f., 485;Autor;5;6.0;6
798;beutin_per0811;11857390X;Loest, Erich;561 , 567–569, 571, 658, 679,520–522, 524;Autor;9;11.0;11
799;beutin_per0812;11872889X;Logau, Friedrich von;126 ,110;Autor;2;;2
800;beutin_per0813;118574078;Lohenstein, Daniel Caspar von;128 f., 132, 134–136;Autor;4;6.0;6
801;beutin_per0814;119393271;Loher, Dea;428;Autor;1;;1
802;beutin_per0815;118573853;Löns, Hermann;423, 445;Autor;2;;2
803;beutin_per0816;118574272;Lorbeer, Hans;499, 701,405, 486;Autor;4;;4
804;beutin_per0817;118729101;Loriot (Vicco von Bülow);652;Autor;1;;1
805;beutin_per0818;119543044;Luder, Peter;62;Autor;1;;1
806;beutin_per0819;118959948;Ludwig, Paula;373;Autor;1;;1
807;beutin_per0820;11857518X;Lukács, Georg;"464–466, 468 , 476, 528 ,
662,357, 442";Autor;8;9.0;9
808;beutin_per0821;118575228;Lukian;63, 369;Autor;2;;2
809;beutin_per0822;118575449;Luther, Martin;65 , 70, 73–82, 84–87, 92, 94, 179, 236, 269, 435,7 f., 61;Autor;14;25.0;25
810;beutin_per0823;122869192;Lützeler, Paul Michael;727;Autor;1;;1
811;beutin_per0824;118575503;Luxemburg, Rosa;560, 563,435;Autor;3;;3
812;beutin_per0825;106537970;Madeleine, Marie;367;Autor;1;;1
813;beutin_per0826;118640801;Majakowski, Wladimir;554;Autor;1;;1
814;beutin_per0828;118576771;Mallarmé, Stéphane;360;Autor;1;;1
815;beutin_per0829;118747436;Mann, Erika;459, 461;Autor;2;;2
816;beutin_per0830;118577131;Mann, Heinrich;"367, 385 , 399, 411–413,
422, 425, 437, 439, 441,
462, 468– 470, 473, 488,
519 , 624, 722 ,260, 264";Autor;20;22.0;22
817;beutin_per0831;118577158;Mann, Klaus;461 , 464, 469, 472,437, 458;Autor;6;;6
818;beutin_per0832;118577166;Mann, Thomas;"314, 356–358, 364, 386,
398, 400, 411 , 441, 446,
456–458, 467, 470, 473,
487, 488, 502–504, 607,
653, 722 ,95, 100";Autor;24;27.0;27
819;beutin_per0833;116734914;Mannzen, Walter;486;Autor;1;;1
820;beutin_per0834;11857745X;Marc, Franz;384,371, 374, 379;Autor;4;;4
821;beutin_per0835;118577506;Marchwitza, Hans;486, 502,405 f.;Autor;3;4.0;4
822;beutin_per0836;118577638;Marcuse, Herbert;640, 661;Autor;2;;2
823;beutin_per0837;118577646;Marcuse, Ludwig;558,437, 467;Autor;3;;3
824;beutin_per0838;119240467;Marguerite Porète;61;Autor;1;;1
825;beutin_per0839;118781936;Marinetti, Tommaso;375;Autor;1;;1
826;beutin_per0840;118624822;Mark Twain;282;Autor;1;;1
827;beutin_per0841;118731092;Marlitt, Eugenie;281, 342;Autor;2;;2
828;beutin_per0842;118578065;Marlowe, Christopher;132, 231,100;Autor;3;;3
829;beutin_per0843;118842269;Maron, Monika;567, 570, 676, 686, 687,522, 561;Autor;7;;7
830;beutin_per0844;119179997;Marquard, Odo;651;Autor;1;;1
831;beutin_per0845;120459191;Marthaler, Christoph;746–748;Autor;2;3.0;3
832;beutin_per0846;118578251;Marti, Kurt;318, 650;Autor;2;;2
833;beutin_per0847;11857826X;Martial;197;Autor;1;;1
834;beutin_per0848;118578278;Martianus Capella;13, 16;Autor;2;;2
835;beutin_per0849;118578537;Marx, Karl;"251, 253, 257, 260 , 274–
277, 280, 285, 324 , 327,
337, 455, 516, 536, 558,
649,225, 241, 249";Autor;19;21.0;21
836;beutin_per0850;118578650;Maschmann, Melita;453;Autor;1;;1
837;beutin_per0851;118782509;Masters, Edgar Lee;538;Autor;1;;1
838;beutin_per0852;118578766;Masur, Kurt;671;Autor;1;;1
839;beutin_per0853;118579037;Matthies Frank-Wolf;578;Autor;1;;1
840;beutin_per0854;118732048;Maurer, Georg;554, 577 ,536–538;Autor;4;5.0;5
841;beutin_per0855;118579304;Mauthner, Fritz;361;Autor;1;;1
842;beutin_per0856;118818651;May, Karl;637,281, 340–342;Autor;4;5.0;5
843;beutin_per0857;118579568;Mayer, Hans;486, 529;Autor;2;;2
844;beutin_per0858;117551376;Mayer, Karl;252;Autor;1;;1
845;beutin_per0859;118582038;Mayfart, Johann Matthäus;107;Autor;1;;1
846;beutin_per0860;118732404;Mayröcker, Friederike;695 , 698, 703–705,635;Autor;5;6.0;6
847;beutin_per0861;1037425286;Mazzi-Spiegelberg, Lisa;750;Autor;1;;1
848;beutin_per0862;118729977;McLuhan, Marshall;755;Autor;1;;1
849;beutin_per0863;118782797;Mechtel, Angelika;164, 633;Autor;2;;2
850;beutin_per0864;118732439;Mechthild von Hackeborn;60;Autor;1;;1
851;beutin_per0865;118579797;Mechthild von Magdeburg;60;Autor;1;;1
852;beutin_per0866;118579819;Meckel, Christoph;601;Autor;1;;1
853;beutin_per0867;118579975;Mehring, Franz;357,327, 342;Autor;3;;3
854;beutin_per0868;118732579;Meidner, Ludwig;383;Autor;1;;1
855;beutin_per0869;118580140;Meinecke, Friedrich;484;Autor;1;;1
856;beutin_per0870;100964648;Meinloh von Sevelingen;37;Autor;1;;1
857;beutin_per0871;100308023;Meißner, August Gottlieb;288;Autor;1;;1
858;beutin_per0872;118732773;Meister Bartholomäus;214,55;Autor;2;;2
859;beutin_per0873;118528823;Meister Eckehart;60;Autor;1;;1
860;beutin_per0874;118747509;Meister, Ernst;601;Autor;1;;1
861;beutin_per0875;118580485;Melanchthon, Philipp;80, 84,73;Autor;3;;3
862;beutin_per0876;1044300825;Melle, Fritz-Hendrik;581;Autor;1;;1
863;beutin_per0877;118580604;Melville, Hermann;747;Autor;1;;1
864;beutin_per0878;119524678;Menasse, Robert;724;Autor;1;;1
865;beutin_per0879;118580744;Mendelssohn, Moses;161;Autor;1;;1
866;beutin_per0880;118580949;Menzel, Wolfgang;252, 264,250;Autor;3;;3
867;beutin_per0881;11858104X;Mereau, Sophie;197, 213;Autor;2;;2
868;beutin_per0882;118581309;Mesmer, Franz Anton;227;Autor;1;;1
869;beutin_per0883;131369180;Meyer, Clemens;595;Autor;1;;1
870;beutin_per0884;118581775;Meyer, Conrad Ferdinand;"61, 85, 205, 296 , 301,
313, 319, 322, 330–332";Autor;10;11.0;11
871;beutin_per0885;118582054;Meysenbug, Malwida von;279;Autor;1;;1
872;beutin_per0886;12264459X;Michel, Karl Markus;639;Autor;1;;1
873;beutin_per0887;118783742;Michelsen, Hans Günter;616;Autor;1;;1
874;beutin_per0888;118814842;Mickel, Karl;554, 574, 580,539, 549, 552;Autor;6;;6
875;beutin_per0889;118582267;Miegel, Agnes;450;Autor;1;;1
876;beutin_per0890;118582496;Miller, Arthur;492;Autor;1;;1
877;beutin_per0891;118784013;Miller, Johann Martin;702;Autor;1;;1
878;beutin_per0892;118582607;Milton, John;118, 745;Autor;2;;2
879;beutin_per0893;11858331X;Molière;131, 138, 233;Autor;3;;3
880;beutin_per0894;118844431;Möller, Eberhard Wolfgang;443;Autor;1;;1
881;beutin_per0895;118563394;Moller, Meta;165, 214;Autor;2;;2
882;beutin_per0896;118734601;Molo, Walter von;487,439, 446;Autor;3;;3
883;beutin_per0897;118583433;Mon, Franz;613;Autor;1;;1
884;beutin_per0898;115720774;Moníková, Libuše;700, 750;Autor;2;;2
885;beutin_per0899;118736728;Montemayor, Jorge de;142, 145,118;Autor;3;;3
886;beutin_per0900;110867122;Moog, Christa;567;Autor;1;;1
887;beutin_per0901;12123035X;Mora, Terézia;752, 754;Autor;2;;2
888;beutin_per0902;11881169X;Morgenstern, Christian;651;Autor;1;;1
889;beutin_per0903;118817663;Morgner, Irmtraud;565, 567, 573, 668, 677 , 727,546;Autor;7;;7
890;beutin_per0904;118583107;Mörike, Eduard;"252, 255–257, 289 ,
320–322, 329, 331,192, 239";Autor;10;12.0;12
891;beutin_per0905;118584162;Moritz, Karl Philipp;163, 177, 201, 208, 218,145;Autor;6;;6
892;beutin_per0906;118641182;Moscherosch, Johann Michael;110, 142;Autor;2;;2
893;beutin_per0907;122571126;Mosebach, Martin;726;Autor;1;;1
894;beutin_per0908;137073682;Mosler, Peter;646;Autor;1;;1
895;beutin_per0909;118584596;Mozart, Wolfgang Amadeus;321;Autor;1;;1
