;ID;GND-Nummer;Eintrag;Seiten;Eintragsart;Anzahl_Seiten;Kommentar;Anzahl_Seiten_neu
342;beutin_per0346;118532081;Faulkner, William;492, 505;Autor;2;;2
343;beutin_per0347;115756914;Fels, Ludwig;649, 665;Autor;2;;2
344;beutin_per0348;13181091X;Fenoglio, Marisa;750;Autor;1;;1
345;beutin_per0349;118532715;Feuchtwanger, Lion;423–426, 437, 448, 458, 462, 464, 467 , 471–473, 475, 607, 722 , 462, 464, 467 , 471–473, 475, 607, 722 ,418 f.;Autor;22;;27
346;beutin_per0350;118532839;Fichte, Hubert;728,190, 628;Autor;3;;3
347;beutin_per0351;118532847;Fichte, Johann Gottlieb;171, 193, 195, 197, 214, 220, 235, 269, 744,8;Autor;10;;10
348;beutin_per0352;115646736;Fiedler, Leslie A.;729;Autor;1;;1
349;beutin_per0353;118532960;Fielding, Leslie A.;175;Autor;1;Das scheint mir auch ein Fehler im Register zu sein: Fielding, Henry müsste korrekt sein;1
350;beutin_per0354;123174457;Filip, Ota;750;Autor;1;;1
351;beutin_per0355;121137996;Finkelstein, Norman G.;708;Autor;1;;1
352;beutin_per0356;118533185;Fischart, Johann;148,99–102;Autor;3;;5
353;beutin_per0357;118890263;Fischer, Caroline Auguste;212;Autor;1;;1
354;beutin_per0358;118691163;Fischer, Ernst;594;Autor;1;;1
355;beutin_per0359;118533754;Flaubert, Gustave;315 ,294;Autor;2;;2
356;beutin_per0360;118533886;Fleißer, Marieluise;408–410, 418, 423 , 429 , 619,406;Autor;7;;8
357;beutin_per0361;118533908;Fleming, Paul;73, 120, 140;Autor;3;;3
358;beutin_per0362;119487365;Fohrbeck, Karla;598;Autor;1;;1
359;beutin_per0363;118684132;Follen, Karl;270;Autor;1;;1
360;beutin_per0364;118534262;Fontane, Theodor;287 , 296–300, 303, 305, 308 , 316, 324, 326, 331 , 338 , 342, 412, 547, 678 ,205;Autor;16;;19
361;beutin_per0365;118534416;Forster, Georg;216 , 260, 297, 455,90, 198;Autor;6;;6
362;beutin_per0366;118692275;Forte, Dieter;710;Autor;1;;1
363;beutin_per0367;118534556;Fouqué, Friedrich de la Motte;205, 227 , 637;Autor;3;;3
364;beutin_per0368;118534629;Francisci, Erasmus;140;Autor;1;;1
365;beutin_per0369;118855050;Franckenberg, Abraham von;125;Autor;1;;1
366;beutin_per0370;115651470;Franck, Julia;730, 737, 754;Autor;3;;3
367;beutin_per0371;11853467X;Franck, Sebastian;93;Autor;1;;1
368;beutin_per0372;118534793;Frank, Leonhard;379;Autor;1;;1
369;beutin_per0373;118702599;Franzos, Karl Emil;267;Autor;1;;1
370;beutin_per0374;1011656140;Frauendorfer, Helmuth;750;Autor;1;;1
371;beutin_per0375;118535102;Frauenlob;38, 51, 89;Autor;3;;3
372;beutin_per0376;118535188;Freidank;21, 66;Autor;2;;2
373;beutin_per0377;118535196;Freiligrath, Ferdinand;271–274, 277 , 280, 290, 292 , 324, 332, 338, 455,258;Autor;11;;13
374;beutin_per0378;118535315;Freud, Sigmund;413,364, 365;Autor;3;;3
375;beutin_per0379;118535455;Freytag, Gustav;302, 307–309, 445,281, 296;Autor;6;;7
376;beutin_per0380;118703145;Fried, Erich;648 , 698,602, 615;Autor;4;;4
377;beutin_per0381;118693549;Friedrich von Hausen;37, 39, 41,21;Autor;4;;4
378;beutin_per0382;118880829;Fries, Fritz Rudolf;534, 543, 547, 564 , 676, 679,522;Autor;7;;7
379;beutin_per0383;118536109;Frisch, Max;603–605, 608, 610, 615, 617, 643, 657,200, 448, 513;Autor;11;;12
380;beutin_per0384;118536532;Fry, Christopher;608;Autor;1;;1
381;beutin_per0385;119522640;Fuchs, Gerd;646 f.;Autor;1;;2
382;beutin_per0386;118536613;Fuchs, Jürgen;581, 676,521, 567;Autor;4;;4
383;beutin_per0387;118536672;Fühmann, Franz;533, 536, 541, 554, 555, 561, 565, 571–573, 575, 675, 685, 691,524, 531;Autor;15;;16
384;beutin_per0388;118536702;Fürnberg, Louis;536 , 578,486;Autor;3;;3
385;beutin_per0389;118537164;Gaiser, Gerd;448, 607;Autor;2;;2
386;beutin_per0390;118537490;Ganghofer, Ludwig;313, 445,281;Autor;3;;3
387;beutin_per0391;11813485X;Ganzfried, D.;713;Autor;1;;1
388;beutin_per0392;104234644;Gauß, Carl Friedrich;721;Autor;1;;1
389;beutin_per0393;11853811X;Geibel, Emanuel;258, 269, 289, 296, 307, 332,235, 252;Autor;8;;8
390;beutin_per0394;115612815;Geiger, Arno;736;Autor;1;;1
391;beutin_per0395;11869023X;Geissler, Christian;646 f.;Autor;1;;2
392;beutin_per0396;118538322;Gellert, Christian Fürchtegott;175, 180;Autor;2;;2
