GND,author,title,year,state,ID_orig
118514768,Brecht,Mutter Courage und ihre Kinder,1941,Niedersachsen,820
118514768,Brecht,Trommeln in der Nacht,1922,Niedersachsen,904
118514768,Brecht,Von der Freundlichkeit der Welt,1921,Niedersachsen,975
118515055,Brentano,"Der Philister vor, in und nach der Geschichte",1811,Niedersachsen,865
118515055,Brentano,Der Spinnerin Nachtlied,1818,Niedersachsen,990
118674196,Britting,Brudermord im Altwasser,1929,Niedersachsen,652
118515586,Brockes,Kirschblüte bei der Nacht,1727,Niedersachsen,1006
136148654,Bronsky,Scherbenpark,2008,Niedersachsen,1146
119491028,Brussig,Am kürzeren Ende der Sonnenallee,1999,Niedersachsen,388
119491028,Brussig,Helden wie wir,1995,Niedersachsen,1076
119491028,Brussig,Wasserfarben,1991,Niedersachsen,1135
11851928X,Carroll,Alice im Wunderland,1865,Niedersachsen,608
118519859,Celan,Todesfuge,1948,Niedersachsen,1059
118521098,Claudius,Der Mensch,1783,Niedersachsen,968
118521098,Claudius,Kriegslied,1778,Niedersachsen,1045
118521861,Conrad,Der Taifun,1902,Niedersachsen,723
118521861,Conrad,Ein Vorposten des Fortschritts,1896,Niedersachsen,722
118676865,Cooper,Lederstrumpf - Erzählungen,1823,Niedersachsen,656
129728934,Cottrell Boyce,Der unvergessene Mantel,2012,Niedersachsen,498
108082652,Craighead George,Julie von den Wölfen,1972,Niedersachsen,542
123728134,Creech,Glück mit Soße,2006,Niedersachsen,610
123728134,Creech,Leo mittendrin,2008,Niedersachsen,611
118526200,Döblin,Berlin Alexanderplatz,1929,Niedersachsen,942
118526200,Döblin,Der historische Roman und wir,1936,Niedersachsen,932
121063984,Dückers,Der längste Tag des Jahres,2006,Niedersachsen,1137
118527908,Dürrenmatt,Der Besuch der alten Dame,1956,Niedersachsen,823
118527908,Dürrenmatt,Der Richter und sein Henker,1950,Niedersachsen,726
118527908,Dürrenmatt,Der Verdacht,1951,Niedersachsen,727
118527908,Dürrenmatt,Die Physiker,1962,Niedersachsen,824
118527908,Dürrenmatt,Romulus der Große,1949,Niedersachsen,822
11851993X,de Cervantes Saavedra,Don Quijote,1648,Niedersachsen,654
119522713,de Cesco,Spaghetti für zwei,1986,Niedersachsen,655
118604902,de Saint-Exupéry,Der kleine Prinz,1950,Niedersachsen,685
118524275,Defoe,Robinson Crusoe,1719,Niedersachsen,657
118924389,Delius,Die Birnen von Ribbeck,1991,Niedersachsen,724
118525239,Dickens,Oliver Twist,1838,Niedersachsen,658
120869322,Doherty,"Das Mädchen, das Löwen sah",2009,Niedersachsen,612
118526634,Domin,Nur eine Rose als Stütze,1959,Niedersachsen,1056
118526952,Dorst,Die Kurve,1960,Niedersachsen,928
131915975,Dowd,"Der Junge, der sich in Luft auflöste",2009,Niedersachsen,613
11852710X,Doyle,Der Hund von Baskerville,1903,Niedersachsen,660
11852710X,Doyle,Sherlock-Holmes-Geschichten (Buchreihe),,Niedersachsen,659
121527212,Drawert,Geständnis (In: Tauben in ortloser Landschaft),1996,Niedersachsen,1068
11852741X,Drewitz,Gestern war heute: Hundert Jahre Gegenwart,1978,Niedersachsen,1117
115673776,Duve,Keine Ahnung,1999,Niedersachsen,728
11852884X,Eco,Der Name der Rose,1982,Niedersachsen,1147
12094023X,Edschmid,Das Verschwinden des Philip S.,2013,Niedersachsen,1120
118529374,Eich,Fußnote zu Rom,1964,Niedersachsen,1042
123172047,Einzmann,Da kann ich nicht nein sagen,2001,Niedersachsen,730
