GND,Lovelybooks_Status,Lovelybooks_Autor,Lovelybooks_Stars,Lovelybooks_Bewertungen,Lovelybooks_Bibliotheken,Lovelybooks_Merkzettel,Lovelybooks_aktuell_gelesen,Lovelybooks_gefolgt,GND_Autor
https://d-nb.info/gnd/132708884,page_found,Milena Agus,3.6,488.0,592.0,36.0,5.0,,"Agus, Milena"
https://d-nb.info/gnd/118962590,page_found,Charlotte von Ahlefeld,,,,1.0,,,"Ahlefeld, Charlotte von"
https://d-nb.info/gnd/118644092,page_found,Leopold Ahlsen,,,,,,,"Ahlsen, Leopold"
https://d-nb.info/gnd/116257431,page_not_found,,,,,,,,"Ahlwardt, Christian Wilhelm"
https://d-nb.info/gnd/1092199446,page_found,Martin Ahrends,3.0,1.0,,,,,"Ahrends, Martin"
https://d-nb.info/gnd/120453479,page_found,Henning Ahrens,4.1,7721.0,8439.0,1596.0,235.0,2.0,"Ahrens, Henning"
https://d-nb.info/gnd/124578225,page_not_found,,,,,,,,"Aicher, Otto"
https://d-nb.info/gnd/118501232,page_found,Ilse Aichinger,4.1,89.0,122.0,10.0,2.0,3.0,"Aichinger, Ilse"
https://d-nb.info/gnd/120007673,page_found,Christoph Wilhelm Aigner,4.6,10.0,,,,1.0,"Aigner, Christoph Wilhelm"
https://d-nb.info/gnd/123064945,page_found,Valerio Aiolli,2.5,2.0,,,,,"Aiolli, Valerio"
https://d-nb.info/gnd/118501259,page_not_found,,,,,,,,"Ajtmatov, Čingiz"
https://d-nb.info/gnd/116009950,page_not_found,,,,,,,,"Alard, Wilhelm"
https://d-nb.info/gnd/118884972,page_not_found,,,,,,,,"Alas, Leopoldo"
https://d-nb.info/gnd/118501380,page_found,Edward Albee,4.2,103.0,190.0,18.0,1.0,,"Albee, Edward"
https://d-nb.info/gnd/1237756987,page_not_found,,,,,,,,Albericus
https://d-nb.info/gnd/121418952,page_not_found,,,,,,,,"Albert, Heinrich"
https://d-nb.info/gnd/1021834920,page_found,Michael Albert,4.0,1.0,,1.0,,,"Albert, Michael"
https://d-nb.info/gnd/116009926,page_not_found,,,,,,,,"Alberti, Konrad"
https://d-nb.info/gnd/118644289,page_not_found,,,,,,,,"Alberti, Valentin"
https://d-nb.info/gnd/10041463X,page_not_found,,,,,,,,"Albertini, Johann Baptist von"
https://d-nb.info/gnd/118501518,page_found,Aegidius Albertinus,,,,,,,"Albertinus, Aegidius"
https://d-nb.info/gnd/1112048537,page_not_found,,,,,,,,"Albertus, Augsburg, Bischof"
https://d-nb.info/gnd/122949293,page_not_found,,,,,,,,"Albertus, Johannes"
https://d-nb.info/gnd/1089508212,page_not_found,,,,,,,,"Albertus, Laurentius"
https://d-nb.info/gnd/118637649,page_not_found,,,,,,,,"Albertus, Magnus, Heiliger"
https://d-nb.info/gnd/118501550,page_not_found,,,,,,,,"Alberus, Erasmus"
https://d-nb.info/gnd/115400214,page_not_found,,,,,,,,"Albinus, Johann Georg"
