GND,author,title,year,prob_to_read
118527908,"Dürrenmatt, Friedrich",Der Besuch der alten Dame,1956.0,1.0
118527908,"Dürrenmatt, Friedrich",Die Physiker,1962.0,1.0
118527908,"Dürrenmatt, Friedrich",Romulus der Grosse,1949.0,1.0
118529374,"Eich, Günter",Gedichte,1951.0,1.0
118529390,"Eichendorff, Joseph von",Aus dem Leben eines Taugenichts,1826.0,1.0
118529390,"Eichendorff, Joseph von",Das Marmorbild,1819.0,1.0
118529390,"Eichendorff, Joseph von",Gedichte,1823.0,1.0
118530534,"Enzensberger, Hans Magnus",Gedichte,1976.0,1.0
118533886,"Fleißer, Marieluise",Pioniere in Ingolstadt,1928.0,1.0
118534262,"Fontane, Theodor",Effi Briest,1896.0,1.0
118534262,"Fontane, Theodor",Frau Jenny Treibel,1892.0,1.0
118534262,"Fontane, Theodor",Grete Minde,1880.0,1.0
118534262,"Fontane, Theodor","Irrungen, Wirrungen",1887.0,1.0
118534262,"Fontane, Theodor",Vor dem Sturm,1878.0,1.0
118536109,"Frisch, Max",Andorra,1961.0,1.0
118536109,"Frisch, Max",Biografie,1968.0,1.0
118536109,"Frisch, Max",Homo faber,1957.0,1.0
118536109,"Frisch, Max",Stiller,1954.0,1.0
118536109,"Frisch, Max",Wilhelm Tell für die Schule,1971.0,1.0
11853971X,"Glauser, Friedrich",Matto regiert,1936.0,1.0
11853971X,"Glauser, Friedrich",Wachtmeister Studer,1936.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Leiden des jungen Werthers ,1774.0,1.0
118540238,"Goethe, Johann Wolfgang",Die Wahlverwandtschaften,1809.0,1.0
118540238,"Goethe, Johann Wolfgang",Egmont,1789.0,1.0
118540238,"Goethe, Johann Wolfgang",Faust. Der Tragödie erster Teil ,1808.0,1.0
118540238,"Goethe, Johann Wolfgang",Gedichte (aus allen Hauptphasen),1791.0,1.0
118540238,"Goethe, Johann Wolfgang",Hermann und Dorothea,1782.0,1.0
118540238,"Goethe, Johann Wolfgang",Iphigenie auf Tauris,1787.0,1.0
118540238,"Goethe, Johann Wolfgang",Torquato Tasso ,1790.0,1.0
118540238,"Goethe, Johann Wolfgang",Wilhelm Meisters Lehrjahre,1795.0,1.0
118540963,"Gotthelf, Jeremias",Annebäbi Jowäger,1843.0,1.0
118540963,"Gotthelf, Jeremias",Die schwarze Spinne,1847.0,1.0
118540963,"Gotthelf, Jeremias",Erzählungen,1826.0,1.0
118540963,"Gotthelf, Jeremias",Geld und Geist,1843.0,1.0
118540963,"Gotthelf, Jeremias",Wie Uli der Knecht glücklich wird,1841.0,1.0
118541102,"Grabbe, Christian Dietrich","Scherz, Satire, Ironie und tiefere Bedeutung",1827.0,1.0
118541579,"Grass, Günter",Der Butt,1977.0,1.0
118541579,"Grass, Günter",Die Blechtrommel,1959.0,1.0
118541579,"Grass, Günter",Katz und Maus,1961.0,1.0
118542192,"Grillparzer, Franz",Der arme Spielmann,1848.0,1.0
118542192,"Grillparzer, Franz",Des Meeres und der Liebe Wellen,1831.0,1.0
118542192,"Grillparzer, Franz",Ein Bruderzwist in Habsburg,1848.0,1.0
118542192,"Grillparzer, Franz",König Ottokars Glück und Ende,1825.0,1.0
118542192,"Grillparzer, Franz","Weh dem, der lügt",1838.0,1.0
118542257 + 118542265,"Grimm, Jacob und Wilhelm",Kinder- und Hausmärchen,1812.0,1.0
118542273,"Grimmelshausen, Johann Jakob Christoph von",Der Abentheuerliche Simplicissimus Teutsch,1668.0,1.0
118542818,"Grün, Max von der",Flächenbrand,1966.0,1.0
118543032,"Gryphius, Andreas",Catharina von Georgien,1657.0,1.0
118543032,"Gryphius, Andreas",Sonette,1640.0,1.0
118543393,"Guggenheim, Kurt",Riedland,1938.0,1.0
118543393,"Guggenheim, Kurt",Sandkorn für Sandkorn,1959.0,1.0
118545140,"Haller, Albrecht von",Die Alpen,1732.0,1.0
119041952,"Haller, Paul",Marie und Robert,1916.0,1.0
119041952,"Haller, Paul",S Juramareili,1912.0,1.0
118545574,"Handke, Peter",Der kurze Brief zum langen Abschied,1972.0,1.0
118545574,"Handke, Peter",Die Lehre der Sainte-Victoire,1984.0,1.0
118545574,"Handke, Peter",Wunschloses Unglück,1972.0,1.0
119286793,"Hasler, Eveline",Anna Göldin,1982.0,1.0
119286793,"Hasler, Eveline",Die Wachsflügelfrau,1991.0,1.0
118546937,"Hauptmann, Gerhart",Bahnwärter Thiel,1888.0,1.0
118546937,"Hauptmann, Gerhart",Die Ratten,1911.0,1.0
118546937,"Hauptmann, Gerhart",Die Weber,1892.0,1.0
118546937,"Hauptmann, Gerhart",Fuhrmann Henschel,1898.0,1.0
118546937,"Hauptmann, Gerhart",Rose Bernd,1903.0,1.0
118547445,"Hebbel, Friedrich",Agnes Bernauer,1852.0,1.0
118547445,"Hebbel, Friedrich",Maria Magdalena,1844.0,1.0
118547453,"Hebel, Johann Peter",Alemannische Gedichte,1803.0,1.0
118547453,"Hebel, Johann Peter",Schatzkästlein des rheinischen Hausfreundes,1811.0,1.0
118840991,"Hein, Christoph",Drachenblut (Der fremde Freund),1982.0,1.0
118840991,"Hein, Christoph",Horns Ende,1985.0,1.0
118548018,"Heine, Heinrich",Deutschland. Ein Wintermärchen*,1844.0,1.0
118548018,"Heine, Heinrich",Gedichte,1827.0,1.0
11855042X,"Hesse, Hermann",Demian,1919.0,1.0
11855042X,"Hesse, Hermann",Der Steppenwolf,1927.0,1.0
11855042X,"Hesse, Hermann",Gedichte,1920.0,1.0
11855042X,"Hesse, Hermann",Siddharta,1922.0,1.0
118551019,"Hildesheimer, Wolfgang",Marbot,1981.0,1.0
118551019,"Hildesheimer, Wolfgang",Tynset,1965.0,1.0
118552465,"Hoffmann, E.T.A.",Das Fräulein von Scuderi,1819.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552465,"Hoffmann, E.T.A.",Die Elixiere des Teufels,1815.0,1.0
118552759,"Hofmannsthal, Hugo von",Der Rosenkavalier,1911.0,1.0
118552759,"Hofmannsthal, Hugo von",Der Schwierige,1921.0,1.0
118552759,"Hofmannsthal, Hugo von",Der Tor und der Tod,1894.0,1.0
118552759,"Hofmannsthal, Hugo von",Gedichte,1902.0,1.0
118552864,"Hohl, Ludwig",Bergfahrt,1975.0,1.0
118552864,"Hohl, Ludwig",Drei alte Weiber,1970.0,1.0
118551981,"Hölderlin, Friedrich",Gedichte,1826.0,1.0
118553739,"Horvath, Ödon von",Geschichten aus dem Wienerwald,1931.0,1.0
118553739,"Horvath, Ödon von",Glaube Liebe Hoffnung,1932.0,1.0
118553739,"Horvath, Ödon von",Jugend ohne Gott,1937.0,1.0
118555596,"Inglin, Meinrad",Die Furggel,1943.0,1.0
118555596,"Inglin, Meinrad",Schweizerspiegel,1938.0,1.0
118555596,"Inglin, Meinrad",Werner Amberg,1949.0,1.0
118557211,Jean Paul,Flegeljahre,1804.0,1.0
118557211,Jean Paul,Siebenkäs,1796.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
119424347,"Johansen, Hanna",Kurnovelle,1994.0,1.0
11855817X,"Johnson, Uwe",Das dritte Buch über Achim,1962.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Das Schloß,1922.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Erzählungen,1916.0,1.0
118559427,"Kaiser, Georg",Die Bürger von Calais,1914.0,1.0
118918664,"Kauer, Walther",Spätholz,1976.0,1.0
11856109X,"Keller, Gottfried",Der grüne Heinrich,1854.0,1.0
11856109X,"Keller, Gottfried",Die Leute von Seldwyla,1856.0,1.0
11856109X,"Keller, Gottfried",Martin Salander,1886.0,1.0
11856109X,"Keller, Gottfried",Zürcher Novellen,1877.0,1.0
118561359,"Kempowski, Walter",Tadellöser & Wolff,1971.0,1.0
118562312,"Kipphardt, Heinar",In der Sache J. Robert Oppenheimer. Ein szenischer Bericht,1964.0,1.0
118563076,"Kleist, Heinrich von",Der zerbrochene Krug,1806.0,1.0
118563076,"Kleist, Heinrich von",Erzählungen,1794.0,1.0
118563076,"Kleist, Heinrich von",Penthesilea,1808.0,1.0
118563076,"Kleist, Heinrich von",Prinz Friedrich von Homburg,1810.0,1.0
118564471,"Koeppen, Wolfgang",Das Treibhaus,1953.0,1.0
118564471,"Koeppen, Wolfgang",Reise nach Frankreich,1961.0,1.0
118569880,"Lasker-Schüler, Else",Die Wupper,1909.0,1.0
118569880,"Lasker-Schüler, Else",Gedichte,1907.0,1.0
118571648,"Lenz, Herrmann",Tagebuch vom Überleben und Leben,1978.0,1.0
118571656,"Lenz, Jakob Michael Reinhold",Der Hofmeister,1774.0,1.0
118571680,"Lenz, Siegfried",Das Vorbild,1973.0,1.0
118571680,"Lenz, Siegfried",Deutschstunde,1968.0,1.0
118572121,"Lessing, Gotthold Ephraim",Emilia Galotti,1772.0,1.0
118572121,"Lessing, Gotthold Ephraim",Minna von Barnhelm,1767.0,1.0
118572121,"Lessing, Gotthold Ephraim",Nathan der Weise,1779.0,1.0
118572121,"Lessing, Gotthold Ephraim",Theoretische Schriften,1755.0,1.0
118573918,"Loetscher, Hugo",Der Immune,1975.0,1.0
118577131,"Mann, Heinrich",Der Untertan,1918.0,1.0
118577131,"Mann, Heinrich",Die Jugend des Königs Henri Quatre,1935.0,1.0
118577131,"Mann, Heinrich",Professor Unrat oder das Ende eines Tyrannen,1905.0,1.0
118577166,"Mann, Thomas",Der Tod in Venedig,1912.0,1.0
118577166,"Mann, Thomas",Die Bekenntnisse des Hochstaplers Felix Krull,1953.0,1.0
118577166,"Mann, Thomas",Die Buddenbrooks,1901.0,1.0
118577166,"Mann, Thomas",Mario und der Zauberer,1930.0,1.0
118577166,"Mann, Thomas",Tonio Kröger,1903.0,1.0
118967495,"Meier, Gerhard",Der Besuch ,1976.0,1.0
118031198,"Merz, Klaus",Jakob schläft,1997.0,1.0
118581775,"Meyer, Conrad Ferdinand",Erzählungen/Novellen,1862.0,1.0
118581775,"Meyer, Conrad Ferdinand",Gedichte,1862.0,1.0
118581775,"Meyer, Conrad Ferdinand",Jürg Jenatsch,1885.0,1.0
118817663,"Morgner, Irmtraud",Leben und Abenteuer der Trobadora Beatriz,1974.0,1.0
118583107,"Mörike, Eduard",Erzählungen / Märchen,1840.0,1.0
118583107,"Mörike, Eduard",Gedichte,1838.0,1.0
118534556,"Motte-Fouque, Friedrich de la",Undine,1811.0,1.0
118585916,"Musil, Robert",Die Verwirrungen des Zöglings Törless,1906.0,1.0
118587080,"Nestroy, Johann",Der böse Geist Lumpazivagabundus oder Das liederliche Kleeblatt ,1833.0,1.0
118587080,"Nestroy, Johann",Einen Jux will er sich machen,1842.0,1.0
118734687,"Neutsch, Erik",Spur der Steine,1973.0,1.0
118587943,"Nietzsche, Friedrich",Also sprach Zarathustra,1883.0,1.0
11858877X,"Nossack, Hans Erich",Der Untergang,1948.0,1.0
118588893,Novalis,Gedichte,1799.0,1.0
118588893,Novalis,Hymnen an die Nacht,1800.0,1.0
118595024,"Plenzdorf, Ulrich",Die neuen Leiden des jungen W.,1973.0,1.0
118597442,"Raabe, Wilhelm",Else von der Tanne,1865.0,1.0
118601024,"Rilke, Rainer Maria",Lyrik ,1901.0,1.0
118603140,"Roth, Joseph",Die Kapuzinergruft,1938.0,1.0
