,GND,GND_name,GND_gender,GND_birth,GND_death,GND_occupation,GND_country
6143,118869574,"Bodden, Ilona",Weiblich,1927-02-08,1985-04-16,Lyrikerin + Kinderbuchautorin + Übersetzerin,Deutschland
6144,118869612,"Krüger, Michael",Männlich,1943,,Schriftsteller + Lyriker + Publizist + Kritiker + Übersetzer + Verleger + Librettist,Deutschland
6145,118869647,"Ayrenhoff, Cornelius von",Männlich,1733-05-28,1819-08-15,Offizier + Dramatiker + Dramatiker,Österreich + Deutschland
6146,118870645,"Cassirer, Paul",Männlich,1871-02-21,1926-01-07,Galerist + Schriftsteller + Verleger + Kunsthändler,Deutschland
6147,118873520,"Rushdie, Salman",Männlich,1947-06-19,,Schriftsteller,USA + Großbritannien
6148,118873709,"Kuntsch, Margarethe Susanne von",Weiblich,1657,1717,Schriftstellerin,Deutschland
6149,118873822,"McCarthy, Cormac",Männlich,1933-07-20,2023-06-13,Schriftsteller,USA
6150,118874470,"Meyer, Johann Friedrich von",Männlich,1772-09-12,1849-01-27,Theologe + Schriftsteller + Theaterdirektor + Jurist + Übersetzer + Freimaurer + Philosoph + Senator + Schriftsteller + Zeugen Jehovas + Bürgermeister,Deutschland
6151,118874489,"Lirer, Thomas",Männlich,,,Chronist,Deutschland
6152,118874748,"Kaiser, Friedrich",Männlich,1814-04-03,1874-11-06,Schriftsteller + Schauspieler + Dramatiker + Rezensent + Dramatiker,Deutschland + Österreich
6153,118875787,"Rjazanov, Ėlʹdar A.",Männlich,1927-11-18,2015-11-30,Regisseur + Schriftsteller + Schauspieler,Russland + Sowjetunion
6154,118876090,"Maier, Martin",Unbekannt,,,Meistersinger,Deutschland
6155,118877968,"Szyszkowitz, Gerald",Männlich,1938-07-22,,Fernsehredakteur + Redakteur + Regisseur + Schriftsteller + Dramaturg,Deutschland + Österreich
6156,11887800X,"Benyoets, Elʿazar",Männlich,1937,,Schriftsteller + Rabbiner,Österreich + Juden + Israel + Deutschland
6157,118878484,"Böhlau, Helene",Weiblich,1859-11-22,1940-03-26,Schriftstellerin,Deutschland
6158,118878662,"Biondi, Franco",Unbekannt,1947,,Schriftsteller + Psychotherapeut + Lyriker + Familientherapeut + Schlosser,Deutschland + Italien
6159,118880349,"Ferdinand IV., Heiliges Römisches Reich, König",Männlich,1633-09-08,1654-07-09,Erzherzog,Deutschland + Ungarn + Tschechische Republik
6160,118880578,"Wittich, Johannes",Männlich,1537-05-01,1596-09-23,Arzt + Amtsarzt + Leibarzt + Schriftsteller + Übersetzer,Deutschland
6161,118880632,"Clavius, Christoph",Unbekannt,1537,1612-02-06,Mathematiker + Astronom,Deutschland
6162,118880829,"Fries, Fritz Rudolf",Männlich,1935-05-19,2014-12-17,Schriftsteller + Übersetzer + Dolmetscher + Schauspieler + Drehbuchautor,Deutschland
6163,11888090X,"Reinerová, Lenka",Weiblich,1916-05-17,2008-06-27,Schriftstellerin + Journalistin,Deutschland + Tschechische Republik
6164,118880993,"Rhue, Morton",Männlich,1950-05-05,,Schriftsteller + Drehbuchautor,USA
6165,118881051,"Cotta, Christoph Friedrich",Männlich,1758-08-07,1838-09-21,Jurist + Publizist + Zeitungsverleger,Deutschland
6166,118881140,"Winkler, Josef",Männlich,1953,,Schriftsteller,Österreich
6167,118881159,"Fritz, Walter Helmut",Männlich,1929-08-26,2010-11-20,Schriftsteller + Lektor <Verlag> + Lyriker,Deutschland
6168,118881205,"Janka, Walter",Männlich,1914-04-29,1994-03-17,Verleger + Continuity <Filmschaffender> + Politiker + Dramaturg + Schriftsetzer + Widerstandskämpfer,Tschechoslowakei + Deutschland + Mexiko
6169,118881280,"Hessel, Franz",Männlich,1880-11-21,1941-01-06,Schriftsteller + Lektor <Verlag> + Literarhistoriker + Lyriker + Erzähler + Übersetzer,Frankreich + Deutschland
6170,118881809,"Korrodi, Eduard",Männlich,1885-11-20,1955-09-04,Schriftsteller + Redakteur + Theaterkritiker,Deutschland + Schweiz
6171,11888302X,"Rücker, Günther",Männlich,1924-02-02,2008-02-24,Schriftsteller + Erzähler + Dramatiker + Romancier + Drehbuchautor + Regisseur + Schauspieler,Deutschland
6172,118883313,"Pezzl, Johann",Männlich,1756-11-30,1823-06-09,Historiker + Publizist + Schriftsteller + Satiriker + Bibliothekar + Freimaurer,Österreich + Deutschland
6173,118883712,"Huber, Therese",Weiblich,1764-05-07,1829-06-15,Schriftstellerin + Redakteurin,Schweiz + Deutschland + Polen
6174,118883720,"Fährmann, Willi",Männlich,1929-12-18,2017-05-25,Schriftsteller + Kinderbuchautor + Jugendbuchautor,Deutschland
