,GND,GND_name,GND_gender,GND_birth,GND_death,GND_occupation,GND_country
0,100010350,"Altenstaig, Johann",Männlich,1480,1523,Humanist + Humanist + Theologe + Priester,Deutschland
1,100010423,"Althamer, Andreas",Männlich,1500,1539,Evangelischer Theologe + Reformator + Humanist + Pfarrer + Klassischer Philologe + Lehrer,Deutschland
2,100011780,"Anna Sophie, Hessen-Darmstadt, Landgräfin",Weiblich,1638,1683,Äbtissin,Deutschland
3,100013945,"Bachmann, Paul",Unbekannt,,1538,Mönch + Abt,Deutschland
4,100017045,"Arnold, Ignaz Ferdinand",Männlich,1774-04-04,1812-10-13,Schriftsteller + Jurist + Musikwissenschaftler + Organist + Privatdozent + Rechtsanwalt + Schriftsteller,Deutschland
5,100018335,"Habermann, Johann",Unbekannt,1516-08-10,1590-12-05,Theologe + Evangelischer Theologe + Hebraist + Pfarrer + Hochschullehrer + Superintendent + Schriftsteller,Deutschland
6,100018858,"Athanasius, von Dillingen",Unbekannt,1635,1714-12-07,Prediger + Prediger + Dekan <Kirche>,Deutschland
7,100019382,"Avancini, Niccolò",Männlich,1611-12-01,1686-12-06,Philosoph + Katholischer Theologe + Hochschullehrer + Schriftsteller + Mönch + Dramatiker,Österreich + Italien
8,100019668,"Aurpach, Johann",Männlich,1531,1582,Lyriker + Jurist,Deutschland
9,100020666,"Ring, Friedrich Dominik",Männlich,1726-05-24,1809-02-08,Schriftsteller + Literarhistoriker + Hofrat,Deutschland
10,100020739,"Bar, Georg Ludwig von",Männlich,1701-01-06,1767-08-06,Schriftsteller + Domkapitular + Propst + Übersetzer,Deutschland
11,100027385,"Bauhin, Johann",Männlich,1541-02-12,1613-10-27,Arzt + Botaniker,Deutschland + Frankreich + Schweiz
12,100029973,"Struve, Burkhard Gotthelf",Männlich,1671,1738,Historiker + Jurist + Polyhistor + Hochschullehrer + Bibliothekar + Hofrat,Deutschland
13,10003392X,"Berghofer, Amand",Männlich,1745-12-02,1825-02-07,Schriftsteller + Pädagoge + Philosoph,Deutschland
14,100041213,"Bilderbeck, Ludwig Franz von",Männlich,1764,1833,Schriftsteller + Hofbeamter,Frankreich + Deutschland
15,100043119,"Bisterfeld, Johann Heinrich",Männlich,1605,1655,Theologe + Philosoph + Hochschullehrer,Rumänien + Deutschland
16,100051960,"Bothe, Friedrich Heinrich",Männlich,1771,1855-06-09,Schriftsteller + Klassischer Philologe + Übersetzer + Schriftsteller,Deutschland
17,100053904,"Brassicanus, Johann Alexander",Männlich,1500,1539-11-27,Jurist + Schriftsteller + Humanist,Deutschland + Österreich
18,100053912,"Brassicanus, Johann Ludwig",Männlich,1509,1549-06-03,Jurist + Schriftsteller,Deutschland
19,100054315,"Dyck, Johann Gottfried",Männlich,1750,1815,Verleger + Buchhändler,Deutschland
20,100056660,"Kindleben, Christian Wilhelm",Männlich,1748-10-04,1785,Theologe + Prediger + Schriftsteller + Publizist + Übersetzer + Verleger,Deutschland
21,100057136,"Hartmann, Johann David",Männlich,1760-06-01,1801-12-04,Pädagoge + Philosoph + Lehrer,Deutschland
22,100057233,"Plant, Johann Traugott",Unbekannt,1756-12-09,1794-10-26,Schriftsteller,Deutschland
23,100062067,"Büschel, Johann Gabriel Bernhard",Männlich,1758,1813-03-07,Schriftsteller + Übersetzer + Jurist + Journalist + Schriftsteller,Deutschland
24,100069983,"Reusner, Nikolaus",Männlich,1545-02-02,1602-04-12,Jurist + Polyhistor + Hochschullehrer + Gymnasiallehrer + Diplomat + Humanist + Hofrat + Schriftsteller,Deutschland
25,100070043,"Pictorius, Georg",Unbekannt,1500,1569,Arzt + Hochschullehrer,Deutschland
26,100076386,"Aesticampianus, Johannes",Unbekannt,1457,1520-05-31,Humanist + Theologe + Hochschullehrer,Deutschland
27,100082505,"Docen, Bernhard Joseph",Männlich,1782-10-01,1828-11-21,Germanist + Bibliothekar,Deutschland
28,100084168,"Clajus, Johannes",Männlich,1535-06-24,1592-04-11,Philologe + Lehrer + Pfarrer,Deutschland
29,100085296,"Clavière, Étienne",Unbekannt,1735,1793,Kaufmann + Politiker,Frankreich + Schweiz
30,10008723X,"Coler, Johann",Männlich,1566-09-19,1639-10-23,Evangelischer Theologe + Pfarrer,Deutschland
31,100092381,"Corvinus, Antonius",Männlich,,,,Land unbekannt
32,100099459,"Fabricius, Johann Albert",Männlich,1668-11-11,1736-04-30,Klassischer Philologe + Evangelischer Theologe + Bibliograf + Gymnasiallehrer + Rektor + Schriftsteller + Philosoph + Bibliothekar + Theologe,Deutschland
33,100101844,"Degen, Johann Friedrich",Männlich,1752-12-16,1836-01-16,Schriftsteller + Pädagoge + Philologe + Philosoph + Verleger,Deutschland
34,100110274,"Dornblüth, Augustin",Unbekannt,1680,1760,Laienbruder + Philologe + Übersetzer + Mönch,Deutschland
35,10011153X,"Donatus, von Passau",Männlich,1628,1694,Prediger + Ordenspriester,Deutschland
36,100116523,"Ebert, Johann Arnold",Männlich,1723-02-08,1795-03-19,Schriftsteller + Pädagoge + Übersetzer + Schriftsteller,Deutschland
37,100120393,"Eggers, Christian Ulrich Detlev von",Männlich,1758-05-11,1813,Jurist + Legationsrat + Freiherr,Deutschland + Dänemark
38,100120458,"Eisenhart, Johann Friedrich",Männlich,1720-10-15,1783-10-10,Jurist + Hochschullehrer,Deutschland
39,100123406,"Enk von der Burg, Leopold",Männlich,1788-01-29,1843-06-11,Schriftsteller,Österreich
40,100124844,"Erdmuthe Sophia, Brandenburg-Bayreuth, Markgräfin",Unbekannt,1644,1670,Kirchenlieddichterin + Historikerin,Deutschland
41,100125077,"Bretschneider, Heinrich Gottfried von",Männlich,1739-03-06,1810-11-01,Schriftsteller + Offizier + Bibliothekar + Kunstsammler + Freimaurer,Deutschland + Österreich
42,100131603,"Wolf, Caspar",Männlich,1532-03-01,1601,Arzt + Philologe + Klassischer Philologe + Hochschullehrer,Schweiz
43,100132936,"Fischer, Gottlob Nathanael",Männlich,1748,1800,Pädagoge + Schriftsteller + Selbstverleger + Pädagoge,Deutschland
44,10013498X,"Fleischer, Johann Michael",Männlich,1711-02-05,1773-03-09,Schriftsteller + Pfarrer,Deutschland
45,100135846,"Flögel, Karl Friedrich",Männlich,1729-12-03,1788-03-07,Literarhistoriker + Historiker + Philosoph + Lehrer,Deutschland + Polen
46,10014568X,"Grob, Johann",Männlich,1643-09-16,1697-04-01,Schriftsteller + Kaufmann + Musketier + Diplomat,Schweiz
47,100155324,"Hagemeister, Johann Gottfried Lukas",Männlich,1762-01-15,1806-08-04,Schriftsteller + Lehrer + Schauspieler + Dramatiker + Dramatiker + Rektor,Deutschland
48,100157947,"Hammerdörfer, Karl",Männlich,1758,1794-04-17,Übersetzer + Schriftsteller,Deutschland
49,100165206,"Hess, Ludwig von",Männlich,1719,1784,Schriftsteller + Regierungsrat,Deutschland
50,100166326,"Herloßsohn, Karl",Männlich,1802-09-01,1849-12-10,Schriftsteller + Erzähler + Lyriker + Publizist + Herausgeber + Journalist + Lyriker + Redakteur,Tschechische Republik + Deutschland
51,100166962,"Heydenreich, Karl Heinrich",Männlich,1764-02-18,1801-04-29,Philosoph + Schriftsteller,Deutschland
52,100170307,"La Calprenède, Gautier de Coste de",Unbekannt,1609,1663,Schriftsteller,Frankreich
53,100178405,"Cramer, Carl Friedrich",Männlich,1752-03-07,1807-12-08,Schriftsteller + Schriftsteller + Musikwissenschaftler + Theologe + Philologe + Buchhändler + Drucker + Übersetzer + Musikschriftsteller + Hochschullehrer + Journalist,Polen + Deutschland + Frankreich
54,100188826,"Leunclavius, Johannes",Männlich,1541,1594,Jurist + Philologe + Historiker + Humanist,Deutschland
55,100190014,"Lichtenstein, Hinrich",Männlich,1780-01-10,1857-09-02,Naturwissenschaftler + Zoologe + Ethnologe + Arzt + Flötist,Deutschland
56,100191290,"Lindemayr, Maurus",Männlich,1723-11-17,1983-07-19,Schriftsteller + Priester + Theologe + Schriftsteller,Deutschland + Österreich
57,100191592,"Lindner, Johann Gotthelf",Männlich,1729-09-11,1776-03-29,Theologe + Dramatiker + Pädagoge + Rektor + Hochschullehrer + Dramatiker,Deutschland
58,100200710,"Hellwig, Christoph von",Männlich,1663-07-15,1721-05-27,Arzt + Apotheker + Schriftsteller + Publizist + Selbstverleger,Deutschland
59,100202055,"Krause, Christian Gottfried",Männlich,1719,1770-07-21,Komponist + Geiger + Musikschriftsteller + Jurist + Rechtsanwalt + Schriftsteller + Komponist + Schriftsteller,Deutschland
60,100202640,"Kretschmann, Karl Friedrich",Männlich,1738-12-04,1809-01-15,Jurist + Amtsrichter + Schriftsteller + Rechtsanwalt + Schriftsteller,Deutschland
61,100205828,"Martini, Jakob",Männlich,1570-10-16,1649-05-30,Evangelischer Theologe + Philosoph + Hochschullehrer + Pfarrer + Propst + Gymnasiallehrer + Rektor + Superintendent,Deutschland
62,100206611,"Masius, Hector Gottfried",Unbekannt,1653-04-13,1709-09-20,Evangelischer Theologe + Pfarrer + Hofprediger + Hochschullehrer + Schriftsteller + Kirchenlieddichter,Deutschland + Dänemark
63,100209874,"Korn, Christoph Heinrich",Männlich,1726-01-14,1783-09-25,Jurist + Schriftsteller + Offizier,Deutschland
64,100211542,"Küchelbecker, Johann Basilius",Unbekannt,1697-06-29,1757-08-29,Jurist + Topograf,Deutschland + Niederlande
65,100217281,"Münch, Ernst Hermann Joseph",Männlich,1798-10-25,1841-06-09,Historiker + Kirchenhistoriker + Bibliothekar + Literaturwissenschaftler + Publizist + Jurist,Deutschland + Niederlande + Schweiz
66,100223354,"Murmellius, Johann",Männlich,1480,1517-10-02,Humanist + Pädagoge + Schriftsteller + Gymnasiallehrer,Niederlande + Deutschland
67,100225799,"Niedermayer, Johann Carl",Unbekannt,1708,1779,Schriftsteller + Lyriker + Dramatiker,Deutschland
68,100226078,"Petri, Friedrich",Männlich,1549-03-10,1617-10-21,Evangelischer Theologe + Schriftsteller + Pfarrer + Gymnasiallehrer + Übersetzer,Deutschland
69,100227627,"Meister, Leonhard",Männlich,1741-12-02,1811-10-23,Historiker + Literaturwissenschaftler + Theologe + Geograf,Schweiz
70,100230792,"Prasch, Johann Ludwig",Männlich,1637-04-04,1690-06-12,Jurist + Linguist + Politiker + Bürgermeister + Schriftsteller,Deutschland
71,100231144,"Nürnberger, Joseph Emil",Männlich,1779-10-25,1848-02-06,Astronom + Mathematiker + Postbeamter + Schriftsteller,Deutschland
72,100238238,"Opsopoeus, Vincentius",Männlich,,1539-09,Gymnasiallehrer + Rektor + Schriftsteller + Philologe + Klassischer Philologe + Übersetzer + Evangelischer Theologe + Hofmeister,Deutschland
73,100243819,"Rasche, Johann Christoph",Männlich,1733-10-21,1805-04-21,Pfarrer + Lutherischer Theologe + Numismatiker + Gymnasiallehrer + Rektor + Schriftsteller,Deutschland
74,10024503X,"Rautenstrauch, Johann",Männlich,1746-01-10,1801-01-08,Schriftsteller + Jurist + Selbstverleger + Schriftsteller + Redakteur,Deutschland + Österreich
75,10024775X,"Penot, Bernard Georges",Männlich,1519,1617,Arzt + Alchemist,Frankreich
76,100248896,"Osius, Hieronymus",Männlich,,1575,Schriftsteller + Philologe + Hochschullehrer + Gymnasiallehrer + Rektor,Deutschland
77,100250769,"Pontanus, Jacobus",Männlich,1542,1626-11-25,Humanist + Philologe + Schriftsteller + Hochschullehrer + Gymnasiallehrer + Ordenspriester,Deutschland
78,100261299,"Rottmanner, Karl von",Unbekannt,1783,1822,Schriftsteller + Gutsherr + Privatgelehrter + Lyriker,Deutschland
79,100261779,"Rousseau, Johann Baptist",Männlich,1802-12-31,1867-10-08,Schriftsteller + Journalist + Librettist + Schriftsteller,Deutschland
80,100265219,"Schottenius, Hermann",Unbekannt,,,Humanist + Schriftsteller + Hochschullehrer,Deutschland
81,10026705X,"Schmidt, Klamer Eberhard Karl",Männlich,1746-12-29,1824-11-12,Schriftsteller + Lyriker + Übersetzer + Jurist,Deutschland
82,100267904,"Schnaase, Carl",Männlich,1798-09-07,1875-05-20,Kunsthistoriker + Jurist,Deutschland
83,100268021,"Schnee, Gotthilf Heinrich",Männlich,1761,1830,Pfarrer + Schriftsteller,Deutschland
84,100268579,"Schneuber, Johann Matthias",Männlich,1614-02-02,1665-12-26,Schriftsteller,Deutschland + Frankreich
85,100272053,"Seckendorf-Aberdar, Franz Karl Leopold von",Männlich,1775-12-02,1809-05-06,Schriftsteller + Politiker + Regierungsrat + Kämmerer + Übersetzer,Österreich + Deutschland
86,100272568,"Meichel, Joachim",Männlich,1590,1637-08-14,Schriftsteller + Übersetzer + Kanzleibeamter,Österreich + Deutschland
87,100276318,"Stäudlin, Karl Friedrich",Männlich,1761-07-25,1826-07-05,Evangelischer Theologe + Hochschullehrer + Autor,Deutschland
88,100277608,"Sturm, Johann Christoph",Männlich,1635-11-03,1703-12-26,Mathematiker + Physiker + Philosoph + Hochschullehrer + Publizist,Deutschland
89,100277764,"Stutz, Johann Ernst",Unbekannt,1733-02-10,1795-10-28,Schriftsteller + Linguist + Pfarrer,Deutschland
90,100286062,"Giesebrecht, Ludwig",Männlich,1792-07-05,1873-03-18,Philologe + Gymnasiallehrer + Historiker + Schriftsteller + Abgeordneter,Deutschland
91,100286208,"Gigas, Johannes",Männlich,1514-02-22,1581-07-12,Evangelischer Theologe + Reformator + Pfarrer + Gymnasiallehrer + Rektor + Kirchenlieddichter,Deutschland
92,100290132,"Hegius, Alexander",Männlich,1439,1498-12-27,Humanist + Autor + Pädagoge + Rektor + Priester,Deutschland
93,100290191,"Hehel, Peter",Männlich,1679,1728,,Österreich
94,100295886,"Hunnius, Aegidius",Männlich,1550-12-21,1603-04-04,Evangelischer Theologe + Hochschullehrer + Pfarrer + Generalsuperintendent + Propst,Deutschland
95,100300359,"Langenschwarz, Maximilian Leopold",Männlich,1801,1852,Schriftsteller + Lyriker + Dramatiker + Schauspieler + Arzt + Schauspieler + Schriftsteller,Deutschland + Juden
96,100303501,"Klein, Anton",Männlich,1746-06-12,1810-12-05,Philologe + Linguist + Schriftsteller + Librettist + Hochschullehrer + Buchhändler + Verleger + Dramatiker,Deutschland
97,100303935,"Klemm, Christian Gottlob",Männlich,1736-11-11,1802-01-02,Dramaturg + Schriftsteller + Herausgeber + Bibliothekar + Lehrer + Schriftsteller,Deutschland + Österreich
98,100308023,"Meißner, August Gottlieb",Männlich,1753-11-03,1907-02-20,Schriftsteller + Hochschullehrer + Jurist + Philosoph + Übersetzer + Schriftsteller,Deutschland
99,100308309,"Meisterlin, Sigismundus",Männlich,1435,1497,Geschichtsschreiber + Chronist + Geistlicher + Mönch,Deutschland
100,100309038,"Meusel, Johann Georg",Männlich,1743-03-17,1820-09-19,Historiker + Literarhistoriker + Biograf + Bibliograf + Hochschullehrer + Hofrat,Deutschland
101,10030981X,"Michaelis, Petrus",Unbekannt,1595-08-25,1595,Katholischer Theologe,Deutschland
102,100310281,"Micyllus, Jakob",Männlich,1503-04-06,1558-01-28,Humanist + Schriftsteller + Übersetzer + Gräzist,Deutschland
103,100316794,"Geiger, Carl Ignaz",Unbekannt,1756,1791,Schriftsteller,Deutschland
104,100317278,"Reiske, Johann Jacob",Männlich,1716-12-25,1774-08-14,Philologe + Rektor + Klassischer Philologe + Evangelischer Theologe + Gräzist + Byzantinist + Arabist + Arzt + Hochschullehrer + Gymnasiallehrer,Deutschland
105,100318347,"Remus, Georg",Männlich,1561-01-04,1625-08-15,Jurist + Hochschullehrer + Lyriker + Philologe + Historiker + Polyhistor,Deutschland
106,100328547,"Schaz, Georg",Männlich,1763-11-01,1795-03-04,Schriftsteller + Privatgelehrter + Historiker + Literaturkritiker + Übersetzer,Deutschland
107,100328989,"Schinz, Johann Rudolf",Männlich,1745-05-30,1790-01-12,Pfarrer + Schriftsteller,Schweiz
108,100329578,"Schlenkert, Friedrich Christian",Männlich,1757-02-08,1826-06-16,Schriftsteller + Literarhistoriker + Lehrer + Schriftsteller,Deutschland
109,100331351,"Scheidt, Christian Ludwig",Männlich,1709-09-26,1761-10-25,Jurist + Bibliothekar + Historiker + Philosoph + Archivar + Hofrat,Deutschland
110,100343686,"Pistorius, Georg Tobias",Männlich,1666,1745,Jurist,Deutschland
111,100348157,"Geminianus, Monacensis",Unbekannt,1606,1672,Mönch + Prediger,Deutschland
112,100349129,"Winter, Johann",Männlich,1505,1574-10-04,Arzt + Humanist,Deutschland
113,100352952,"Haugwitz, August Adolf von",Unbekannt,1645,1706,,Deutschland
114,100358896,"Hoffmann, Johann Adolf",Männlich,1676-08-26,1731-11-17,Philologe + Übersetzer + Hofmeister,Deutschland
115,100360483,"Cuba, Johannes von",Männlich,1430,1503,Arzt + Botaniker,Deutschland
116,100363105,"Jöcher, Christian Gottlieb",Männlich,1694-07-20,1758-05-10,Biograf + Lexikograf + Polyhistor + Hochschullehrer + Historiker + Bibliothekar,Deutschland
117,100364608,"Jordan, von Wasserburg",Männlich,1670,1739,Prediger + Ordenspriester + Prediger + Katholischer Theologe,Deutschland
118,100369235,"Leon, Gottlieb von",Männlich,1757-04-17,1832-09-17,Schriftsteller + Bibliothekar,Österreich
119,100370381,"Loebell, Johann Wilhelm",Männlich,1786,1863,Historiker,Deutschland
120,10037784X,"Möller, Heinrich Ferdinand",Männlich,1745,1798-02-27,Schauspieler + Dramatiker + Regisseur + Komponist + Theaterdirektor + Regisseur + Schauspieler + Schriftsteller + Theaterdirektor,Deutschland
121,100381472,"Pernet, Hedwig L. de",Weiblich,1742-02-22,1801,Lyrikerin + Schriftstellerin,Deutschland
122,100383610,"Paganus, Peter",Männlich,1532-03-30,1576-05-29,Schriftsteller + Hochschullehrer + Humanist,Deutschland
123,10038384X,"Pahl, Johann Gottfried von",Männlich,1768-06-12,1839-04-18,Pfarrer + Theologe + Prälat + Historiker + Politiker,Deutschland
124,100385702,"Racknitz, Joseph Friedrich zu",Männlich,1744-11-03,1818-04-10,Marschall <Hofamt> + Theaterintendant + Schriftsteller + Komponist,Deutschland
125,10039535X,"Reinhard, Karl",Männlich,1769-08-20,1840-05-24,Schriftsteller + Philosoph + Theologe + Polyhistor,Deutschland
126,100400159,"Schreiber, Alois Wilhelm",Männlich,1761-10-12,1841-10-21,Schriftsteller + Reiseschriftsteller + Historiker + Schriftsteller,Deutschland
127,100400930,"Schrot, Martin",Männlich,,1575,Schriftsteller + Goldschmied + Meistersinger,Deutschland
128,10041267X,"Stockfleth, Heinrich Arnold",Unbekannt,1643-04-17,1708-08-08,Pfarrer + Superintendent + Hofprediger + Schriftsteller,Deutschland
129,100412807,"Stöckel, Leonhard",Männlich,1510,1560-06-07,Schriftsteller + Reformator + Pädagoge + Philologe + Dramatiker,Deutschland
130,10041463X,"Albertini, Johann Baptist von",Männlich,1769-02-17,1831-12-06,Bischof,Deutschland
131,100422004,"Baldamus, Max Karl",Männlich,1784-10-14,1852-12-13,Schriftsteller + Übersetzer + Herausgeber + Jurist,Österreich + Deutschland + Schweiz
132,100428428,"Borkenstein, Hinrich",Männlich,1705-10-21,1777-11-29,Schriftsteller + Dramatiker + Buchhalter + Dramatiker,Deutschland
133,100428665,"Bonin, Christian Friedrich von",Männlich,1755-06-16,1813-02-14,Soldat + Oberst + Schriftsteller + Übersetzer + Dramatiker + Theaterintendant + Dramatiker,Deutschland
134,100429548,"Bostel, Nicolaus von",Unbekannt,1670,1704,Schriftsteller + Ratsherr,Deutschland
135,100443877,"Cober, Gottlieb",Unbekannt,1682-06-10,1717-04-12,Theologe + Schriftsteller,Deutschland
136,100468691,"Ewald, Schack Hermann",Männlich,1745-02-06,1822-05-05,Schriftsteller + Schriftsteller + Dramatiker + Librettist + Übersetzer + Redakteur + Jurist + Hofbeamter + Freimaurer + Hofrat,Deutschland
137,100510140,"Leyding, Johann Dieterich",Männlich,1721-04-05,1781-02-10,Lyriker + Autor,Deutschland
138,100540856,"Quistorp, Theodor Johann",Männlich,1722-04-11,1776-05-29,Schriftsteller + Dramatiker + Jurist + Schriftsteller,Deutschland
139,100550088,"Polus, Timotheus",Männlich,1599,1642,Schriftsteller + Lyriker + Gymnasiallehrer,Estland + Deutschland
140,100553826,"Rudolf, von Rotenburg",Unbekannt,,,Minnesänger,Deutschland
141,10055590X,"Wagenseil, Christian Jakob",Männlich,1756-11-23,1839-01-08,Schriftsteller + Regierungsrat,Deutschland
142,100562507,"Steinsberg, Karl Franz Guolfinger von",Männlich,1755-11-10,1805-03-03,Schauspieler + Schriftsteller + Theaterdirektor + Schauspieler + Schriftsteller + Theaterdirektor + Schauspieler + Theaterdirektor,Tschechische Republik + Deutschland
143,100563937,"Sutner, Josef",Männlich,1784-03-18,1835-11-18,Lyriker,Deutschland
144,100602452,"Felner, Ignaz Andreas Anton",Männlich,1754-08-17,1825-04-05,Katholischer Theologe + Priester + Schriftsteller + Drucker,Deutschland
145,100615104,"Kütner, Karl August",Männlich,1749,1800,Schriftsteller + Philologe + Literarhistoriker + Übersetzer + Pädagoge,Lettland + Deutschland
146,100626459,"Vehe, Michael",Männlich,1480,1539,Theologe + Komponist,Deutschland
147,100631177,"Tancke, Joachim",Männlich,1557-12-09,1609-11-17,Arzt + Schriftsteller + Astronom + Alchemist + Hochschullehrer,Deutschland
148,100636209,"Karl Alexander, Württemberg, Herzog",Männlich,1684-01-24,1737-03-12,Generalfeldmarschall,Deutschland
149,100639771,"Verdion, Otto B.",Männlich,1719,1800,Jurist + Schriftsteller,Deutschland
150,100649416,"Tritonius, Petrus",Männlich,1456,1525,Komponist + Lehrer,Italien + Österreich
151,100688292,"Vomelius, Cyprianus",Männlich,1515,1578,Jurist + Hochschullehrer,Deutschland + Niederlande
152,100689590,"Voß, Heinrich",Männlich,1779-10-29,1822-10-20,Philologe + Gräzist + Übersetzer + Lyriker + Hochschullehrer + Übersetzer + Theologie,Deutschland
153,100700233,"Wenzel II., Böhmen, König",Männlich,1271-09-27,1305-06-21,,Polen + Tschechische Republik
154,100700411,"Wendt, Amadeus",Männlich,1783-09-29,1836-10-15,Schriftsteller + Freimaurer + Philosoph,Deutschland
155,100701485,"Willebrand, Johann Peter",Männlich,1719-09-10,1786-07-22,Historiker + Jurist,Deutschland
156,100702236,"Werdenhagen, Johann Angelius von",Männlich,1581-08-01,1652-12-26,Jurist + Geheimer Rat + Gesandter,Deutschland
157,100704492,"Wettstein, Johann Jakob",Männlich,1693-03-05,1754-03-23,Theologe,Niederlande + Schweiz
158,100705367,"Witekind, Hermann",Männlich,1522,1603-02-07,Philologe,Deutschland
159,100706347,"Wolff, Caspar Friedrich",Männlich,1733,1794,Anatom + Arzt + Biologe,Russland + Deutschland
160,100706460,"Wolf, Hieronymus",Männlich,1516-08-13,1580-10-08,Byzantinist + Humanist + Philologe + Bibliothekar + Rektor,Deutschland
161,100709966,"Wowern, Johann von",Männlich,1574-03-10,1612-03-30,Klassischer Philologe + Jurist + Ratsherr + Kirchenrat,Deutschland
162,100713629,"Ziegler, Kaspar",Männlich,1621-09-15,1690-04-17,Jurist + Evangelischer Theologe + Hochschullehrer + Schriftsteller + Komponist + Selbstverleger,Deutschland
163,100733778,"Bertram, Christian August von",Männlich,1751-07-17,1830-09-18,Jurist + Journalist + Dramatiker + Herausgeber + Sekretär + Schauspieler + Dramatiker + Redakteur,Deutschland
164,100745628,"Pfintzing, Melchior",Männlich,1481-11-25,1535-11-24,Schriftsteller + Humanist + Dompropst,Deutschland
165,100790100,"Jenisch, Daniel",Männlich,1762,1804,Pfarrer + Klassischer Philologe + Schriftsteller + Philosoph,Deutschland
166,100790208,"Keppler, Joseph Friedrich von",Männlich,1760,,Schriftsteller + Romancier,Österreich + Deutschland
167,10079114X,"Christ, Johann Friedrich",Männlich,1700-04-26,1756-09-03,Archäologe + Klassischer Philologe + Kunsthistoriker + Jurist + Hochschullehrer,Deutschland
168,100791816,"Colli, Hippolyt von",Männlich,1561-02-20,1612-02-02,Jurist,Deutschland + Schweiz
169,100792553,"Stieglitz, Christian Ludwig",Männlich,1756-12-12,1836-07-17,Jurist + Zeichner + Kunsthistoriker + Schriftsteller,Deutschland
170,100793037,"Fabricius, Johann",Männlich,1644-02-11,1729-01-29,Evangelischer Theologe + Hochschullehrer + Abt,Deutschland
171,100793835,"Frey, Jacob",Männlich,1520,1562,Schriftsteller + Dramatiker + Stadtschreiber <Beruf>,Deutschland + Frankreich
172,100796060,"Schöpfel, Johann Wolfgang Andreas",Männlich,1752,,Schriftsteller + Librettist,
173,100796923,"Feder, Johann Georg Heinrich",Männlich,1740-05-15,1821-05-22,Philosoph + Bibliothekar + Schulleiter + Schriftsteller,Deutschland
174,100798772,"Bülow, Eduard von",Männlich,1803-11-17,1853-09-16,Schriftsteller + Übersetzer + Schriftsteller + Lyriker,Deutschland + Schweiz
175,100798802,"Köstlin, Reinhold",Männlich,1813-07-29,1856-09-14,Jurist + Schriftsteller + Librettist,Deutschland
176,100799140,"Prätzel, Karl Gottlieb",Männlich,1785,1861,Schriftsteller,Deutschland
177,100800181,"Gersdorff, Wilhelmine von",Weiblich,1768-10-28,1847-02-11,Schriftstellerin,Deutschland
178,100800211,"Weitzel, Johannes",Männlich,1771-10-24,1837-01-10,Bibliothekar + Publizist + Historiker,Deutschland
179,100800785,"Griesinger, Theodor",Männlich,1809-12-11,1884-03-02,Schriftsteller,Deutschland
180,100800890,"Ring, Max",Männlich,1817-07-22,1901-03-28,Schriftsteller + Arzt + Journalist + Arzt + Dramatiker,Deutschland
181,100801919,"Schmid, Hermann von",Männlich,1815-03-30,1880-10-19,Dramatiker + Theaterdirektor + Schriftsteller + Jurist + Lyriker + Dramaturg + Theaterdirektor,Österreich + Deutschland
182,100802834,"Oertel, Friedrich von",Männlich,1764,1807-10-27,Schriftsteller + Übersetzer,Deutschland
183,100803997,"Omeis, Magnus Daniel",Männlich,1646-09-06,1708-11-22,Schriftsteller + Hochschullehrer + Historiker + Hofpfalzgraf,Deutschland
184,100804195,"Liebeskind, Dorothea Margaretha",Weiblich,1765-02-22,1853,Schriftstellerin + Übersetzerin,Deutschland
185,100804500,"Ernesti, Johann August",Männlich,1707-08-04,1781-09-11,Evangelischer Theologe + Klassischer Philologe + Hochschullehrer + Gymnasiallehrer + Rektor,Deutschland
186,100805019,"Lüders, Philipp Ernst",Männlich,1702-10-06,1786-12-20,Pfarrer + Theologe + Propst + Landwirt,Deutschland
187,100809766,"Dräxler, Carl Ferdinand",Männlich,1806-07-17,1879-12-31,Schriftsteller + Journalist + Übersetzer + Dramaturg,Österreich + Deutschland
188,100810357,"Fridrich, Karl Julius",Männlich,1756,1837,Schriftsteller + Selbstverleger + Freimaurer,Deutschland
189,100810764,"Furttenbach, Joseph",Männlich,1591-12-30,1667-01-12,Geograf + Mathematiker + Architekt + Bauherr + Ratsherr + Selbstverleger + Architekt,Deutschland
190,100810977,"Lauremberg, Peter",Männlich,1585-08-26,1639-05-13,Arzt + Polyhistor + Gymnasiallehrer + Hochschullehrer + Schriftsteller,Belgien + Deutschland + Frankreich
191,100812538,"Nicolai, Carl",Unbekannt,1779,1819,Schriftsteller,
192,100813283,"Ompteda, Georg, Freiherr von",Männlich,1863-03-29,1931-12-10,Schriftsteller,Deutschland
193,100816703,"Kurz, Heinrich",Männlich,1805-04-28,1873-02-24,Literarhistoriker,Schweiz
194,100817076,"Consbruch, Florens Arnold",Männlich,1729-07-08,1784-12,Schriftsteller + Jurist + Übersetzer + Bürgermeister,Deutschland
195,100817602,"Hadamar, von Laber",Unbekannt,1300,,,Deutschland
196,100818684,"Homburg, Ernst Christoph",Männlich,1607-03-01,1681,Jurist + Schriftsteller + Lyriker + Kirchenlieddichter,Deutschland
197,100818846,"Buchka, Johann Simon",Männlich,1705-04-27,1752-03-25,Evangelischer Theologe + Schriftsteller + Kirchenlieddichter + Pfarrer + Gymnasiallehrer,Deutschland
