GND,SchulLeselisten_Autor,SchulLeselisten_Baden-Württemberg,SchulLeselisten_Sachsen-Anhalt,SchulLeselisten_Hessen,SchulLeselisten_Hamburg,SchulLeselisten_Niedersachsen,SchulLeselisten_Rheinland-Pfalz,SchulLeselisten_Bayern,SchulLeselisten_Sachsen,SchulLeselisten_Saarland,SchulLeselisten_Mecklenburg-Vorpommern,SchulLeselisten_Bremen,SchulLeselisten_Brandenburg,SchulLeselisten_Nordrhein-Westfalen,SchulLeselisten_Summe
https://d-nb.info/gnd/119104687,Pamuk,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.005760368663594469
https://d-nb.info/gnd/118557211,Paul,0.0,0.0,0.003436426116838488,0.0,0.0,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006747684394984183
https://d-nb.info/gnd/118842706,Pausewang,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002652519893899204
https://d-nb.info/gnd/120578069,Pehnt,0.0027100271002710027,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.018349559981183195
https://d-nb.info/gnd/120925354,Pelewin,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027
https://d-nb.info/gnd/118740083,Perutz,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.005760368663594469
https://d-nb.info/gnd/140920854,Peters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.011627906976744186
https://d-nb.info/gnd/118594567,Pirandello,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027
https://d-nb.info/gnd/118595024,Plenzdorf,0.0,0.010610079575596816,0.0,0.0,0.0017921146953405018,0.006622516556291391,0.003968253968253968,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.05632629812881601
https://d-nb.info/gnd/119137542,Plessen,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488
https://d-nb.info/gnd/11859527X,Poe,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.007552483358934972
https://d-nb.info/gnd/119522667,Pohl,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018
https://d-nb.info/gnd/123591813,Powers,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488
https://d-nb.info/gnd/124804489,Poznanski,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.015152519893899204
https://d-nb.info/gnd/119290650,Pressler,0.0,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0808913308913309
https://d-nb.info/gnd/118596438,Preußler,0.0,0.002652519893899204,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004444634589239706
https://d-nb.info/gnd/124898254,Probst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.011627906976744186
https://d-nb.info/gnd/129469041,Präkels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125
https://d-nb.info/gnd/118641816,Puschkin,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.01064653503677894
https://d-nb.info/gnd/118597302,Queneau,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027
https://d-nb.info/gnd/118597442,Raabe,0.0027100271002710027,0.002652519893899204,0.0,0.0,0.0035842293906810036,0.0033112582781456954,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.02019454259950484
https://d-nb.info/gnd/115832874,Rabinovici,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018
https://d-nb.info/gnd/124480659,Rammstedt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464
https://d-nb.info/gnd/118956299,Ransmayr,0.0027100271002710027,0.0,0.003436426116838488,0.0,0.0017921146953405018,0.0033112582781456954,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.015218080158849656
https://d-nb.info/gnd/124928048,Regener,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035842293906810036
https://d-nb.info/gnd/118599194,Reich-Ranicki,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488
https://d-nb.info/gnd/118744070,Reimann,0.0027100271002710027,0.005305039787798408,0.006872852233676976,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.02918003381708689
https://d-nb.info/gnd/118599437,Reinig,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954
https://d-nb.info/gnd/118599631,Remarque,0.0027100271002710027,0.002652519893899204,0.006872852233676976,0.0,0.0017921146953405018,0.0033112582781456954,0.003968253968253968,0.011627906976744186,0.0,0.0125,0.0,0.0,0.0,0.04543493314633153
https://d-nb.info/gnd/118599976,Reuter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125
https://d-nb.info/gnd/120465272,Reza,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018
https://d-nb.info/gnd/118880993,Rhue,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.025908333847387575
https://d-nb.info/gnd/12276076X,Richter,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002652519893899204
https://d-nb.info/gnd/122400259,Richter,0.0,0.0,0.0,0.0,0.0017921146953405018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017921146953405018
https://d-nb.info/gnd/1051283361,Rietzschel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.0125
https://d-nb.info/gnd/118601024,Rilke,0.0027100271002710027,0.005305039787798408,0.010309278350515464,0.0,0.0017921146953405018,0.006622516556291391,0.003968253968253968,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.042335137435214915
https://d-nb.info/gnd/118601121,Ringelnatz,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.006678281068524971
https://d-nb.info/gnd/118601172,Rinser,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954
https://d-nb.info/gnd/131422693,Riordan,0.0,0.002652519893899204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002652519893899204
https://d-nb.info/gnd/118749544,Rollenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.012987012987012988
https://d-nb.info/gnd/118928511,Rosenlöcher,0.0,0.005305039787798408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005305039787798408
https://d-nb.info/gnd/130200328,Rosoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.011627906976744186
https://d-nb.info/gnd/118603140,Roth,0.0027100271002710027,0.010610079575596816,0.003436426116838488,0.0,0.007168458781362007,0.0,0.007936507936507936,0.0,0.0,0.0125,0.0,0.0,0.0,0.04436149951057625
https://d-nb.info/gnd/118803433,Roth,0.0027100271002710027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027100271002710027
