GND,author,title,year,state,ID_orig
118541579,Grass,Katz und Maus,1961,Rheinland-Pfalz,2765
118541579,Grass,Örtlich betäubt,1969,Rheinland-Pfalz,2767
118542192,Grillparzer,Sappho,1818,Rheinland-Pfalz,2768
118543032,Gryphius,unbekannt,,Rheinland-Pfalz,2769
118551981,Hölderlin,An die Deutschen,1799,Rheinland-Pfalz,2807
118551981,Hölderlin,Die Liebe,1804,Rheinland-Pfalz,2809
118551981,Hölderlin,Gesang des Deutschen,1799,Rheinland-Pfalz,2808
118551981,Hölderlin,unbekannt,,Rheinland-Pfalz,2810
118545574,Handke,Die Angst des Tormanns beim Elfmeter,1970,Rheinland-Pfalz,2772
118545574,Handke,Die linkshändige Frau,1976,Rheinland-Pfalz,2774
118545574,Handke,Kaspar,1967,Rheinland-Pfalz,2771
118545574,Handke,Publikumsbeschimpfungen,1966,Rheinland-Pfalz,2770
118545574,Handke,Ritt über den Bodensee,1971,Rheinland-Pfalz,2773
118545574,Handke,Versuch über den geglückten Tag. Ein Wintertagtraum,1991,Rheinland-Pfalz,2775
118701606,Harig,Ordnung ist das ganze Leben,1986,Rheinland-Pfalz,2776
118546937,Hauptmann,Agamemnons Tod,1947,Rheinland-Pfalz,2781
118546937,Hauptmann,Der Biberpelz,1893,Rheinland-Pfalz,2778
118546937,Hauptmann,Die Weber,1892,Rheinland-Pfalz,2777
118546937,Hauptmann,Iphigenie in Delphi,1941,Rheinland-Pfalz,2780
118546937,Hauptmann,Vor Sonnenuntergang,1932,Rheinland-Pfalz,2779
118547445,Hebbel,Die Nibelungen,1861,Rheinland-Pfalz,2783
118547445,Hebbel,Maria Magdalena,1844,Rheinland-Pfalz,2782
119200015,Heckmann,Robinson [Kurzgeschichte],,Rheinland-Pfalz,2784
120666553,Heidenreich,Kolonien der Liebe,1992,Rheinland-Pfalz,2785
118840991,Hein,Der fremde Freund / Drachenblut,1982,Rheinland-Pfalz,2786
118840991,Hein,Die Ritter und die Tafelrunde,1989,Rheinland-Pfalz,2787
118548018,Heine,Die Harzreise,1826,Rheinland-Pfalz,2788
118548018,Heine,Die schlesischen Weber,1844,Rheinland-Pfalz,2789
118548018,Heine,unbekannt,,Rheinland-Pfalz,2790
118548565,Heinse,Ardinghello,1786,Rheinland-Pfalz,2791
118548700,Heissenbüttel,Katalog der Unbelerbaren,1965,Rheinland-Pfalz,2792
118550128,Herwegh,Bundeslied,1863,Rheinland-Pfalz,2793
11855042X,Hesse,Das Glasperlenspiel,1943,Rheinland-Pfalz,2796
11855042X,Hesse,Der Steppenwolf,1927,Rheinland-Pfalz,2795
11855042X,Hesse,Sprache,,Rheinland-Pfalz,2797
11855042X,Hesse,Unterm Rad,1906,Rheinland-Pfalz,2794
118550683,Heym,Collin,1979,Rheinland-Pfalz,2800
118550683,Heym,Der Gott der Stadt,1910,Rheinland-Pfalz,2798
118550683,Heym,Der Krieg,1913,Rheinland-Pfalz,2799
118550683,Heym,unbekannt,,Rheinland-Pfalz,2801
118551736,Hochhuth,Der Stellvertreter,1963,Rheinland-Pfalz,2802
118551736,Hochhuth,Wessis in Weimar: Szenen aus einem besetzten Land,1993,Rheinland-Pfalz,2803
118552465,Hoffmann,Kreisleriana,1810,Rheinland-Pfalz,2804
118552465,Hoffmann,Lebensansichten des Katers Murr,1819,Rheinland-Pfalz,2805
118828681,Hofmann,Auf dem Turm,1982,Rheinland-Pfalz,2806
118553216 + 118607871,Holz / Schlaf,Familie Selicke,1890,Rheinland-Pfalz,2811
118555286,Ibsen,Ein Volksfeind,1883,Rheinland-Pfalz,2813
118555286,Ibsen,Nora oder Ein Puppenheim,1880,Rheinland-Pfalz,2812
118555553,Immermann,Die Epigonen,1836,Rheinland-Pfalz,2814
118710761,Innerhofer,Schöne Tage,1974,Rheinland-Pfalz,2815
118555707,Ionesco,Josette und ihr Papa,,Rheinland-Pfalz,2816
118556894,Jandl,unbekannt,,Rheinland-Pfalz,2817
118556894 + 118732404,Jandl / Mayröcker,5 Mann Menschen,1968,Rheinland-Pfalz,2818
119001802,Jelinek,Lust,1989,Rheinland-Pfalz,2819
11855817X,Johnson,Mutmaßungen über Jakob,1959,Rheinland-Pfalz,2820
118559206,Kästner,"Kennst Du das Land, wo die Kanonen blühn?",1927,Rheinland-Pfalz,2825
11899011X,Kühn,Freitags erste Lektionen (In: Ludwigslust),1977,Rheinland-Pfalz,2842
122698436,Küpper,Simplicius 45,1963,Rheinland-Pfalz,2846
118559230,Kafka,Amerika (auch: Der Verschollene),1927,Rheinland-Pfalz,2821
118559796,Kant,Die Aula,1965,Rheinland-Pfalz,2822
118560395,Kaschnitz,Eisbären,1972,Rheinland-Pfalz,2824
118560395,Kaschnitz,Hiroshima,1951,Rheinland-Pfalz,2823
11856109X,Keller,Der grüne Heinrich,1855,Rheinland-Pfalz,2826
11856109X,Keller,Die Leute von Seldwyla,1856,Rheinland-Pfalz,2828
11856109X,Keller,Kleider machen Leute,1874,Rheinland-Pfalz,2829
11856109X,Keller,Romeo und Julia auf dem Dorfe,1855,Rheinland-Pfalz,2827
118561359,Kempowski,Tadellöser & Wolff,1971,Rheinland-Pfalz,2830
118562312,Kipphardt,In der Sache J. Robert Oppenheimer,1964,Rheinland-Pfalz,2831
118723138,Kirchhoff,Gegen die Laufrichtung,1993,Rheinland-Pfalz,2832
118562487,Kirsch,unbekannt,,Rheinland-Pfalz,2833
118563386,Klopstock,unbekannt,,Rheinland-Pfalz,2834
118564471,Koeppen,Tauben im Gras,1951,Rheinland-Pfalz,2835
118564536,Koestler,Sonnenfinsternis,1946,Rheinland-Pfalz,2836
118869612,Krüger,Das Ende des Romans,1990,Rheinland-Pfalz,2841
118566962,Kroetz,Maria Magdalena,1973,Rheinland-Pfalz,2838
118566962,Kroetz,Stallerhof,1971,Rheinland-Pfalz,2837
118566997,Krolow,Robinson,,Rheinland-Pfalz,2839
118566997,Krolow,unbekannt,,Rheinland-Pfalz,2840
118568051,Kunert,unbekannt,,Rheinland-Pfalz,2843
118568124,Kunze,Die wunderbaren Jahre,1976,Rheinland-Pfalz,2844
118568124,Kunze,unbekannt,,Rheinland-Pfalz,2845
11856949X,Langgässer,Frühling 1946,,Rheinland-Pfalz,2847
118569880,Lasker-Schüler,unbekannt,,Rheinland-Pfalz,2848
118571680,Lenz,Das Feuerschiff,1960,Rheinland-Pfalz,2849
118571680,Lenz,Das Vorbild,1973,Rheinland-Pfalz,2851
118571680,Lenz,Deutschstunde,1968,Rheinland-Pfalz,2850
118572121,Lessing,Emilia Galotti,1772,Rheinland-Pfalz,2853
118572121,Lessing,Minna von Barnhelm,1767,Rheinland-Pfalz,2852
118572121,Lessing,Nathan der Weise,1779,Rheinland-Pfalz,2854
119522519,Leupold,Edmond: Geschichten einer Sehnsucht,1992,Rheinland-Pfalz,2855
