GND,author,title,year,prob_to_read
118549553,"Herder, Johann Gottfried",Journal meiner Reise im Jahr 1769,1769.0,1.0
118550772,"Heyse, Paul",L'Arrabiata,1853.0,1.0
118551019,"Hildesheimer, Wolfgang",Marbot,1981.0,1.0
11876442X,"Hoddis, Jakob van",Weltende,1911.0,1.0
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552759,"Hofmannsthal, Hugo von",Ein Brief (Chandosbrief),1902.0,1.0
118551981,"Hölderlin, Friedrich",Brod und Wein,1801.0,1.0
118554212,"Huchel, Peter",Exil,1968.0,1.0
118556894,"Jandl, Ernst",Laut und Luise,1966.0,1.0
119001802,"Jelinek, Elfriede",Die Klavierspielerin,1983.0,1.0
118818260,Johannes von Tepl,Der Ackermann,1401.0,1.0
11855817X,"Johnson, Uwe",Das dritte Buch über Achim,1962.0,1.0
118776592,"Kaléko, Mascha",Kleines Lesebuch für Große,1935.0,1.0
118560328,"Karsch, Anna Louisa",Auserlesene Gedichte,1764.0,1.0
115812431,"Kehlmann, Daniel",Die Vermessung der Welt,2005.0,1.0
118722123,"Keun, Irmgard",Das kunstseidene Mädchen,1932.0,1.0
118562487,"Kirsch, Sarah",Die Vögel singen im Regen am schönsten,1968.0,1.0
118562487,"Kirsch, Sarah",Schwarze Bohnen,1967.0,1.0
118563076,"Kleist, Heinrich von",Die Marquise von O…,1808.0,1.0
120013428,"Kracht, Christian",Faserland,1995.0,1.0
118569767,"La Roche, Sophie von",Die Geschichte des Fräuleins von Sternheim,1771.0,1.0
118569880,"Lasker-Schüler, Else",Meine Wunder,1911.0,1.0
118572121,"Lessing, Gotthold Ephraim",Minna von Barnhelm,1767.0,1.0
118572628,"Lichtenberg, Georg Christoph",Fragment von Schwänzen,1771.0,1.0
118577166,"Mann, Thomas",Die Buddenbrooks,1901.0,1.0
11881169X,"Morgenstern, Christian",Galgenlieder,1905.0,1.0
118584162,"Moritz, Karl Philipp",Anton Reiser,1785.0,1.0
118585916,"Musil, Robert",Die Verwirrungen des Zöglings Törless,1906.0,1.0
118785990,"Neukirch, Benjamin",Herrn von Hoffmannswaldau und andrer Deutschen auserlesener und bißher ungedruckter Gedichte,1712.0,1.0
118588893,Novalis,Hymnen an die Nacht,1800.0,1.0
119406586,"Özdamar, Emine Sevgi",Mutterzunge,1990.0,1.0
118597442,"Raabe, Wilhem",Zum wilden Mann,1879.0,1.0
118745425,"Rist, Johann",Die alleredelste Torheit der gantzen Welt,1663.0,1.0
118604597,"Sachs, Hans",Das Kelberbrüten,1551.0,1.0
118604597,"Sachs, Hans",Der farent Schüler ins Paradeis,1561.0,1.0
137527764,"Sanyal, Mithu",Identitti,2021.0,1.0
118607626,"Schiller, Friedrich",Maria Stuart,1800.0,1.0
118609807,"Schnitzler, Arthur",Fräulein Else,1924.0,1.0
120526107,"Schulze, Ingo",Simple Stories,1998.0,1.0
118762974,"Schwarz, Sibylla",Ein Gesang wieder den Neid,1635.0,1.0
118612301,"Schwitters, Kurt",Anna Blume,1919.0,1.0
119310007,"Sebald, W. G.",Austerlitz,2001.0,1.0
118514474,Sebastian Brant,Das Narrenschiff,1494.0,1.0
118612743,"Seghers, Anna",Das siebte Kreuz ,1942.0,1.0
11857146X,Simon Lemnius,Monachopornomachia / Mönchshurenkrieg,1538.0,1.0
132082179,"Stanišić, Saša",Wie der Soldat das Grammofon repariert,2006.0,1.0
118618725,"Storm, Theodor",Carsten Curator,1878.0,1.0
122397061,"Tellkamp, Uwe",Der Turm,2008.0,1.0
118757377,Thüring von Ringoltingen,Melusine,,1.0
12989432X,"Tieck, Ludwig",Der gestiefelte Kater,1797.0,1.0
118839276,"Timm, Uwe",Morenga,1978.0,1.0
11862444X,"Tucholsky, Kurt",Rheinsberg,1912.0,1.0
118555049,Ulrich von Hutten,Ain new lied,1521.0,1.0
122751493,"Wagner, Jan",selbstportrait mit bienenschwarm,2014.0,1.0
