,GND,searchphrase,BDSL_hits_2000_all
123,10038384X,Johann Gottfried von Pahl,1.0
124,100385702,Joseph Friedrich zu Racknitz,0.0
125,10039535X,Karl Reinhard,15.0
126,100400159,Alois Wilhelm Schreiber,4.0
127,100400930,Martin Schrot,5.0
128,10041267X,Heinrich Arnold Stockfleth,0.0
129,100412807,Leonhard Stöckel,1.0
130,10041463X,Johann Baptist von Albertini,0.0
131,100422004,Max Karl Baldamus,0.0
132,100428428,Hinrich Borkenstein,0.0
133,100428665,Christian Friedrich von Bonin,0.0
134,100429548,Nicolaus von Bostel,0.0
135,100443877,Gottlieb Cober,0.0
136,100468691,Schack Hermann Ewald,4.0
137,100510140,Johann Dieterich Leyding,0.0
138,100540856,Theodor Johann Quistorp,2.0
139,100550088,Timotheus Polus,6.0
140,100553826,von Rotenburg Rudolf,1.0
141,10055590X,Christian Jakob Wagenseil,1.0
142,100562507,Karl Franz Guolfinger von Steinsberg,0.0
143,100563937,Josef Sutner,0.0
144,100602452,Ignaz Andreas Anton Felner,1.0
145,100615104,Karl August Kütner,4.0
146,100626459,Michael Vehe,1.0
147,100631177,Joachim Tancke,0.0
148,100636209,Herzog  Württemberg Karl Alexander,0.0
149,100639771,Otto B. Verdion,0.0
150,100649416,Petrus Tritonius,2.0
151,100688292,Cyprianus Vomelius,0.0
152,100689590,Heinrich Voß,137.0
153,100700233,König  Böhmen Wenzel II.,6.0
154,100700411,Amadeus Wendt,1.0
155,100701485,Johann Peter Willebrand,0.0
156,100702236,Johann Angelius von Werdenhagen,2.0
157,100704492,Johann Jakob Wettstein,1.0
158,100705367,Hermann Witekind,5.0
159,100706347,Caspar Friedrich Wolff,1.0
160,100706460,Hieronymus Wolf,0.0
161,100709966,Johann von Wowern,0.0
162,100713629,Kaspar Ziegler,0.0
163,100733778,Christian August von Bertram,1.0
164,100745628,Melchior Pfintzing,0.0
165,100790100,Daniel Jenisch,5.0
166,100790208,Joseph Friedrich von Keppler,0.0
167,10079114X,Johann Friedrich Christ,159.0
168,100791816,Hippolyt von Colli,1.0
169,100792553,Christian Ludwig Stieglitz,0.0
170,100793037,Johann Fabricius,8.0
171,100793835,Jacob Frey,5.0
172,100796060,Johann Wolfgang Andreas Schöpfel,0.0
173,100796923,Johann Georg Heinrich Feder,4.0
174,100798772,Eduard von Bülow,4.0
175,100798802,Reinhold Köstlin,1.0
176,100799140,Karl Gottlieb Prätzel,0.0
177,100800181,Wilhelmine von Gersdorff,3.0
178,100800211,Johannes Weitzel,2.0
179,100800785,Theodor Griesinger,0.0
180,100800890,Max Ring,9.0
181,100801919,Hermann von Schmid,6.0
182,100802834,Friedrich von Oertel,1.0
183,100803997,Magnus Daniel Omeis,4.0
184,100804195,Dorothea Margaretha Liebeskind,9.0
185,100804500,Johann August Ernesti,0.0
186,100805019,Philipp Ernst Lüders,0.0
187,100809766,Carl Ferdinand Dräxler,2.0
188,100810357,Karl Julius Fridrich,0.0
189,100810764,Joseph Furttenbach,0.0
190,100810977,Peter Lauremberg,6.0
191,100812538,Carl Nicolai,5.0
192,100813283,Freiherr von  Georg Ompteda,0.0
193,100816703,Heinrich Kurz,16.0
194,100817076,Florens Arnold Consbruch,0.0
195,100817602,von Laber Hadamar,9.0
196,100818684,Ernst Christoph Homburg,9.0
197,100818846,Johann Simon Buchka,0.0
198,100819443,Friedrich Ludwig Wilhelm Meyer,2.0
199,100819672,Christoph Fürer von Haimendorf,0.0
200,100819753,Carl Friedrich Drollinger,0.0
201,100820042,Ludwig F. Hudemann,0.0
202,100820557,Johann Wilhelm Jacob Bornemann,0.0
203,100821006,Daniel Schönemann,0.0
204,100823548,Ernst Benjamin Salomo Raupach,7.0
205,10082451X,Heinrich Julius Klaproth,1.0
206,100830145,Trevisanus Bernardus,0.0
207,100839061,Peter Lambeck,0.0
208,100844901,Franz Ignaz von Holbein,2.0
209,100846459,Christian L. Martini,1.0
210,100851266,Michael Heberer,1.0
211,100865208,Johann Georg Volckamer,0.0
212,10086645X,Jan Roh,21.0
213,100937004,von Hammerstetten Augustin,2.0
214,100937985,von Moosburg Berthold,1.0
215,100939414,Prior  Gaming Konrad,1.0
216,100940285,von Gandersheim Eberhard,1.0
217,100940293,Bremensis Eberhardus,8.0
218,10094034X,Christine Ebner,12.0
219,100940382,Sangallensis Eccardus I.,36.0
220,100945236,der Bruder Hans,6.0
221,100945546,Bosoviensis Helmoldus,3.0
222,100946135,von Wildonie Herrand,7.0
223,100949401,de Tambaco Johannes,0.0
224,100949746,von Hildesheim Johannes,8.0
225,100950744,de Quedlinburgo Iordanus,0.0
226,10095135X,Abt  Hasungen Lampert,1.0
227,100954200,Konrad Nachtigall,0.0
228,100955525,Sancti Richardi Nithardus,0.0
229,100955584,Reinhart Noltz,0.0
230,100956688,Ezzo,10.0
231,100957420,Bernhard Perger,0.0
232,100958079,Nigri Petrus,0.0
233,100963447,Augustin Tünger,1.0
234,100963471,Sangallensis Tutilo,0.0
235,100963579,von Sachsendorf Ulrich,0.0
236,100963897,Johann Virdung,1.0
237,100964060,vom Niederrhein Werner,0.0
238,100964109,der Schweizer Werner,6.0
239,100964206,Eberhard Windeck,6.0
240,100964648,von Sevelingen Meinloh,2.0
241,100964761,von Reichenbach Peter,0.0
242,100965229,von Erfurt Sibote,6.0
243,100968570,von Richental Ulrich,2.0
244,10096883X,von Klingen Walter,0.0
245,100968848,von Gutenburg Ulrich,1.0
246,100970001,Tilemann Elhen von Wolfhagen,1.0
247,10097001X,Ellenhardus,0.0
248,100970915,Meißner,119.0
249,100972365,Petrus Denaisius,0.0
250,100974325,Eilhard Lubin,0.0
251,100975127,Jacob von Stählin,1.0
252,101001037,Gottlob David Hartmann,3.0
253,10100706X,Rubianus Crotus,1.0
254,101016603,Johann Gramann,0.0
255,101044011,Hermann Schedel,0.0
256,101044127,Meister Altswert,0.0
257,101046189,Jacob von Bruck-Angermundt,2.0
258,101088906,Hans Neithart,1.0
259,1011155311,Franz Krey,0.0
260,1011184621,Lesch Albrecht,0.0
261,10112970X,Karl Scheller,1.0
262,101135262,Oskar Meding,2.0
263,101138245,Samuel Christian Lütkemüller,0.0
264,101141769,Rahel Meyer,1.0
265,101145918,Wilhelmine von Sydow,0.0
266,101146167,Moritz Reichenbach,0.0
267,101147465,Cajetan Tschink,0.0
268,1011482371,Camillo Schaefer,0.0
269,1011517035,Peter Zumpf,0.0
270,101152159,Hans Hoffmann,32.0
271,1011656140,Helmuth Frauendorfer,1.0
272,101167730X,Hermann Obermüller,0.0
273,1011755122,Lucas Marco Gisi,53.0
274,1011817411,Christian Bornmann,1.0
275,1011877090,Josef Hofbauer,1.0
276,1011966131,von Diesbach Ludwig,2.0
277,101204760,Clemens Laar,0.0
278,101205570,Eduard Kulke,2.0
279,10121653X,Valeska Bethusy-Huc,4.0
280,101222548,Julius Stettenheim,1.0
281,101223749,Heinz Pol,256.0
282,101227353,Willy Steputat,0.0
283,1012286932,Basilius Meggle,0.0
284,1012303020,Carl Heinrich Schnauffer,0.0
285,101237189,Markgraf  Brandenburg Otto IV.,1.0
286,1012397637,Tobias Hessius,0.0
287,101239767X,Theodor Rhodius,1.0
288,101240805,Seifried Helbling,2.0
289,101240872,von Hohenberg Werner,0.0
290,101241054,Johann Friedrich Lauson,1.0
291,101243715,Diederich Georg Babst,0.0
292,101244371,Elisabeth Kulmann,2.0
293,101244479,Der Goldener,4.0
294,101244665,Geltar,1.0
295,10124469X,von dem Forste Günther,0.0
