,GND,searchphrase,BDSL_hits_2000_all
2089,116805420,Theodor Sapper,0.0
2090,116806044,Stanislaus Grabowski,0.0
2091,116807334,Detmar Heinrich Sarnetzki,0.0
2092,116807385,Theodor Heinrich Friedrich,19.0
2093,116808314,Hermann Graedener,0.0
2094,11681019X,Adolf Schmitthenner,0.0
2095,116810289,Hansjörg Schmitthenner,0.0
2096,116811919,Joseph Hillebrand,0.0
2097,116811994,Karl Hillebrand,13.0
2098,116813563,Friedrich Marx,37.0
2099,11681487X,Max Brusto,0.0
2100,116816791,Georg Schmückle,1.0
2101,116817925,Anton von Bucher,1.0
2102,116819073,Max Schneckenburger,0.0
2103,116819251,Ludwig Schneegans,0.0
2104,116819723,Dieter Fringeli,0.0
2105,116823062,Hans Grasberger,0.0
2106,116824921,Georg Schneider,23.0
2107,116829672,Lambert Schneider,31.0
2108,116830069,Abraham Emanuel Fröhlich,1.0
2109,116830263,Hermann Greid,1.0
2110,116830433,Hans J. Fröhlich,1.0
2111,116830506,Karl Fröhlich,5.0
2112,116830980,Leo Greiner,1.0
2113,116831227,Rudolf Greinz,2.0
2114,116832193,Maria Grengg,0.0
2115,116834633,Johann Diederich Gries,6.0
2116,116837144,Rudolf Schneider-Schelde,0.0
2117,116837624,Ludwig Mathar,4.0
2118,116841753,Wilhelm Matthießen,7.0
2119,116844167,Franz Schneller,0.0
2120,116844876,Rudolf Fuchs,7.0
2121,116848871,Karl Schnog,5.0
2122,116849436,Franz von Schober,0.0
2123,116850310,Carl Lebrun,0.0
2124,116852038,Joe Lederer,9.0
2125,11685362X,Johann Evangelist Fürst,0.0
2126,116855304,Erich Grisar,9.0
2127,116857218,Jakob Nikolaus Craigher,0.0
2128,116857285,Heinrich von Schoeler,0.0
2129,116857374,Adolf Schöll,2.0
2130,116863277,Johann Heinrich Friedrich Meinecke,0.0
2131,116863498,Christoph Meiners,7.0
2132,116863919,Gottlob Friedrich Ernst von Schönborn,1.0
2133,116864532,Hanns Meinke,1.0
2134,116865156,Fritz Lau,7.0
2135,116865822,Cécile Lauber,2.0
2136,116868546,Ottmar Friedrich Heinrich Schönhuth,1.0
2137,116868775,Ferdinand Gross,7.0
2138,116868902,Hanns Gross,19.0
2139,116872764,Siegfried Melchinger,0.0
2140,116873655,Gottfried Benedikt Funk,1.0
2141,116877243,Joseph Mendelssohn,1.0
2142,116878975,Elisabeth von Grotthuß,0.0
2143,116881461,Brigitte Meng,0.0
2144,116884029,Leo Leipziger,0.0
2145,116884207,Dieter Leisegang,3.0
2146,116886234,Herybert Menzel,7.0
2147,116887680,Albert Grün,4.0
2148,116888385,Christoph Sigismund Grüner,0.0
2149,116888458,Alfred Grünewald,4.0
2150,116889217,Walter Schoenstedt,0.0
2151,116889292,Franz von Schönthan,0.0
2152,116889667,Meta Schoepp,1.0
2153,11689069X,Otto Leixner von Grünberg,1.0
2154,116892447,Walter Hilsbecher,0.0
2155,116892463,Eberhard Hilscher,91.0
2156,116893060,Hans Rudolf Hilty,3.0
2157,116895594,Albert Arnold Scholl,1.0
2158,116897589,Fritz Lemmermayer,0.0
2159,116900113,Peter Hirche,0.0
2160,116900253,Cäsar von Lengerke,0.0
2161,116900628,Marie Nathusius,4.0
2162,116900903,Heinrich Grunholzer,1.0
2163,116901675,Michael Neander,1.0
2164,116902051,Gerhard Nebel,26.0
2165,11690240X,Simon Grynäus,2.0
2166,116904755,Jenny Hirsch,5.0
2167,116905514,Marie Hirsch,0.0
2168,116908327,Friedrich W. Gubitz,1.0
2169,116910283,Joseph Friedrich Lentner,0.0
2170,116911670,Lorenz Scholz,0.0
2171,116912707,Joachim Günther,7.0
2172,116915188,Karl Gotthold Lenz,1.0
2173,116916699,Salomon Hirzel,5.0
2174,116916796,Leo Lenz,14.0
2175,116917253,Erika Guetermann,0.0
2176,116919329,Kurt Leonhard,6.0
2177,116919825,Rudolf Walter Leonhardt,0.0
2178,116920289,Werner Johannes Guggenheim,1.0
2179,116920815,Karl Hoche,0.0
2180,116922346,Gustav René Hocke,6.0
2181,116922842,Henriette von Schorn,0.0
2182,116926635,Nicolaus Hieronymus Gundling,7.0
2183,116926856,Johann Gunert,0.0
2184,116927054,Gunnar Gunnarsson,3.0
2185,116930241,Joachim Morsius,0.0
2186,1169322190,Alexander Jung,3.0
2187,11693266X,Herbert von Hoerner,2.0
2188,116935464,Kay Hoff,13.0
2189,116935952,Theodor Hofferichter,0.0
2190,116936649,Friedrich Mosengeil,2.0
2191,116937807,Gustav von Moser,0.0
2192,116941359,Alexander Moszkowski,2.0
2193,116942932,Cyprian Leowitz,0.0
2194,116945052,Karl Franz Leppa,1.0
2195,116945591,Ernst Rudolf Neubauer,1.0
2196,116945745,Paul Neubauer,0.0
2197,116945907,Valerius Wilhelm Neubeck,1.0
2198,116946245,Karl Lerbs,0.0
2199,116947624,Emil Lerperger,0.0
2200,116950390,Karl Gotthelf Lessing,1.0
2201,11695082X,Daniel Leßmann,0.0
2202,116956127,Reinhard Lettau,14.0
2203,116959916,Gerhard Neumann,236.0
2204,116961112,Alma Holgersen,0.0
2205,116961805,Felix Hollaender,1.0
2206,116962291,Konrad Levezow,1.0
2207,116964774,Arthur Zanker,0.0
2208,116965614,Heinrich von Levitschnigg,3.0
2209,116968621,Paul von Thun-Hohenstein,0.0
2210,116969466,Paul Gerhard Zeidler,0.0
2211,116970413,Adolf Zeising,1.0
2212,116970979,Erwin Loewenson,2.0
2213,116973102,Franz Seraphim Mayr,0.0
2214,116975326,Johann Paul Sattler,0.0
2215,116977329,Karl Benno von Mechow,1.0
2216,116977477,Hedda Sauer,1.0
2217,116980176,Heinrich Lhotzky,0.0
2218,116981385,Hans Hopfen,0.0
2219,116983078,Wilhelm Neumann,9.0
2220,116983132,Heinrich Zerkaulen,1.0
2221,116983450,Heinrich Gottlieb Zerrenner,0.0
2222,116983671,Julius Zerzer,0.0
2223,116987367,Friedrich W. Ziegler,6.0
2224,116988592,Ernst Ziel,0.0
2225,116991739,Franz Horn,10.0
2226,116995696,Gustav Nicolai,5.0
2227,116996714,August Jacob Liebeskind,0.0
2228,116997710,Mela Spira,34.0
2229,116998415,Georg Zimmermann,29.0
2230,116998938,Joachim Johann Daniel Zimmermann,0.0
2231,117001597,Wilhelm Werner von Zimmern,13.0
2232,117002968,Daniel Gottlieb Gebhard Mehring,0.0
2233,117003980,Viktor Meyer-Eckhardt,2.0
2234,117004057,Wilhelm Meyer-Förster,0.0
2235,117004952,Benno Meyer-Wehlack,2.0
2236,117005215,Alexander Zinn,1.0
2237,117007374,Georg Zivier,0.0
2238,117008664,Hanns von Zobeltitz,0.0
2239,117009024,Hans Zöberlein,2.0
2240,117009555,Peter Zoege von Manteuffel,0.0
2241,1170102581,Thorsten Becker,16.0
2242,1170107265,Isabella Braun,3.0
2243,117010804,Karl August Horst,1.0
2244,117012017,Wilhelm Hosaeus,0.0
2245,117013447,Richard Zoozmann,1.0
2246,11701348X,Johann Jakob Hottinger,0.0
2247,117013749,Curt Hotzel,1.0
2248,117013846,Heinrich Hubert Houben,3.0
2249,117015954,Gisela Lindemann,1.0
2250,117016330,Gustav Nieritz,5.0
2251,117016640,Johann Benjamin Michaelis,2.0
2252,117016659,Charlotte Niese,0.0
2253,117019526,Paul Zsolnay,78.0
2254,117019801,Matthaeus Zuber,0.0
2255,117022462,Franz Nissel,0.0
2256,117025054,Andreas Christoph Lindenhan,0.0
2257,117026190,Anton Lindner,0.0
2258,117028657,Käthe Miethe,1.0
2259,117029009,Helene Migerka,0.0
2260,117030279,Wolfgang Lindow,1.0
2261,117031356,Johann Ludwig Huber,2.0
2262,117032107,Georg Michael Lingelsheim,2.0
2263,117035041,Oskar Linke,0.0
2264,117035068,Felix Huch,0.0
2265,117035564,Rudolf Huch,5.0
2266,117037451,Eberhard Friedrich Hübner,0.0
2267,117037508,Friedrich Markus Hübner,7.0
2268,117039144,Friedrich Jacobs,4.0
2269,117040959,Jost Nolte,0.0
2270,117042242,Max von Millenkovich-Morold,0.0
2271,117042269,Stephan von Millenkovich,0.0
2272,117044202,Klaus Budzinski,0.0
2273,117044733,Alois Johannes Lippl,0.0
2274,117045403,Lorenz Hübner,0.0
2275,117047155,Carl Borromäus von Miltitz,0.0
2276,117048941,Hans von Hülsen,3.0
2277,117052221,Hermann Missenharter,0.0
2278,117052744,Luise Büchner,30.0
2279,117053996,Johann Heinrich Christian Nonne,0.0
2280,117056235,Levinus Hulsius,0.0
2281,117056650,Clara Nordström,1.0
2282,117058955,Gottlob A. E. von Nostitz und Jänckendorf,1.0
2283,117060275,Martin Schrettinger,8.0
2284,117062049,Malwine von Humbracht,1.0
2285,117062944,Ludwig Huna,0.0
2286,117065897,Heinrich von Littrow,2.0
2287,117066028,Johann Jakob Mnioch,0.0
2288,11706646X,Frieda von Bülow,20.0
2289,117067040,Margarethe von Bülow,0.0
2290,117069000,Hartwig Hundt-Radowsky,2.0
2291,117069159,Bruno Nowak,2.0
2292,117069825,Hans Nüchtern,2.0
2293,117071331,Heinrich von Husan,0.0
2294,11707392X,Hans von Hutten,1.0
2295,11707554X,Albert Waag,0.0
2296,117076406,Karl Wache,0.0
2297,117076511,Joseph Georg Oberkofler,1.0
2298,117076570,Hans Wachenhusen,0.0
2299,117078719,Maria Janitschek,8.0
2300,117080128,Ferdinand Ochsenheimer,0.0
2301,117080632,Daniel Mögling,1.0
2302,117081736,Erich Jansen,1.0
2303,117082236,Gustav Schröer,0.0
2304,117083224,Franz Schrönghamer-Heimdal,0.0
2305,117083682,Samuel Gottlieb Bürde,1.0
2306,117089060,Albert Möser,0.0
2307,117092800,Johann Baptist Schad,2.0
2308,1170928765,Florian Seidl,1.0
2309,117093467,Adolph von Schaden,0.0
2310,117094242,Isaak Jeitteles,0.0
2311,11709501X,Johann Ernst Wagner,4.0
2312,117096261,Adolf Wagner,6.0
2313,11709711X,Johannes Oekolampad,1.0
2314,117099317,Wilhelm Schäfer,28.0
2315,117102350,Gottfried Jakob Schaller,0.0
2316,117104477,Julius Schanz,1.0
2317,117105198,Bernd Jentzsch,7.0
2318,117108731,Ludwig Scharf,3.0
2319,117109398,Eduard Maria Oettinger,0.0
2320,117110191,Wilhelm Scharrelmann,4.0
2321,117112259,Günter Ohnemus,6.0
2322,117112518,Anton Ohorn,2.0
2323,117115827,Oskar Jerschke,2.0
2324,117115967,Friederike Magdalene Jerusalem,0.0
2325,117116955,Ossip Schubin,2.0
2326,117120243,Ruth Waldstetter,0.0
2327,117120731,Gustav Waldt,0.0
2328,11712124X,Marie von Olfers,1.0
2329,117122653,Friedrich Molter,0.0
2330,1171242352,Johann Jürgen Schilling,1.0
2331,117125202,Max Moltke,1.0
2332,117126403,Friedrich Wallisch,0.0
2333,11712687X,Johann Jakob Ihlée,0.0
2334,11712768X,Wilhelm Walloth,0.0
2335,117128279,Ernst Jirgal,0.0
2336,117128791,Werner Ilberg,1.0
2337,117128961,Paul Ilg,0.0
2338,117131520,Hellmut Walters,1.0
2339,117134600,Alma Moodie,1.0
2340,117136018,Friedrich von Oppeln-Bronikowski,5.0
2341,117136379,Ferdinand Oppenberg,0.0
2342,117136492,Kurt Morawietz,3.0
2343,117136883,Uwe Wandrey,0.0
2344,117137154,Gustav von Wangenheim,0.0
2345,117139440,Johannes Opsopäus,1.0
2346,117144398,Johann Gustav Gottlieb Büsching,6.0
2347,117145564,Werner Warsinsky,9.0
2348,117147443,Karl Müchler,7.0
2349,117148709,Carl Heinrich Jördens,0.0
2350,117148970,Ernst Ortlepp,33.0
2351,117149675,Eugen Ortner,1.0
2352,11715119X,Ernst Friedrich Löhndorff,1.0
2353,117153508,Wolfgang Buhl,2.0
2354,117153788,Werner Bukofzer,0.0
2355,117154202,Johann Michael von Loen,16.0
2356,117156140,Hans Bunge,6.0
2357,117156302,Rudolf Bunge,0.0
2358,117156817,Annemarie Weber,13.0
2359,117159271,Fritz von Ostini,0.0
2360,117160067,Sophie Junghans,0.0
2361,11716044X,Werner von der Schulenburg,0.0
2362,117161144,Max Burckhard,3.0
2363,117161853,Josef Mühlberger,56.0
2364,117163511,Rudolf Löw,2.0
2365,117168920,Herbert Burgmüller,1.0
2366,117170755,Robert Weber,24.0
2367,117172782,Christian Karl Ernst Wilhelm Buri,0.0
2368,117173118,Johann Gottlieb Münch,6.0
2369,117175293,Anna Jonas,3.0
2370,11717839X,Johannes Wedde,0.0
2371,117178519,Otto Weddigen,0.0
2372,11717873X,Hanns Otto Münsterer,0.0
2373,117180122,Adelbert Muhr,0.0
2374,117181269,Georg Buschan,1.0
2375,117182036,Ernst M. Mungenast,2.0
2376,117183784,Hermann Eris Busse,1.0
2377,117184187,Johann Friedrich Butenschoen,1.0
2378,117185833,Thassilo von Scheffer,1.0
2379,117189871,Walter F. Otto,44.0
2380,117191485,Julius Overhoff,1.0
2381,11719364X,Richard Scheid,0.0
2382,117193828,Ilse von Stach,5.0
2383,117195421,Emerich von Stadion,1.0
2384,117196614,Julius Lohmeyer,0.0
2385,117197289,Karoline von Woltmann,1.0
2386,117201391,Christoph Städele,0.0
2387,117202991,Gotthold Friedrich Stäudlin,3.0
2388,117206881,Heinrich Wilhelm von Stamford,0.0
2389,117207594,Heinz Weder,1.0
2390,117208612,Georg Weerth,90.0
2391,117208876,Johann Karl Christoph Nachtigal,0.0
2392,117209503,Arno Nadel,3.0
2393,117209872,Karl Gottfried Nadler,3.0
2394,117210048,Burkhard Nadolny,0.0
2395,117211354,Werner Schendell,0.0
2396,117212555,Joseph Albrecht von Ittner,0.0
2397,117213527,Elise Sommer,3.0
2398,117218154,Christian Friedrich Scherenberg,2.0
2399,11721857X,Christoph Wegleiter,0.0
2400,117220264,Feodor Wehl,0.0
2401,117221414,Johann Friedrich Jünger,8.0
2402,117221929,Peter Lotar,2.0
2403,117225290,Paul Steegemann,0.0
2404,117226076,Emil Schibli,0.0
2405,117226807,Johann Heinrich Steffens,2.0
2406,117227714,Daniel Schiebeler,1.0
2407,117228451,Margarete Zur Bentlage,2.0
2408,117231126,Peter Scher,11.0
2409,117231770,Josef Magnus Wehner,1.0
2410,117234303,Franz Wilhelm Jung,2.0
2411,11723690X,Gerhard Schulz,42.0
2412,117241849,Wilhelm Weigand,2.0
2413,117243310,Karl Wilhelm Justi,1.0
2414,117245976,Gotthilf Samuel Steinbart,1.0
2415,117247243,Friedrich Taubmann,2.0
2416,1172476349,Juliane Tranacher,1.0
2417,117252077,Wolfram von den Steinen,3.0
2418,117253561,Hugo Lubliner,0.0
2419,117254975,Konrad Telmann,2.0
2420,117256145,Eberhard von Weyhe,0.0
2421,117256471,Wilhelm Ernst Tentzel,2.0
2422,117261521,Emil Lucka,1.0
2423,117261637,Johann Christoph Stockhausen,0.0
2424,117264520,Francisca Stoecklin,0.0
2425,117266159,Hermann Wilhelm Franz Ueltzen,1.0
2426,117267813,Katharina zu Stolberg-Stolberg,0.0
2427,117268992,Margarete Weinhandl,0.0
2428,117269891,Gustav Schilling,2.0
2429,117270563,Eduard Stemplinger,0.0
2430,117272698,Hanna Stephan,9.0
2431,117276413,Albert von Schirnding,62.0
2432,11727786X,Carl Weisflog,6.0
2433,117278785,Albert Jakob Welti,3.0
2434,117279234,Felix Weltsch,9.0
2435,117282448,Christiane Sophie Ludwig,0.0
2436,117282901,Franz von Schlechta,1.0
2437,117286877,Ferdinand Stolle,0.0
2438,117289000,Daniel Stoppe,5.0
2439,117289337,Ludwig Storch,3.0
2440,11728971X,Axel Lübbe,0.0
2441,117292516,Alfred H. Unger,2.0
2442,117292672,Georg Wilhelm von Lüdemann,0.0
2443,117293059,Hans Jürgen von der Wense,47.0
2444,117293091,Friederike Helene Unger,28.0
2445,117293210,Hellmuth Unger,1.0
2446,117298573,Kurt Lütgen,0.0
2447,117301817,Friedrich Christoph Weisser,0.0
2448,117302732,Franz Theremin,1.0
2449,117302996,Karl Weiss,16.0
2450,117303569,Werner Schumann,0.0
2451,117303836,Walter Werner,34.0
2452,11730493X,Josef M. Stowasser,0.0
2453,117306355,Paul Wertheimer,3.0
2454,117306614,Carl Weitbrecht,0.0
2455,117307203,Johann Weitz,2.0
2456,11730767X,Friedrich August Clemens Werthes,7.0
2457,117309087,Rudolf Stratz,1.0
2458,117311235,Ludwig August Unzer,15.0
2459,117311251,Johann Christoph Unzer,0.0
2460,117313157,Adolf Streckfuß,0.0
2461,117313165,Karl Streckfuß,0.0
2462,117316261,Anton Schurz,0.0
2463,117316369,Konrad Samuel Schurzfleisch,0.0
2464,11731711X,Andreas Streicher,0.0
2465,117319198,Günter Westerhoff,0.0
2466,117319996,Georg Westermayer,2.0
2467,117320005,Ottmar Luscinius,5.0
2468,11732065X,Luise Westkirch,0.0
2469,117321265,Erich Lüth,1.0
2470,117324795,Emile Mario Vacano,1.0
2471,117325015,Friedrich Christian Eugen von Vaerst,0.0
2472,117327190,Engel Christine Westphalen,3.0
2473,117328871,Martha Schlinkert,0.0
2474,117330876,Herbert Schlüter,5.0
2475,117331651,Arthur Lutze,0.0
2476,117334189,Johann Moritz Schwager,33.0
2477,117341428,Valentin Thilo,1.0
2478,117342580,Johann Albrecht Widmannstetter,0.0
2479,117345563,Adrienne Thomas,32.0
2480,117349062,Amalie Struve,3.0
2481,117349666,Johann Rudolf Wyss,0.0
2482,117350249,Gottfried Thomasius,5.0
2483,117350567,Elisabeth Thommen,2.0
2484,117354287,Simon Studion,0.0
2485,117355925,Ernst Thrasolt,2.0
2486,117357715,Carl Friedrich Wiegand,0.0
2487,117360007,Carl Eduard Vehse,3.0
2488,117361275,Paul Wiegler,1.0
2489,117362743,Oskar Wiener,4.0
2490,117363669,Hermann Stuppäck,1.0
2491,11736438X,Walther Siegfried,2.0
2492,117366714,Georg Schwarz,15.0
2493,117367893,Sophie Schwarz,12.0
2494,117368857,Carl Franz van der Velde,0.0
2495,117369993,Balthasar Venator,7.0
2496,117370053,Thomas Venatorius,0.0
2497,117374504,Konrad Wünsche,1.0
2498,117375616,Auguste Supper,0.0
2499,11737606X,Dorothea Tieck,14.0
2500,117376663,Kurt Sigel,1.0
2501,117381292,Hedwig Henrich-Wilhelmi,0.0
2502,117383201,Werner Wilk,3.0
2503,11738464X,August Silberstein,0.0
2504,117388335,Nikolaus Schwarzkopf,0.0
2505,117388920,Johann Bernhard Vermehren,0.0
2506,117389102,Erich Wulffen,8.0
2507,117391042,Friedrich Sylburg,1.0
2508,117391085,Erwin Sylvanus,2.0
2509,117391298,Wilhelm Szabo,10.0
2510,11739467X,Ernst Willkomm,5.0
2511,11739646X,Conrad Vetter,2.0
2512,117397032,Robert Schweichel,1.0
2513,117403148,Hermann Sinsheimer,16.0
2514,117409030,Georg Friedrich Treitschke,1.0
2515,117409391,Siegfried von der Trenck,0.0
2516,117413836,Albert von Trentini,0.0
2517,117414271,Sebastian Friedrich Trescho,0.0
2518,117416053,Christian Friedrich Sintenis,0.0
2519,117416312,Egon Vietta,8.0
2520,117417092,Abdias Trew,2.0
2521,117417904,Daniel Schwenter,4.0
2522,117418307,Hannes Schwenger,7.0
2523,117418528,Hans Sittenberger,0.0
2524,117418730,Daniel Wilhelm Triller,5.0
2525,117420808,Bruno Hanns Wittek,0.0
2526,117421243,Heinz Tovote,0.0
2527,117421359,Michael Toxites,2.0
2528,117421650,Albert Traeger,0.0
2529,117421952,Balthasar Ludwig Tralles,1.0
2530,11742482X,Richard Skowronnek,0.0
2531,117426547,Adolph Wittmaack,0.0
2532,117428035,Hermine Villinger,2.0
2533,117429740,Daniel Wülfer,1.0
2534,117429899,Erwin Wittstock,25.0
2535,117430641,Fritz Schwiefert,1.0
2536,117431133,Adolf von Tschabuschnigg,18.0
2537,117431427,Vincenz Bernhard von Tscharner,1.0
2538,117432482,Fridolin Tschudi,0.0
2539,117432504,Friedrich von Tschudi,0.0
2540,117432792,Christian Heinrich Wolke,1.0
2541,117432814,Karl Alfred Wolken,0.0
2542,117434531,Christoph Woltereck,0.0
2543,11743468X,Friedrich Wolters,13.0
2544,117435007,Karl Ludwig von Woltmann,1.0
2545,117435325,Alfred von Wolzogen,0.0
2546,11743535X,Michael Virdung,0.0
2547,117443018,Pius Alexander Wolff,1.0
2548,11744328X,Victoria Wolff,10.0
2549,117444154,Friedrich August Wolf,44.0
2550,11744443X,Johann Heinrich von Seelen,0.0
2551,117444480,Moriz Seeler,1.0
2552,117444790,Johann Christoph Wolf,135.0
2553,117445673,Peter Philipp Wolf,2.0
2554,117447048,Wulf Segebrecht,112.0
2555,117448877,Adolf Vögtlin,0.0
2556,117450022,Eugen Wolff,3.0
2557,117450944,Richard Voss,17.0
2558,117451169,Karl Söhle,0.0
2559,117451746,Hans Trog,0.0
2560,117452084,Berend de Vries,0.0
2561,117453773,Johann Christoph von Woellner,0.0
2562,117453889,Johannes Trojan,3.0
2563,11745446X,Bartholomäus Scultetus,1.0
2564,117456837,Louis de Wohl,2.0
2565,117457132,Graf von  Woldemar Friedrich Schmettau,0.0
2566,117457329,Hildegard Wohlgemuth,0.0
2567,117457558,Friedrich Alfred Schmid Noerr,0.0
2568,117458600,Ernst Wilhelm Wolf,8.0
2569,117459003,Melchior Sebisch,0.0
2570,117459062,Friedrich Sebrecht,0.0
2571,117462535,Gustav von Seckendorf,1.0
2572,117464392,Johann Gabriel Seidl,5.0
2573,117464546,Walter Seidl,9.0
2574,117465526,Georg Daripinus Sibutus,1.0
2575,117468401,Walter Vogt,11.0
2576,117469769,Gerd Semmer,1.0
2577,117470171,Hermann Sendelbach,0.0
2578,11747505X,Richard Sexau,0.0
2579,117475165,David Christoph Seybold,5.0
2580,117475629,Dietrich Wilhelm Soltau,0.0
2581,117478091,Daniel Sennert,0.0
2582,117479373,Anton Springer,1.0
2583,117480967,Friedrich Spanheim,0.0
2584,117481718,Karl Spazier,4.0
2585,117482307,Diedrich Speckmann,0.0
2586,117482684,Ludwig Speidel,0.0
2587,117484970,Heinrich Spoerl,10.0
2588,117490067,Heinrich Spiero,0.0
2589,117495093,Abraham Voß,1.0
2590,117497754,Vincent Fabricius,0.0
2591,117499498,Konrad Arnold Schmid,1.0
2592,117499854,Andreas Ellinger,0.0
2593,117501646,Hugo Hartung,13.0
2594,117504750,Friedrich Wilhelm August Schmidt,3.0
2595,117504769,Friedrich Wilhelm Valentin Schmidt,0.0
2596,117506095,Georg Philipp Schmidt,1.0
2597,117507008,Jochen Schmidt,75.0
2598,11750727X,Ernst Keil,7.0
2599,117507857,Franz Anton Joseph Ignaz Maria von Sonnenberg,0.0
2600,117519006,Johann Daniel Major,1.0
2601,117519901,Karl Alexander Herklots,0.0
2602,117522864,Elias Reusner,0.0
2603,1175257354,Christian Albinus,0.0
2604,11753689X,Johannes Thomas Freig,0.0
2605,117543640,Salomon Gesner,0.0
2606,117546011,Johann Friedrich Mayer,1.0
2607,117551376,Karl Mayer,8.0
2608,117553875,Carl Gottlob Küttner,0.0
2609,117557633,Georg Mauricius,1.0
2610,117558591,Friedrich Johann Lorenz Meyer,1.0
2611,117561592,Samuel Wallis,0.0
2612,117564273,Ernst Grosse,14.0
2613,11756883X,Nicolaus Meyer,1.0
2614,11757287X,Matthaeus Wesenbeck,0.0
2615,117574317,Georg Christian Erhard Westphal,0.0
2616,117575410,Christoph Heinrich Müller,4.0
2617,117576999,Ernst Müller,60.0
2618,117577979,Johann Peter Miller,0.0
2619,117580104,Friedrich von Müller,56.0
2620,117585637,Anna Nitschmann,0.0
2621,117588717,Heinrich Müller,117.0
2622,117593338,Julius Bernhard von Rohr,2.0
2623,117596450,Johann Samuel Müller,0.0
2624,117598127,Clara Müller-Jahnke,1.0
2625,11759833X,Martin Ruarus,0.0
2626,117601055,Carlos Aguirre y Montúfar,0.0
2627,117602515,Christian Renatus von Zinzendorf,0.0
2628,117604550,Johann Georg Müchler,1.0
2629,117606219,Melchior Laubanus,1.0
2630,117608092,Karl Wilhelm Müller,4.0
2631,117608122,Nikolaus Müller,46.0
2632,11760870X,Eduard Boas,1.0
2633,117608769,Johannes Bocer,1.0
2634,117608866,Wilhelm Bode,7.0
2635,117609145,Otto Müller,40.0
2636,117621404,Georg Scherer,4.0
2637,117624098,Israel Murschel,0.0
2638,11763266X,Christoph Friedrich von Derschau,0.0
2639,117636738,Aloys Friedrich von Brühl,0.0
2640,117643629,Johann Ferdinand Schlez,0.0
2641,117648914,Friedrich Spanheim,0.0
2642,117653713,Johann Christoph Schwedler,0.0
2643,11765681X,Johann Senn,2.0
2644,1176742027,Hans Frick,4.0
2645,117676896,Johann Andreas Christian Löhr,0.0
2646,117683124,Kaspar Friedrich Lossius,1.0
2647,117685208,Johann Georg Pfranger,3.0
2648,117686387,Friedrich Eberhard Rambach,3.0
2649,117691208,Tobias Clausnitzer,0.0
2650,1177079917,Max Messer,1.0
2651,117727741,Gottlob August Tittel,0.0
2652,117728225,Joseph Maria Weissegger von Weißeneck,1.0
2653,117731552,Wolf Deinert,3.0
2654,117732230,Johann Georg Gichtel,4.0
2655,117739693,Gerd E. Hoffmann,0.0
2656,117744727,Heinz Rölleke,245.0
2657,117745499,Theodor Weißenborn,16.0
2658,11774932X,Cornelia Goethe,19.0
2659,117750794,Gerdt von Bassewitz,6.0
2660,117751359,Johannes Bissel,10.0
2661,117751944,Ernst Soner,0.0
2662,117756091,Bernhard Kytzler,2.0
2663,117756873,Michael von Albrecht,16.0
2664,117759260,Werner Keller,10.0
2665,117759694,Matthäus Arnold Wilckens,0.0
2666,117765430,Samuel Baldovius,0.0
2667,11776552X,Kurt Herwarth Ball,2.0
2668,117767778,Helmut Bartuschek,1.0
2669,1178432823,Julius von der Traun,0.0
2670,1178484068,Paulus Niavis,0.0
2671,1178632180,O.F. Berg,2728.0
2672,118000918,Eva Demski,26.0
2673,118004034,Bettina Wegner,0.0
2674,118006509,Dennis Cooper,0.0
2675,118008153,Akif Pirinçci,8.0
2676,118010832,Katharina Maria Stockfleth,0.0
2677,118016962,Jochen Beyse,2.0
2678,118027832,Walter Schenker,0.0
2679,118028146,Werner Möllenkamp,0.0
2680,118031198,Klaus Merz,37.0
2681,118046780,Éric-Emmanuel Schmitt,1.0
2682,118047744,Ernst Burren,3.0
2683,118048228,Norman Ohler,11.0
2684,11805077X,Jan Assmann,45.0
2685,118053418,Meja Mwangi,1.0
2686,118054104,Cornelia Franz,5.0
2687,118081691,Friedrich Gottlieb Thilo,0.0
2688,118085905,André Weckmann,20.0
2689,118088181,André Schinkel,50.0
2690,118101617,Peter Sprengel,208.0
2691,118101846,Heinrich Wolfgang Behrisch,1.0
2692,118106643,Detlev Meyer,2.0
2693,118106929,Heinz Abels,0.0
2694,118108182,Tobias Hülswitt,13.0
2695,118111116,Johann Jacob Ebert,0.0
2696,11811848X,Melvin Burgess,0.0
2697,118119435,Knut Schaflinger,0.0
2698,11811946X,Dieter Zimmer,79.0
2699,118122703,Ernst Eggimann,0.0
2700,118127055,Johann Jakob Zimmermann,3.0
2701,118128760,Ludwig Homann,3.0
2702,118133152,Johann Karl Christian Fischer,0.0
2703,11813485X,Daniel Ganzfried,6.0
2704,118138006,Raul Zelik,4.0
2705,118140795,Benedict R. O'G. Anderson,1.0
2706,118146734,Ali Mitgutsch,3.0
2707,118150693,Andreas Steinhöfel,65.0
2708,118153625,Moses Rosenkranz,28.0
2709,118155180,Jonathan D. Culler,16.0
2710,118156470,Thommie Bayer,2.0
2711,118158651,Christoph Christian Sturm,4.0
2712,118158732,Karl Friedrich Tröltsch,0.0
2713,118158821,Marie-Aude Murail,0.0
2714,118160400,Arthur West,1.0
2715,118160982,Olav Münzberg,0.0
2716,118163981,Victor Hehn,12.0
2717,118164643,Ulrike Längle,37.0
2718,118170627,Friedemann Berger,0.0
2719,118171895,Ria Endres,5.0
2720,118176153,Wolfgang Stellmacher,5.0
2721,118176900,José F. A. Oliver,67.0
