heading_1;heading_2;heading_3;author_name;title;type;GND
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Alfred Anger;Dichtung des Rokoko. Nach Motiven geordnet;ANTH;1242994254
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Alfred Kelletat;Der Göttinger Hain;ANTH;118561189
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Adalbert Elschenbroich;Deutsche Dichtung im 18. Jahrhundert;ANTH;11645993X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Christoph Perels/Walther Killy;18. Jahrhundert;ANTH;121378802 + 116171650
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Ehrhard Bahr;Was ist Aufklärung?;ANTH;130674966
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Henning Boetius;Dichtungstheorien der Aufklärung;ANTH;115769749
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Gunter Grimm;Satiren der Aufklärung;ANTH;118183419
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Manfred Windfuhr;Deutsche Fabeln des 18. Jahrhunderts;ANTH;118945505
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Alexander von Bormann;Vom Laienurteil zum Kunstgefühl;ANTH;116253150
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Wolfgang Doktor/Gerhard Sauer;Empfindsamkeit. Theoretische und kritische Texte;ANTH;108418812 + 119185213X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Erich Loewenthal;Sturm und Drang. Kritische Schriften;ANTH;102183104
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Dieter Kimpel/Conrad Wiedemann;Theorie und Technik des Romans im 17. und 18. Jahrhundert;ANTH;107512602 + 124978487
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Achtzehntes Jahrhundert. Aufklärung, Empfindsamkeit, Sturm und Drang, Klassik;Textsammlungen;Hans Mayer;Deutsche Literaturkritik;ANTH;118579568
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Jean Paul;Leben des Quintus Fixlein;;118557211
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Jean Paul;Blumen-, Frucht- und Dornenstükke oder Ehestand, Tod und Hochzeit des Armenadvokaten F. St. Siebenjäs im Reichsmarktflecken Kuhschnappel;;118557211
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Jean Paul;Titan;;118557211
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Jean Paul;Flegeljahre;;118557211
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Tieck;Der blonde Eckbert;;12989432X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Tieck;Der gestiefelte Kater;;12989432X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Tieck;Franz Sternbalds Wanderungen;;12989432X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Tieck;Die verkehrte Welt;;12989432X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Tieck;Phantasus;;12989432X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Tieck;Der junge Tischlermeister;;12989432X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Tieck;Des Lebens Überfluß;;12989432X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Heinrich Wackenroder/Ludwig Tieck;Herzensergißeungen eines kunstliebenden Klosterbruders;;12989432X + 118628097
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich Schlegel;Über Goethes Meister;;118607987
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich Schlegel;Athenaeums-Fragmente;;118607987
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich Schlegel;Lucinde;;118607987
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Novalis;Die Christenheit oder Europa;;118588893
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Novalis;Hymnen an die Nacht;;118588893
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Novalis;Blüthenstaub-Fragmente;;118588893
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Novalis;Heinrich von Ofterdingen;;118588893
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Johann Gottfried Seume;Spaziergang nach Syrakus im Jahre 1802;;118613480
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;August Klingemann;Nachtwachen von Bonaventura;;118563300
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Clemens Brentano;Ponce de Leon;;118515055
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Clemens Brentano;Gockel Hinkel Gakeleja;;118515055
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Clemens Brentano;Geschichte vom braven Kasperl und dem schönen Annerl;;118515055
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Achim von Arnim/Clemens Brentano;Des Knaben Wunderhorn;;118515055 + 118504177
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Amphitryon;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Die Marquise von O …;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Penthesilea;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Das Käthchen von Heilbronn oder Die Feuerprobe;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Michael Kohlhaas;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Über das Marionettentheater;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Der zerbrochne Krug;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich von Kleist;Prinz Friedrich von Humburg;;118563076
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich de la Motte Fouqué;Undine;;118534556
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Johann Peter Hebel;Schatzkästlein des rheinischen Hausfreundes;;118547453
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Achim von Arnim;Isabella von Ägypten, Kaiser Karl des Fünftens erste Jugendliebe;;118504177
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Achim von Arnim;Der tolle Invalide auf dem Fort Ratonneau;;118504177
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Achim von Arnim;Die Majoratsherren;;118504177
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Jacob Grimm/Wilhelm Grimm;Kinder- und Hausmärchen;;118542257 + 118542265
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Der goldene Topf;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Die Elixiere des Teufels;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Nachtstücke;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Klein Zaches genannt Zinnober;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Die Serapions-Brüder;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Lebens-Ansichten des Katers Murr;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Prinzessin Brambilla;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ernst Theodor Amadeus Hoffmann;Des Vetters Eckfenster;;118552465
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Adelbert von Chamisso;Peter Schlemihl’s wundersame Geschichte;;118520040
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Joseph von Eichendorff;Ahnung und Gegenwart;;118529390
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Joseph von Eichendorff;Aus dem Leben eines Taugenichts;;118529390
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Joseph von Eichendorff;Das Marmorbild;;118529390
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Franz Grillparzer;König Ottokars Glück und Ende;;118542192
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Franz Grillparzer;Der Traum ein Leben;;118542192
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Franz Grillparzer;Weh dem, der lügt!;;118542192
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Franz Grillparzer;Der arme Spielmann;;118542192
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Hauff;Der Mann im Mond;;118546864
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Hauff;Die Carawane;;118546864
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Hauff;Das Wirtshaus im Spessart;;118546864
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich Heine;Reisebilder;;118548018
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich Heine;Buch der Lieder;;118548018
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich Heine;Die romantische Schule;;118548018
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich Heine;Deustchland. Ein Wintermärchen;;118548018
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Heinrich Heine;Atta Troll. Ein Sommernachtstraum;;118548018
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Christian Dietrich Grabbe;Scherz, Satire, Ironie und tiefere Bedeutung;;118541102
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Christian Dietrich Grabbe;Napoleon oder Die hundert Tage;;118541102
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ferdinand Jakob Raimund;Der Alpenkönig und der Menschenfeind;;118597914
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Ludwig Börne;Briefe aus Paris;;118512749
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Eduard Mörike;Maler Nolten;;118583107
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Eduard Mörike;Mozart auf der Reise nach Prag;;118583107
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Rahel Varnhagen;Rahel. Ein Buch des Andenkens für ihre Freunde;;118626175
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Georg Büchner;Der hessische Landbote;;118516906
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Georg Büchner;Danton’s Tod;;118516906
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Georg Büchner;Leonce und Lena;;118516906
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Georg Büchner;Lenz;;118516906
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Georg Büchner;Woyzeck;;118516906
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Bettine von Arnim;Goethe’s Briefwechsel mit einem Kinde;;118504185
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Bettine von Arnim;Dies Buch gehört dem König;;118504185
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Bettine von Arnim;Clemens Brentanos Frühlingskranz;;118504185
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Karl Ferdinand Gutzkow;Wally, die Zweiflerin;;118543830
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Johann Nepomuk Nestroy;Der böse Geist Lumpacivagabundus;;118587080
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Johann Nepomuk Nestroy;Einen Jux will er sich machen;;118587080
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Johann Nepomuk Nestroy;Freiheit in Krähwinkel;;118587080
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;karl Leberecht Immermann;Die Epigonen;;118555553
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;karl Leberecht Immermann;Münchhausen;;118555553
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;August Graf von Platen;Polenlieder;;118594869
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Charles Sealsfield;Das Kajütenbuch;;1070181080
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Annette von Droste-Hülshoff;Die Judenbuche;;118527533
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Jeremias Gotthelf;Die schwarze Spinne;;118540963
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich Hebbel;Maria Magdalene;;118547445
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich Hebbel;Herodes und Mariamne;;118547445
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich Hebbel;Agnes Bernauer;;118547445
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Adalbert Stifter;Brigitta;;118618156
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Adalbert Stifter;Bunte Steine;;118618156
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Adalbert Stifter;nachsommer;;118618156
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Theodor Storm;Immensee;;118618725
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Theodor Storm;Hans und Heinz Kirsch;;118618725
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Theodor Storm;Der Schimmelreiter;;118618725
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Gustav Freytag;Die Journalisten;;118535455
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Gustav Freytag;Soll und Haben;;118535455
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Gottfried Keller;Der grüne Heinrich;;11856109X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Gottfried Keller;Die Leute von Seldwyla;;11856109X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Gottfried Keller;Züricher Novellen;;11856109X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Gottfried Keller;Das Sinngedicht;;11856109X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Gottfried Keller;Martin Salander;;11856109X
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Raabe;Die Chronik der Sperlingsgasse;;118597442
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Raabe;Der Hungerpastor;;118597442
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Raabe;Abu Telfan;;118597442
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Raabe;Stopfkuchen;;118597442
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Raabe;Die Akten des Vogelsangs;;118597442
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Wilhelm Busch;Max und Moritz;;118517880
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Friedrich Rückert;Kindertodtenlieder;;118603817
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Conrad Ferdinand Meyer;Das Amulett;;118581775
III. Neuere deutsche Literature: 17. bis 21. Jahrhunderts;Neunzehntes Jahrhundert. Biedermeier, Junges Deutschland, Realismus, Naturalismus;Autoren;Conrad Ferdinand Meyer;Der Schuß von der Kanzel;;118581775
