GND,author,title,year,prob_to_read
118552465,"Hoffmann, E.T.A.",Der Sandmann,1816.0,1.0
118552759,"Hofmannsthal, Hugo von",Ein Brief (Chandosbrief),1902.0,1.0
118552759,"Hofmannsthal, Hugo von",Gedichte,1902.0,1.0
118551981,"Hölderlin, Friedrich",Gedichte,1826.0,1.0
118551981,"Hölderlin, Friedrich",Hyperion oder Der Eremit in Griechenland,1797.0,1.0
118553216,"Holz, Arno",Die Kunst. Ihr Wesen und ihre Gesetze,1891.0,1.0
118554387,"Huelsenbeck, Richard",Dadaistisches Manifest,1918.0,1.0
118557211,Jean Paul,Flegeljahre,1804.0,0.3333333333333333
118557211,Jean Paul,Siebenkäs,1796.0,0.3333333333333333
118557211,Jean Paul,Titan,1800.0,0.3333333333333333
118557211,Jean Paul,Vorschule der Ästhetik,1804.0,1.0
11855817X,"Johnson, Uwe",Mutmaßungen über Jakob,1959.0,1.0
118559230,"Kafka, Franz",Der Prozess,1925.0,1.0
118559230,"Kafka, Franz",Erzählungen,1916.0,1.0
118559796,"Kant, Immanuel",Was ist Aufklärung?,1784.0,1.0
11856109X,"Keller, Gottfried",Der grüne Heinrich,1854.0,1.0
118563076,"Kleist, Heinrich von",Der zerbrochene Krug,1806.0,1.0
118563076,"Kleist, Heinrich von",Erzählungen,1794.0,1.0
118563076,"Kleist, Heinrich von",Über das Marionettentheater,1810.0,1.0
118564471,"Koeppen, Wolfgang",Jugend,1976.0,1.0
118571656,"Lenz, Jakob Michael Reinhold",Der Hofmeister,1774.0,1.0
118572121,"Lessing, Gotthold Ephraim","Briefe, die neueste Literatur betreffend",1759.0,1.0
118572121,"Lessing, Gotthold Ephraim",Emilia Galotti,1772.0,1.0
118572121,"Lessing, Gotthold Ephraim",Hamburgische Dramaturgie,1767.0,1.0
118572121,"Lessing, Gotthold Ephraim",Nathan der Weise,1779.0,1.0
118572628,"Lichtenberg, Georg Christoph",Aphorismen,1771.0,1.0
118577131,"Mann, Heinrich",Der Untertan,1918.0,1.0
118577131,"Mann, Heinrich",Geist und Tat,1931.0,0.5
118577131,"Mann, Heinrich",Macht und Mensch,1919.0,0.5
118577166,"Mann, Thomas",Der Zauberberg,1924.0,1.0
118577166,"Mann, Thomas",Die Buddenbrooks,1901.0,1.0
118577166,"Mann, Thomas",Goethe und Tolstoi,1923.0,1.0
118581775,"Meyer, Conrad Ferdinand",Gedichte,1862.0,1.0
118584162,"Moritz, Karl Philipp",Anton Reiser,1785.0,1.0
118584162,"Moritz, Karl Philipp",Über die bildende Nachahmung des Schönen,1788.0,1.0
118584944,"Müller, Heiner",Germania-Trilogie,1956.0,1.0
118585916,"Musil, Robert",Die Verwirrungen des Zöglings Törless,1906.0,1.0
118587943,"Nietzsche, Friedrich",Über Wahrheit und Lüge im außermoralischen Sinn,1896.0,1.0
118588893,Novalis,Heinrich von Ofterdingen,1802.0,1.0
118590111,"Opitz, Martin",Buch von der deutschen Poeterey,1624.0,1.0
118601024,"Rilke, Rainer Maria",Lyrik ,1901.0,1.0
118607626,"Schiller, Friedrich",Die Räuber,1782.0,1.0
118607626,"Schiller, Friedrich",Kabale und Liebe,1784.0,1.0
118607626,"Schiller, Friedrich",Über die ästhetische Erziehung des Menschen,1795.0,1.0
118607626,"Schiller, Friedrich",Über naive und sentimentalische Dichtung,1795.0,1.0
118607987,"Schlegel, Friedrich",Athenäums-Fragmente,1798.0,1.0
118607987,"Schlegel, Friedrich",Gespräch über Poesie,1800.0,1.0
118609807,"Schnitzler, Arthur",Leutnant Gustl,1901.0,1.0
118612743,"Seghers, Anna",Der Ausflug der toten Mädchen,1946.0,1.0
118618156,"Stifter, Adalbert",Der Nachsommer,1857.0,1.0
118618156,"Stifter, Adalbert","Vorrede zu den ""Bunten Steinen""",1853.0,1.0
118618725,"Storm, Theodor",Der Schimmelreiter,1888.0,1.0
12989432X,"Tieck, Ludwig",Der blonde Eckbert,1797.0,1.0
118630539,"Weiss, Peter",Die Verfolgung und Ermordung Jean Paul Marats,1964.0,1.0
118633600,"Winckelmann, Johann Joachim",Gedanken über die Nachahmung der griechischen Werke in der Malerei und Bildhauerkunst,1755.0,1.0
118634666,"Wolf, Christa",Nachdenken über Christa T. ,1968.0,1.0
,,"Verbrennungen ""undeutschen"" Schrifttums: Dokumente",,1.0
